,2023-09-30AAPL,2022-09-30AAPL,2021-09-30AAPL,2020-09-30AAPL
Basic EPS,,-0.023093135206848633,-0.04718579997716148,-0.16564140176453285
Basic EPS,,-0.023093135206848633,-0.04718579997716148,-0.16564140176453285
Net Income Common Stockholders,11.847237812747796,12.200872653609482,11.55569057037073,6.862094813934072
Net Income Common Stockholders,11.847237812747796,12.200872653609482,11.55569057037073,6.862094813934072
Total Liabilities Net Minority Interest,0.944540549405345,0.9929708604710327,0.9340402458297945,0.8119331512203329
Net Income Including Noncontrolling Interests,11.745491205229962,12.096295915644314,11.456277207862005,6.800244176368959
Net Income Including Noncontrolling Interests,11.745491205229962,12.096295915644314,11.456277207862005,6.800244176368959
Net Income From Continuing Operation Net Minority Interest,11.82500061352846,12.177913107502617,11.534048895739938,6.850040442063705
Net Income From Continuing Operation Net Minority Interest,11.82500061352846,12.177913107502617,11.534048895739938,6.850040442063705
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,1.3441520865257466,0.9987146923069204,1.3725722451576596,1.4402808646101732
Share Issued,9.155290160884668,9.399923470745406,9.700525969417367,10.042556998838664
Invested Capital,2.3416405288391484,2.300163183384129,2.5841324301656243,2.4171915219042273
Net Tangible Assets,1.9351078811598654,1.5436179903349645,1.9673169152315673,2.0440522093282385
Normalized Income,12.108251818341655,12.470358291256165,11.80972030666178,7.00368535685735
Normalized Income,12.108251818341655,12.470358291256165,11.80972030666178,7.00368535685735
Basic Average Shares,,10.667585177820305,11.001282364154944,11.448803041979467
Basic Average Shares,,10.667585177820305,11.001282364154944,11.448803041979467
Operating Revenue,6.28892241113009,6.484758853148213,5.979145088919409,4.3599964129130155
Operating Revenue,6.28892241113009,6.484758853148213,5.979145088919409,4.3599964129130155
Common Stock,7.593076878011986,6.641359425818615,5.846686502443049,5.147365835239484
Stockholders Equity,1.3748261724534565,1.0250834680859309,1.403600541716394,1.4721530379794727
Total Assets,1.02665413027304,1.0273038632807079,1.020681875126976,0.9182582659995995
Net Income Continuous Operations,11.775035057874682,12.126552008654114,11.485233868040499,6.819747671958351
Net Income Continuous Operations,11.775035057874682,12.126552008654114,11.485233868040499,6.819747671958351
Pretax Income,11.52558846265261,12.087147264708882,11.051711098293964,6.6450387473713
Pretax Income,11.52558846265261,12.087147264708882,11.051711098293964,6.6450387473713
Diluted EPS,,-0.019706974070457395,-0.046122629054099556,-0.16921958127787207
Diluted EPS,,-0.019706974070457395,-0.046122629054099556,-0.16921958127787207
Common Stock Equity,1.4459039623472913,1.0811230677643464,1.475915568106948,1.5474156754729096
Net Income From Continuing And Discontinued Operation,11.795848508471236,12.148061251403954,11.505473686573357,6.830752633738787
Net Income From Continuing And Discontinued Operation,11.795848508471236,12.148061251403954,11.505473686573357,6.830752633738787
Total Revenue,6.288676984208045,6.4845017415906545,5.978918144947028,4.359866075894507
Total Revenue,6.288676984208045,6.4845017415906545,5.978918144947028,4.359866075894507
Total Capitalization,2.168988244429717,2.0349035466175964,2.4230027264701492,2.282141557270397
Diluted Average Shares,,10.611322621392633,10.97765717303955,11.42838593659852
Diluted Average Shares,,10.611322621392633,10.97765717303955,11.42838593659852
Ordinary Shares Number,10.008489576457357,10.273770373611642,10.599744258850993,10.970643316661372
Net Income,11.795853944239822,12.148066928930808,11.505478923029127,6.830754661473435
Net Income,11.795853944239822,12.148066928930808,11.505478923029127,6.830754661473435
Capital Stock,7.088776637913587,6.1955592155042645,5.449733131680616,4.7933982054296065
Diluted NI Availto Com Stockholders,11.846970835813917,12.200591624316905,11.555435178625734,6.86202593121909
Diluted NI Availto Com Stockholders,11.846970835813917,12.200591624316905,11.555435178625734,6.86202593121909
Tangible Book Value,2.035994752092759,1.6268094113164497,2.06965964329834,2.149863393638755
Tax Rate For Calcs,-0.605948034368162,-0.4028619694945726,-0.7954950282501784,-0.6465652473428799
Tax Rate For Calcs,-0.605948034368162,-0.4028619694945726,-0.7954950282501784,-0.6465652473428799
