,2022-12-31ALLE,2021-12-31ALLE,2020-12-31ALLE
Basic EPS,-0.0707765342314261,-0.062243715458606984,-0.160622096604051
Basic EPS,-0.0707765342314261,-0.062243715458606984,-0.160622096604051
Net Income Common Stockholders,-0.31047110187630755,-0.30732264353530253,-0.3285684404204045
Net Income Common Stockholders,-0.31047110187630755,-0.30732264353530253,-0.3285684404204045
Total Liabilities Net Minority Interest,-0.2505823791762549,-0.2537349653705618,-0.2539503775389632
Net Income Including Noncontrolling Interests,-0.3148824015567699,-0.31175914024610085,-0.3328474006157385
Net Income Including Noncontrolling Interests,-0.3148824015567699,-0.31175914024610085,-0.3328474006157385
Net Income From Continuing Operation Net Minority Interest,-0.30787453988436,-0.3047325126944191,-0.32593491217214
Net Income From Continuing Operation Net Minority Interest,-0.30787453988436,-0.3047325126944191,-0.32593491217214
Tax Effect Of Unusual Items,0.1329032118756752,0.13537297904441759,0.08119453302562503
Tax Effect Of Unusual Items,0.1329032118756752,0.13537297904441759,0.08119453302562503
Total Equity Gross Minority Interest,-0.4983864076596707,-0.5038687285144073,-0.5017552802771612
Share Issued,-0.46066649846498886,-0.4604408430740117,-0.4585769348182573
Invested Capital,-0.4900276615137234,-0.5039216571773762,-0.5029600083336938
Net Tangible Assets,-0.2221535913234325,-0.20209118450758434,-0.20156232854560194
Normalized Income,-0.33955665996115875,-0.3371607479231004,-0.3436589471707081
Normalized Income,-0.33955665996115875,-0.3371607479231004,-0.3436589471707081
Basic Average Shares,-0.4219595749231537,-0.42065313994247994,-0.4190029062826815
Basic Average Shares,-0.4219595749231537,-0.42065313994247994,-0.4190029062826815
Operating Revenue,-0.45022577543849457,-0.4573991740436137,-0.4600149374410304
Operating Revenue,-0.45022577543849457,-0.4573991740436137,-0.4600149374410304
Common Stock,-0.24440075621653007,-0.24440075621653007,-0.24440075621653007
Stockholders Equity,-0.4907588394561576,-0.4963277772361774,-0.49418494020314296
Total Assets,-0.2901574898570979,-0.29370911179785025,-0.29363960547609974
Net Income Continuous Operations,-0.3098247791298929,-0.3066951766478823,-0.327826252606418
Net Income Continuous Operations,-0.3098247791298929,-0.3066951766478823,-0.327826252606418
Pretax Income,-0.3209794350582449,-0.3199854330795725,-0.33658003453403956
Pretax Income,-0.3209794350582449,-0.3199854330795725,-0.33658003453403956
Diluted EPS,-0.06831177924035897,-0.06038708274526635,-0.16340813718147076
Diluted EPS,-0.06831177924035897,-0.06038708274526635,-0.16340813718147076
Common Stock Equity,-0.49989722540183507,-0.5057056156267178,-0.5034706411723704
Net Income From Continuing And Discontinued Operation,-0.312969712503056,-0.30983391529033594,-0.33099427488177097
Net Income From Continuing And Discontinued Operation,-0.312969712503056,-0.30983391529033594,-0.33099427488177097
Total Revenue,-0.4500691092188487,-0.4572420798211547,-0.4598576871483244
Total Revenue,-0.4500691092188487,-0.4572420798211547,-0.4598576871483244
Total Capitalization,-0.48661973680350584,-0.5009827602954122,-0.49977537884512857
Diluted Average Shares,-0.42255651554536616,-0.42106154983654925,-0.41949863114096786
Diluted Average Shares,-0.42255651554536616,-0.42106154983654925,-0.41949863114096786
Ordinary Shares Number,-0.4190709607625468,-0.41882625965444886,-0.41680503422038817
Net Income,-0.31297258820810475,-0.30983678884297844,-0.3309971629588508
Net Income,-0.31297258820810475,-0.30983678884297844,-0.3309971629588508
Capital Stock,-0.2669480622087731,-0.2669480622087731,-0.2669480622087731
Diluted NI Availto Com Stockholders,-0.31025496892715915,-0.30710663569618524,-0.3283515883387971
Diluted NI Availto Com Stockholders,-0.31025496892715915,-0.30710663569618524,-0.3283515883387971
Tangible Book Value,-0.21877552793086677,-0.19780629484942439,-0.19725353445357005
Tax Rate For Calcs,-1.1204327320479213,-1.5401439327866722,-0.7142606023007426
Tax Rate For Calcs,-1.1204327320479213,-1.5401439327866722,-0.7142606023007426
