,2022-12-31AMZN,2021-12-31AMZN,2020-12-31AMZN
Basic EPS,-0.34533252650978263,-0.16624371838379065,-0.2247688165550089
Basic EPS,-0.34533252650978263,-0.16624371838379065,-0.2247688165550089
Net Income Common Stockholders,-0.7109550028521474,3.8336557048881534,2.318239736195612
Net Income Common Stockholders,-0.7109550028521474,3.8336557048881534,2.318239736195612
Total Liabilities Net Minority Interest,1.0534734017465515,0.9107191755518985,0.6840248987938842
Net Income Including Noncontrolling Interests,-0.7121987194096056,3.796041586862579,2.292753452811335
Net Income Including Noncontrolling Interests,-0.7121987194096056,3.796041586862579,2.292753452811335
Net Income From Continuing Operation Net Minority Interest,-0.7075403984448368,3.827787328603393,2.31546680154106
Net Income From Continuing Operation Net Minority Interest,-0.7075403984448368,3.827787328603393,2.31546680154106
Tax Effect Of Unusual Items,-9.457370650765244,5.3035384690326905,0.9437536406530771
Tax Effect Of Unusual Items,-9.457370650765244,5.3035384690326905,0.9437536406530771
Total Equity Gross Minority Interest,3.8699635788367837,3.6351962091210432,2.285208568004922
Share Issued,6.174482621825626,6.101720250958677,6.039530190388636
Invested Capital,3.0064593202699985,2.5704896611030024,1.5428064876529115
Net Tangible Assets,4.105430389917154,4.0071314204673945,2.3192961477354612
Normalized Income,0.9063101204219763,2.2505217136140105,2.0748367651065682
Normalized Income,0.9063101204219763,2.2505217136140105,2.0748367651065682
Basic Average Shares,6.523461340753654,6.476017123034448,6.393505440044525
Basic Average Shares,6.523461340753654,6.476017123034448,6.393505440044525
Operating Revenue,8.606719323100075,7.823568628908071,6.338205166936335
Operating Revenue,8.606719323100075,7.823568628908071,6.338205166936335
Common Stock,-0.23302856619868895,-0.23324093202535265,-0.2439654062718695
Stockholders Equity,3.9321177593736496,3.694424399720698,2.3276113784077976
Total Assets,1.442528585390364,1.283396883756527,0.9080854114086124
Net Income Continuous Operations,-0.7079477700714276,3.809445636561978,2.3031053699206274
Net Income Continuous Operations,-0.7079477700714276,3.809445636561978,2.3031053699206274
Pretax Income,-0.9959067785767804,3.6169948249735917,2.154974862027387
Pretax Income,-0.9959067785767804,3.6169948249735917,2.154974862027387
Diluted EPS,-0.35677073166173146,-0.17130641802157978,-0.23200959317398948
Diluted EPS,-0.35677073166173146,-0.17130641802157978,-0.23200959317398948
Common Stock Equity,4.113153632281519,3.865239965211814,2.4396568996728707
Net Income From Continuing And Discontinued Operation,-0.7118431179610487,3.8144920107676072,2.305170096341184
Net Income From Continuing And Discontinued Operation,-0.7118431179610487,3.8144920107676072,2.305170096341184
Total Revenue,8.6063356041838,7.823231636894711,6.337956799545026
Total Revenue,8.6063356041838,7.823231636894711,6.337956799545026
Total Capitalization,3.1281169332689576,2.6774299884935844,1.6150547064057343
Diluted Average Shares,6.441170818567047,6.516598633875538,6.448645647111132
Diluted Average Shares,6.441170818567047,6.516598633875538,6.448645647111132
Ordinary Shares Number,6.428785654838786,6.3869734670850375,6.306046652077781
Net Income,-0.7118462674521708,3.814491968145744,2.3051690177231503
Net Income,-0.7118462674521708,3.814491968145744,2.3051690177231503
Capital Stock,-0.2562748963111899,-0.2564742084661401,-0.2665394722911252
Diluted NI Availto Com Stockholders,-0.7107229559070386,3.8337071630099206,2.3183514122775652
Diluted NI Availto Com Stockholders,-0.7107229559070386,3.8337071630099206,2.3183514122775652
Tangible Book Value,4.3044164307959365,4.201674321089073,2.437548433210176
Tax Rate For Calcs,0.24701343810091272,-0.8959549350076473,-0.9929894568042481
Tax Rate For Calcs,0.24701343810091272,-0.8959549350076473,-0.9929894568042481
