,2022-12-31ANET,2021-12-31ANET,2020-12-31ANET
Basic EPS,-0.11042904499923262,-0.1942514411792793,-0.22687692472241128
Basic EPS,-0.11042904499923262,-0.1942514411792793,-0.22687692472241128
Net Income Common Stockholders,-0.19782606310516415,-0.262255107088822,-0.28823580750379457
Net Income Common Stockholders,-0.19782606310516415,-0.262255107088822,-0.28823580750379457
Total Liabilities Net Minority Interest,-0.255394262847663,-0.2559505127908587,-0.2573527753120386
Net Income Including Noncontrolling Interests,-0.2031763372411891,-0.26708975725910183,-0.29286253480338587
Net Income Including Noncontrolling Interests,-0.2031763372411891,-0.26708975725910183,-0.29286253480338587
Net Income From Continuing Operation Net Minority Interest,-0.19545959380700637,-0.2597570327732553,-0.28568466410138443
Net Income From Continuing Operation Net Minority Interest,-0.19545959380700637,-0.2597570327732553,-0.28568466410138443
Tax Effect Of Unusual Items,0.14715465872382238,0.1359644425032954,0.13761570063529313
Tax Effect Of Unusual Items,0.14715465872382238,0.1359644425032954,0.13761570063529313
Total Equity Gross Minority Interest,-0.3797286326394037,-0.4070414889042811,-0.4268606056509084
Share Issued,-0.3244471168103517,-0.3239551934312427,-0.32581156673925843
Invested Capital,-0.45925622951774786,-0.4743501233579815,-0.4853027546492563
Net Tangible Assets,-0.03183740354034044,-0.05916878201480891,-0.08267192571931452
Normalized Income,-0.2283918484311938,-0.2913346005211505,-0.3183988410599633
Normalized Income,-0.2283918484311938,-0.2913346005211505,-0.3183988410599633
Basic Average Shares,-0.27173811727434083,-0.2717113009773691,-0.2734825517722195
Basic Average Shares,-0.27173811727434083,-0.2717113009773691,-0.2734825517722195
Operating Revenue,-0.4305515105522023,-0.45596915836173235,-0.4671508818610963
Operating Revenue,-0.4305515105522023,-0.45596915836173235,-0.4671508818610963
Common Stock,-0.24449302916821547,-0.24449302916821547,-0.2444931353511288
Stockholders Equity,-0.37053989045148544,-0.39819315664080973,-0.4182592861483469
Total Assets,-0.27964008789617245,-0.2835724118267259,-0.2873329682596533
Net Income Continuous Operations,-0.19789191749469828,-0.26193510121376934,-0.2877602053430231
Net Income Continuous Operations,-0.19789191749469828,-0.26193510121376934,-0.2877602053430231
Pretax Income,-0.20930634707623433,-0.2774129561237585,-0.29750393338025877
Pretax Income,-0.20930634707623433,-0.2774129561237585,-0.29750393338025877
Diluted EPS,-0.1169165844102606,-0.20355993275660686,-0.236843658035996
Diluted EPS,-0.1169165844102606,-0.20355993275660686,-0.236843658035996
Common Stock Equity,-0.37450911804145276,-0.4033514156868719,-0.4242803459580941
Net Income From Continuing And Discontinued Operation,-0.2007776615539114,-0.2649476122599068,-0.2908238345636073
Net Income From Continuing And Discontinued Operation,-0.2007776615539114,-0.2649476122599068,-0.2908238345636073
Total Revenue,-0.430396018203016,-0.45581214946155485,-0.4669932058002916
Total Revenue,-0.430396018203016,-0.45581214946155485,-0.4669932058002916
Total Capitalization,-0.4545928258889463,-0.4701962532297765,-0.48151861897272147
Diluted Average Shares,-0.26751566047356384,-0.26562724697138096,-0.2665636391289945
Diluted Average Shares,-0.26751566047356384,-0.26562724697138096,-0.2665636391289945
Ordinary Shares Number,-0.2713544205506801,-0.27082097796175725,-0.27283403248506277
Net Income,-0.20078046025051421,-0.2649504550026621,-0.29082669506776054
Net Income,-0.20078046025051421,-0.2649504550026621,-0.29082669506776054
Capital Stock,-0.26703466334009895,-0.26703466334009895,-0.26703476299617646
Diluted NI Availto Com Stockholders,-0.1976144063226921,-0.26204089009470793,-0.28802055811671684
Diluted NI Availto Com Stockholders,-0.1976144063226921,-0.26204089009470793,-0.28802055811671684
Tangible Book Value,-0.01985699649909858,-0.04842376074273437,-0.07298925295960514
Tax Rate For Calcs,-0.6330261763513072,-1.2869633052442644,-0.6844746461192831
Tax Rate For Calcs,-0.6330261763513072,-1.2869633052442644,-0.6844746461192831
