,2022-12-31AOS,2021-12-31AOS,2020-12-31AOS
Basic EPS,-0.25548696413715777,-0.17869159518178562,-0.22486920265821853
Basic EPS,-0.25548696413715777,-0.17869159518178562,-0.22486920265821853
Net Income Common Stockholders,-0.3384671934445243,-0.3068062963673777,-0.3247147274110143
Net Income Common Stockholders,-0.3384671934445243,-0.3068062963673777,-0.3247147274110143
Total Liabilities Net Minority Interest,-0.2566625747635074,-0.25642304308590275,-0.2577945282816321
Net Income Including Noncontrolling Interests,-0.34269192026696743,-0.3112844045268791,-0.3290495148619649
Net Income Including Noncontrolling Interests,-0.34269192026696743,-0.3112844045268791,-0.3290495148619649
Net Income From Continuing Operation Net Minority Interest,-0.3358134456573141,-0.3042172202352688,-0.3220890708916524
Net Income From Continuing Operation Net Minority Interest,-0.3358134456573141,-0.3042172202352688,-0.3220890708916524
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.13114202130083058
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.13114202130083058
Total Equity Gross Minority Interest,-0.47420518794234795,-0.47166122247158876,-0.47117651425763346
Share Issued,-0.3967821088744546,-0.3967821088744546,-0.3967821088744546
Invested Capital,-0.5057351472113101,-0.5067883024328514,-0.507909671499706
Net Tangible Assets,-0.15868063996370063,-0.1566505154644779,-0.15194199141586046
Normalized Income,-0.3693724140931259,-0.3369530525223611,-0.35451896905784647
Normalized Income,-0.3693724140931259,-0.3369530525223611,-0.35451896905784647
Basic Average Shares,-0.37603747291077566,-0.3725166258246783,-0.37140013617623413
Basic Average Shares,-0.37603747291077566,-0.3725166258246783,-0.37140013617623413
Operating Revenue,-0.4416779926754107,-0.4454908003394419,-0.45690439574674635
Operating Revenue,-0.4416779926754107,-0.4454908003394419,-0.45690439574674635
Common Stock,-0.21318297969696617,-0.2131511248229666,-0.21312988824030024
Stockholders Equity,-0.46619394095085964,-0.4636182691259463,-0.463127519819661
Total Assets,-0.29264649612891425,-0.2921097108940909,-0.29329471812958763
Net Income Continuous Operations,-0.33769075962971545,-0.3062194770706167,-0.3240206559882931
Net Income Continuous Operations,-0.33769075962971545,-0.3062194770706167,-0.3240206559882931
Pretax Income,-0.3514063587843421,-0.30935484349713965,-0.328366439236589
Pretax Income,-0.3514063587843421,-0.30935484349713965,-0.328366439236589
Diluted EPS,-0.2627309999199653,-0.18295572186936598,-0.23050390083992187
Diluted EPS,-0.2627309999199653,-0.18295572186936598,-0.23050390083992187
Common Stock Equity,-0.47427608866273835,-0.471589668443786,-0.4710778179641987
Net Income From Continuing And Discontinued Operation,-0.3408532213185628,-0.3093196445474498,-0.32715605909340156
Net Income From Continuing And Discontinued Operation,-0.3408532213185628,-0.3093196445474498,-0.32715605909340156
Total Revenue,-0.4415218364615891,-0.4453344166333958,-0.4567473310453714
Total Revenue,-0.4415218364615891,-0.4453344166333958,-0.4567473310453714
Total Capitalization,-0.5028127515533919,-0.503846421427495,-0.505005645213095
Diluted Average Shares,-0.37670227225774044,-0.37293731120392354,-0.37206462700999127
Diluted Average Shares,-0.37670227225774044,-0.37293731120392354,-0.37206462700999127
Ordinary Shares Number,-0.3763643280371501,-0.3719986716552527,-0.36922207802747475
Net Income,-0.34085611616280787,-0.30932251774709774,-0.3271589445359362
Net Income,-0.34085611616280787,-0.30932251774709774,-0.3271589445359362
Capital Stock,-0.23764917543109368,-0.23761927860785115,-0.23759934739235614
Diluted NI Availto Com Stockholders,-0.338249948016979,-0.3065903090463055,-0.32449802846408504
Diluted NI Availto Com Stockholders,-0.338249948016979,-0.3065903090463055,-0.32449802846408504
Tangible Book Value,-0.1524335818400381,-0.15031169515917786,-0.14539034453802302
Tax Rate For Calcs,0.24701343810091272,0.3959432190082116,0.4230213609913569
Tax Rate For Calcs,0.24701343810091272,0.3959432190082116,0.4230213609913569
