,2023-09-30ATO,2022-09-30ATO,2021-09-30ATO,2020-09-30ATO
Basic EPS,,-0.05019738307345056,-0.07479197835981158,-0.08633638022891982
Basic EPS,,-0.05019738307345056,-0.07479197835981158,-0.08633638022891982
Net Income Common Stockholders,-0.2566551331451768,-0.2706884416627044,-0.2843895248560892,-0.2950460488337221
Net Income Common Stockholders,-0.2566551331451768,-0.2706884416627044,-0.2843895248560892,-0.2950460488337221
Total Liabilities Net Minority Interest,-0.21481812063698208,-0.21013147543784386,-0.2145899459213833,-0.22762256508525464
Net Income Including Noncontrolling Interests,-0.2614668874562781,-0.27539213540557483,-0.28898894119544166,-0.2969994818050457
Net Income Including Noncontrolling Interests,-0.2614668874562781,-0.27539213540557483,-0.28898894119544166,-0.2969994818050457
Net Income From Continuing Operation Net Minority Interest,-0.254100378382661,-0.2681092951306437,-0.2817877962993322,-0.2898464676360925
Net Income From Continuing Operation Net Minority Interest,-0.254100378382661,-0.2681092951306437,-0.2817877962993322,-0.2898464676360925
Tax Effect Of Unusual Items,0.15687816472270966,0.1456151372624277,0.15280158167304392,0.1465236481558138
Tax Effect Of Unusual Items,0.15687816472270966,0.1456151372624277,0.15280158167304392,0.1465236481558138
Total Equity Gross Minority Interest,-0.19956638288085013,-0.24324952147261172,-0.2887760264763155,-0.3223649810350069
Share Issued,-0.42295444200391197,-0.4276785140564244,-0.43295026847445234,-0.43701580500038373
Invested Capital,-0.2472446867180397,-0.2482867447115753,-0.2873409180932706,-0.3522986503692121
Net Tangible Assets,0.1574900965517604,0.11112918401506514,0.05953324572979434,0.02146633006525969
Normalized Income,-0.2930071939921851,-0.3043317103564685,-0.31727845484994366,-0.3242141037830454
Normalized Income,-0.2930071939921851,-0.3043317103564685,-0.31727845484994366,-0.3242141037830454
Basic Average Shares,,-0.387696598561588,-0.39323244489285364,-0.3980394380243749
Basic Average Shares,,-0.387696598561588,-0.39323244489285364,-0.3980394380243749
Operating Revenue,-0.432430479903026,-0.433737386232332,-0.447821223851676,-0.4582196015829675
Operating Revenue,-0.432430479903026,-0.433737386232332,-0.447821223851676,-0.4582196015829675
Common Stock,-0.2444175331168365,-0.24442156806754312,-0.24442602774990305,-0.24442953178604301
Stockholders Equity,-0.18813221395199625,-0.23235979116868283,-0.27845370933409863,-0.3124612950814393
Total Assets,-0.22017607728733846,-0.22139991362507833,-0.23116225405826135,-0.247215305694168
Net Income Continuous Operations,-0.25630081527335596,-0.27025433571554924,-0.28387874716073425,-0.2919055516065951
Net Income Continuous Operations,-0.25630081527335596,-0.27025433571554924,-0.28387874716073425,-0.2919055516065951
Pretax Income,-0.2702182651703407,-0.2856758329929938,-0.2890877709427335,-0.29667388941217376
Pretax Income,-0.2702182651703407,-0.2856758329929938,-0.2890877709427335,-0.29667388941217376
Diluted EPS,,-0.04665094215377244,-0.07200997093806889,-0.08416117223054431
Diluted EPS,,-0.04665094215377244,-0.07200997093806889,-0.08416117223054431
Common Stock Equity,-0.18425830056519157,-0.23038756925577022,-0.2784634275745883,-0.31393326696396145
Net Income From Continuing And Discontinued Operation,-0.2593021738219026,-0.2732833138426478,-0.28693469342850336,-0.2949773861196878
Net Income From Continuing And Discontinued Operation,-0.2593021738219026,-0.2732833138426478,-0.28693469342850336,-0.2949773861196878
Total Revenue,-0.43227487544461335,-0.43358170379699146,-0.44766470110026607,-0.45806245840947235
Total Revenue,-0.43227487544461335,-0.43358170379699146,-0.44766470110026607,-0.45806245840947235
Total Capitalization,-0.239782948294184,-0.27754602184421195,-0.3181520659296747,-0.344024616488486
Diluted Average Shares,,-0.3887186462561623,-0.3943329220226376,-0.39906380896117555
Diluted Average Shares,,-0.3887186462561623,-0.3943329220226376,-0.39906380896117555
Ordinary Shares Number,-0.37817593953253953,-0.38329873168467193,-0.38901543156995,-0.3934241066235349
Net Income,-0.2593050126896379,-0.27328616230701547,-0.2869375512631563,-0.29498024947483226
Net Income,-0.2593050126896379,-0.27328616230701547,-0.2869375512631563,-0.29498024947483226
Capital Stock,-0.2669638078690142,-0.26696759479995824,-0.2669717803552122,-0.26697506900576884
Diluted NI Availto Com Stockholders,-0.25644113867676854,-0.27047388955386537,-0.28417442830842987,-0.2948305288286426
Diluted NI Availto Com Stockholders,-0.25644113867676854,-0.27047388955386537,-0.28417442830842987,-0.2948305288286426
Tangible Book Value,0.17802815828811017,0.12957171984711605,0.07564363106442332,0.035856080418671415
Tax Rate For Calcs,-1.0551744098685412,-1.3643526350320936,-0.05084612371368467,0.038985612315399654
Tax Rate For Calcs,-1.0551744098685412,-1.3643526350320936,-0.05084612371368467,0.038985612315399654
