,2022-12-31AWK,2021-12-31AWK,2020-12-31AWK
Basic EPS,-0.10540973983875081,0.017563236593054234,-0.13552557080164182
Basic EPS,-0.10540973983875081,0.017563236593054234,-0.13552557080164182
Net Income Common Stockholders,-0.2648814250985547,-0.2090907432959456,-0.27886058013261705
Net Income Common Stockholders,-0.2648814250985547,-0.2090907432959456,-0.27886058013261705
Total Liabilities Net Minority Interest,-0.17969056723824203,-0.1851673592418064,-0.18710107851413552
Net Income Including Noncontrolling Interests,-0.2696950569140096,-0.21435086648895338,-0.2835623371333803
Net Income Including Noncontrolling Interests,-0.2696950569140096,-0.21435086648895338,-0.2835623371333803
Net Income From Continuing Operation Net Minority Interest,-0.26237798617401636,-0.20670126436826436,-0.27632858689735373
Net Income From Continuing Operation Net Minority Interest,-0.26237798617401636,-0.20670126436826436,-0.27632858689735373
Tax Effect Of Unusual Items,0.14594293096195093,0.618487409596346,0.1359644425032954
Tax Effect Of Unusual Items,0.14594293096195093,0.618487409596346,0.1359644425032954
Total Equity Gross Minority Interest,-0.29521539015176174,-0.3071072997488017,-0.3325168483561478
Share Issued,-0.3988820651022081,-0.3990811516555085,-0.3993384356674904
Invested Capital,-0.2065458941633686,-0.23641024839191227,-0.25115109398884244
Net Tangible Assets,0.03818684487773189,0.02484602673998252,-0.018281323966194488
Normalized Income,-0.2960158067438249,-0.31107043493736425,-0.30833787220194453
Normalized Income,-0.2960158067438249,-0.31107043493736425,-0.30833787220194453
Basic Average Shares,-0.35732542324771366,-0.35732542324771366,-0.358013020605963
Basic Average Shares,-0.35732542324771366,-0.35732542324771366,-0.358013020605963
Operating Revenue,-0.4410023276893661,-0.4385550371887321,-0.44126833752639155
Operating Revenue,-0.4410023276893661,-0.4385550371887321,-0.44126833752639155
Common Stock,-0.24428395501186503,-0.24428395501186503,-0.24428395501186503
Stockholders Equity,-0.2849733291087601,-0.2970134518406036,-0.3227396887663655
Total Assets,-0.2002684392532319,-0.20673554919001985,-0.21168031957977185
Net Income Continuous Operations,-0.2645456904201633,-0.20908913443893515,-0.2784411254402904
Net Income Continuous Operations,-0.2645456904201633,-0.20908913443893515,-0.2784411254402904
Pretax Income,-0.2693436480608962,-0.20321635853237682,-0.27813271818810453
Pretax Income,-0.2693436480608962,-0.20321635853237682,-0.27813271818810453
Diluted EPS,-0.10423707001811235,0.02467132630206143,-0.13593585599848293
Diluted EPS,-0.10423707001811235,0.02467132630206143,-0.13593585599848293
Common Stock Equity,-0.28526337709188404,-0.2978211994171641,-0.32465360965143336
Net Income From Continuing And Discontinued Operation,-0.2675633688628694,-0.21199704225346977,-0.2814863084873465
Net Income From Continuing And Discontinued Operation,-0.2675633688628694,-0.21199704225346977,-0.2814863084873465
Total Revenue,-0.4408462117892829,-0.43839906730691397,-0.4411122057547578
Total Revenue,-0.4408462117892829,-0.43839906730691397,-0.4411122057547578
Total Capitalization,-0.21839358393160166,-0.23524876657088825,-0.267170418589782
Diluted Average Shares,-0.35888456694711723,-0.35888456694711723,-0.35888456694711723
Diluted Average Shares,-0.35888456694711723,-0.35888456694711723,-0.35888456694711723
Ordinary Shares Number,-0.35567472485505225,-0.3558412810074088,-0.35605209333733234
Net Income,-0.26756621340107584,-0.21199984865103771,-0.28148916258223666
Net Income,-0.26756621340107584,-0.21199984865103771,-0.28148916258223666
Capital Stock,-0.2668384405235505,-0.2668384405235505,-0.2668384405235505
Diluted NI Availto Com Stockholders,-0.2646671037426571,-0.2088786388897997,-0.2786457032881812
Diluted NI Availto Com Stockholders,-0.2646671037426571,-0.2088786388897997,-0.2786457032881812
Tangible Book Value,0.05333236706576863,0.03938854030582991,-0.005688178427066627
Tax Rate For Calcs,-0.06438519470525729,0.5177948579323652,0.5584120709070831
Tax Rate For Calcs,-0.06438519470525729,0.5177948579323652,0.5584120709070831
