,2023-06-30CAH,2022-06-30CAH,2021-06-30CAH,2020-06-30CAH
Basic EPS,-0.2815873509716633,-0.49992712545262324,-0.22687692472241128,-0.9647147833132413
Basic EPS,-0.2815873509716633,-0.49992712545262324,-0.22687692472241128,-0.9647147833132413
Net Income Common Stockholders,-0.3352809536034272,-0.48565132396982746,-0.29120253682935676,-0.8336189398177034
Net Income Common Stockholders,-0.3352809536034272,-0.48565132396982746,-0.29120253682935676,-0.8336189398177034
Total Liabilities Net Minority Interest,-0.07084504415449566,-0.0778480188955757,-0.08585320082941125,-0.10117740624561074
Net Income Including Noncontrolling Interests,-0.33940624936814356,-0.4885732095656991,-0.29568059101877636,-0.8335061887159928
Net Income Including Noncontrolling Interests,-0.33940624936814356,-0.4885732095656991,-0.29568059101877636,-0.8335061887159928
Net Income From Continuing Operation Net Minority Interest,-0.33263371414109394,-0.4826969327326692,-0.2886453334819219,-0.8299537777649327
Net Income From Continuing Operation Net Minority Interest,-0.33263371414109394,-0.4826969327326692,-0.2886453334819219,-0.8299537777649327
Tax Effect Of Unusual Items,-0.4791744055404208,-1.201652918343443,-0.8786228754178701,-0.17703094259430782
Tax Effect Of Unusual Items,-0.4791744055404208,-1.201652918343443,-0.8786228754178701,-0.17703094259430782
Total Equity Gross Minority Interest,-0.6126541111421139,-0.5480765261151502,-0.4728112755009734,-0.47287148770146475
Share Issued,-0.3119406956297163,-0.3119406956297163,-0.3119406956297163,-0.3119406956297163
Invested Capital,-0.5097813928650047,-0.46391174127275125,-0.40699477424442376,-0.3980604242607313
Net Tangible Assets,-0.4900890815334537,-0.4697878365412264,-0.4685936456593307,-0.5089572974674061
Normalized Income,-0.2598545493309802,-0.2890306851917023,-0.1950196948483492,-0.2063918755915514
Normalized Income,-0.2598545493309802,-0.2890306851917023,-0.1950196948483492,-0.2063918755915514
Basic Average Shares,-0.3030052319460141,-0.29062847949752557,-0.28168971384028385,-0.2810021164820345
Basic Average Shares,-0.3030052319460141,-0.29062847949752557,-0.28168971384028385,-0.2810021164820345
Operating Revenue,3.127430966061114,2.7080575909959546,2.3729383983113173,2.203667472017468
Operating Revenue,3.127430966061114,2.7080575909959546,2.3729383983113173,2.203667472017468
Common Stock,0.047188142084063314,0.05419621436396542,0.05345293397064247,0.05164782444400102
Stockholders Equity,-0.6063988840639245,-0.541077408078252,-0.4648740996488626,-0.4649350622956061
Total Assets,-0.14122584094015037,-0.1394844053789008,-0.13731233282419691,-0.15124003979670692
Net Income Continuous Operations,-0.33439841781864027,-0.48386823235946735,-0.29058398307049166,-0.82950153047272
Net Income Continuous Operations,-0.33439841781864027,-0.48386823235946735,-0.29058398307049166,-0.82950153047272
Pretax Income,-0.30805740933550413,-0.45527433396624284,-0.34101642231253515,-0.7694835910139387
Pretax Income,-0.30805740933550413,-0.45527433396624284,-0.34101642231253515,-0.7694835910139387
Diluted EPS,-0.2896749680032803,-0.5194911663609671,-0.23261715323861323,-1.0087090966580199
Diluted EPS,-0.2896749680032803,-0.5194911663609671,-0.23261715323861323,-1.0087090966580199
Common Stock Equity,-0.6205095452439805,-0.5523793851349296,-0.47289949700024564,-0.4729630809107534
Net Income From Continuing And Discontinued Operation,-0.33767979453929015,-0.4874454694188006,-0.29377863356120915,-0.8340137773686226
Net Income From Continuing And Discontinued Operation,-0.33767979453929015,-0.4874454694188006,-0.29377863356120915,-0.8340137773686226
Total Revenue,3.127374170401119,2.7080258173644496,2.3729266196591916,2.2036657929620076
Total Revenue,3.127374170401119,2.7080258173644496,2.3729266196591916,2.2036657929620076
Total Capitalization,-0.5204453364940006,-0.46938101276334565,-0.41554762331337936,-0.3915031893034583
Diluted Average Shares,-0.304522177535592,-0.2929701697856429,-0.2827772217709819,-0.283456751638626
Diluted Average Shares,-0.304522177535592,-0.2929701697856429,-0.2827772217709819,-0.283456751638626
Ordinary Shares Number,-0.3090460846403094,-0.2942095018889792,-0.28207047963789084,-0.2807216993877699
Net Income,-0.33768268720530004,-0.4874484648837324,-0.29378149609353177,-0.8340170107174917
Net Income,-0.33768268720530004,-0.4874484648837324,-0.29378149609353177,-0.8340170107174917
Capital Stock,0.006717492145599251,0.013294793258955856,0.012597200716630156,0.010903047399553454
Diluted NI Availto Com Stockholders,-0.33506383478723345,-0.48542822989854667,-0.2909871695535989,-0.8333820185857815
Diluted NI Availto Com Stockholders,-0.33506383478723345,-0.48542822989854667,-0.2909871695535989,-0.8333820185857815
Tangible Book Value,-0.4988217754511911,-0.4776029086425887,-0.47635474000678857,-0.5185428398968334
Tax Rate For Calcs,0.24701343810091272,0.24701343810091272,1.0593576975952699,-2.3118709793063115
Tax Rate For Calcs,0.24701343810091272,0.24701343810091272,1.0593576975952699,-2.3118709793063115
