,2022-12-31CE,2021-12-31CE,2020-12-31CE
Basic EPS,0.5455941394757435,0.5209995441893824,0.513972516964708
Basic EPS,0.5455941394757435,0.5209995441893824,0.513972516964708
Net Income Common Stockholders,-0.12962365476897864,-0.13012740810353943,-0.11816326640772033
Net Income Common Stockholders,-0.12962365476897864,-0.13012740810353943,-0.11816326640772033
Total Liabilities Net Minority Interest,-0.1793869941051667,-0.23232099973414996,-0.23408421902762855
Net Income Including Noncontrolling Interests,-0.13452030738825158,-0.13526989010281215,-0.12327656666984285
Net Income Including Noncontrolling Interests,-0.13452030738825158,-0.13526989010281215,-0.12327656666984285
Net Income From Continuing Operation Net Minority Interest,-0.12639104939337606,-0.12513423851739972,-0.1144513460716008
Net Income From Continuing Operation Net Minority Interest,-0.12639104939337606,-0.12513423851739972,-0.1144513460716008
Tax Effect Of Unusual Items,0.2120458532392871,0.20126133433097376,0.593800971782785
Tax Effect Of Unusual Items,0.2120458532392871,0.20126133433097376,0.593800971782785
Total Equity Gross Minority Interest,-0.3430238773418869,-0.3902302425270986,-0.4095583588848192
Share Issued,-0.4094948698351547,-0.40972833194443525,-0.4099503784461976
Invested Capital,-0.2025362510608176,-0.4048485337455479,-0.4199387673306672
Net Tangible Assets,-0.3767091872323254,-0.11562494071043736,-0.1156590604499201
Normalized Income,-0.16763603761067256,-0.17019451069565256,-0.31233290729129337
Normalized Income,-0.16763603761067256,-0.17019451069565256,-0.31233290729129337
Basic Average Shares,-0.40794628437904834,-0.40599080218601546,-0.4014691736473227
Basic Average Shares,-0.40794628437904834,-0.40599080218601546,-0.4014691736473227
Operating Revenue,-0.3367087375862622,-0.3568545492436548,-0.4079639059308076
Operating Revenue,-0.3367087375862622,-0.3568545492436548,-0.4079639059308076
Common Stock,-0.24449632083852874,-0.24449632083852874,-0.24449632083852874
Stockholders Equity,-0.34764292996109,-0.39177988620339227,-0.41198900359886637
Total Assets,-0.20599137824519084,-0.2599985457488458,-0.26402537938939247
Net Income Continuous Operations,-0.12809502220450036,-0.12709354941025697,-0.11632771687214045
Net Income Continuous Operations,-0.12809502220450036,-0.12709354941025697,-0.11632771687214045
Pretax Income,-0.22613071993545555,-0.1396002318973455,-0.1392863365356595
Pretax Income,-0.22613071993545555,-0.1396002318973455,-0.1392863365356595
Diluted EPS,0.5735886368621456,0.548229608077849,0.5424181639814478
Diluted EPS,0.5735886368621456,0.548229608077849,0.5424181639814478
Common Stock Equity,-0.35062763709384803,-0.3966623883014569,-0.41774045463477505
Net Income From Continuing And Discontinued Operation,-0.13284952060441524,-0.13335124815845045,-0.12143521875011419
Net Income From Continuing And Discontinued Operation,-0.13284952060441524,-0.13335124815845045,-0.12143521875011419
Total Revenue,-0.33655884439209693,-0.35670345404406145,-0.4078097612773024
Total Revenue,-0.33655884439209693,-0.35670345404406145,-0.4078097612773024
Total Capitalization,-0.21166871004184548,-0.4119529976280621,-0.422478887194637
Diluted Average Shares,-0.4083303022630074,-0.40639429720701425,-0.4020347135425154
Diluted Average Shares,-0.4083303022630074,-0.40639429720701425,-0.4020347135425154
Ordinary Shares Number,-0.4051642574632056,-0.4054678658743375,-0.40132392131556477
Net Income,-0.13285227267524977,-0.13335400057366997,-0.12143796298619002
Net Income,-0.13285227267524977,-0.13335400057366997,-0.12143796298619002
Capital Stock,-0.2670377526785007,-0.2670377526785007,-0.2670377526785007
Diluted NI Availto Com Stockholders,-0.1294147081400186,-0.12991844145697443,-0.11795477517927364
Diluted NI Availto Com Stockholders,-0.1294147081400186,-0.12991844145697443,-0.11795477517927364
Tangible Book Value,-0.3803170789722234,-0.10743175322528958,-0.10746741518631245
Tax Rate For Calcs,0.24701343810091272,-0.565330821393444,-1.1068936610563487
Tax Rate For Calcs,0.24701343810091272,-0.565330821393444,-1.1068936610563487
