,2022-12-31CNC,2021-12-31CNC,2020-12-31CNC
Basic EPS,-0.22687692472241128,-0.2158344533693512,-0.17266842898920742
Basic EPS,-0.22687692472241128,-0.2158344533693512,-0.17266842898920742
Net Income Common Stockholders,-0.21677298164799788,-0.1985119232701687,-0.14045435146203594
Net Income Common Stockholders,-0.21677298164799788,-0.1985119232701687,-0.14045435146203594
Total Liabilities Net Minority Interest,-0.04437596207196927,-0.04969888824096122,-0.08544566429459781
Net Income Including Noncontrolling Interests,-0.22197162408698595,-0.20523094346179965,-0.14801279625034203
Net Income Including Noncontrolling Interests,-0.22197162408698595,-0.20523094346179965,-0.14801279625034203
Net Income From Continuing Operation Net Minority Interest,-0.21436781071172006,-0.19614405301006307,-0.1382050716275537
Net Income From Continuing Operation Net Minority Interest,-0.21436781071172006,-0.19614405301006307,-0.1382050716275537
Tax Effect Of Unusual Items,-0.963528494073112,-0.4438579145841603,0.47997655333616224
Tax Effect Of Unusual Items,-0.963528494073112,-0.4438579145841603,0.47997655333616224
Total Equity Gross Minority Interest,0.20285993231261476,0.2867054214968077,0.2547929552363968
Share Issued,-0.13728177622057153,-0.14048021103568878,-0.14325077823408414
Invested Capital,0.15951289231931529,0.21867592498600122,0.16741571586168758
Net Tangible Assets,-0.24214093471241865,-0.21259324032037016,-0.22852715865880738
Normalized Income,-0.165131983660867,-0.15145795087296252,-0.19556762590369597
Normalized Income,-0.165131983660867,-0.15145795087296252,-0.19556762590369597
Basic Average Shares,-0.08696833036028871,-0.08171439894590533,-0.09004120295430512
Basic Average Shares,-0.08696833036028871,-0.08171439894590533,-0.09004120295430512
Operating Revenue,1.894333499535162,1.5840596256286992,1.3325384577265869
Operating Revenue,1.894333499535162,1.5840596256286992,1.3325384577265869
Common Stock,-0.2443901379251969,-0.2443901379251969,-0.2443901379251969
Stockholders Equity,0.21382304654665119,0.29728090993851847,0.26612899745258406
Total Assets,-0.01485654846622096,-0.009171384649126417,-0.04564709349820609
Net Income Continuous Operations,-0.21672536449504107,-0.19995069519146416,-0.14261637772102964
Net Income Continuous Operations,-0.21672536449504107,-0.19995069519146416,-0.14261637772102964
Pretax Income,-0.16952492304474512,-0.18511505934181693,-0.08466854360229377
Pretax Income,-0.16952492304474512,-0.18511505934181693,-0.08466854360229377
Diluted EPS,-0.23314546633828612,-0.22205089124515637,-0.17767259087263754
Diluted EPS,-0.23314546633828612,-0.22205089124515637,-0.17767259087263754
Common Stock Equity,0.23498017868250246,0.32202655216760817,0.2895351738981494
Net Income From Continuing And Discontinued Operation,-0.21964838745250675,-0.20146076361873036,-0.14363666301617228
Net Income From Continuing And Discontinued Operation,-0.21964838745250675,-0.20146076361873036,-0.14363666301617228
Total Revenue,2.0551524955718645,1.725940630969117,1.4623051453214442
Total Revenue,2.0551524955718645,1.725940630969117,1.4623051453214442
Total Capitalization,0.18365411951325872,0.2416325079592129,0.19156573585414835
Diluted Average Shares,-0.08704543869478527,-0.08128574353663418,-0.08901947296029128
Diluted Average Shares,-0.08704543869478527,-0.08128574353663418,-0.08901947296029128
Ordinary Shares Number,-0.10689494709293511,-0.08549992037539189,-0.08617431050045235
Net Income,-0.21965119910194592,-0.20146356278421335,-0.14363942249128425
Net Income,-0.21965119910194592,-0.20146356278421335,-0.14363942249128425
Capital Stock,-0.2669380966010256,-0.2669380966010256,-0.2669380966010256
Diluted NI Availto Com Stockholders,-0.21656057197337603,-0.19830023923372744,-0.14024497445456882
Diluted NI Availto Com Stockholders,-0.21656057197337603,-0.19830023923372744,-0.14024497445456882
Tangible Book Value,-0.23966630469805886,-0.20878304645226106,-0.22543718224993725
Tax Rate For Calcs,2.6569680746008384,0.9645842006542615,2.1831005898957963
Tax Rate For Calcs,2.6569680746008384,0.9645842006542615,2.1831005898957963
