,2023-01-31DLTR,2022-01-31DLTR,2021-01-31DLTR,2020-01-31DLTR
Basic EPS,0.03161729104240339,-0.03915491172039053,-0.0466838694611133,-0.15660665247566552
Basic EPS,0.03161729104240339,-0.03915491172039053,-0.0466838694611133,-0.15660665247566552
Net Income Common Stockholders,-0.1647100745211387,-0.20091734544269654,-0.19915420877173373,-0.2639998567630733
Net Income Common Stockholders,-0.1647100745211387,-0.20091734544269654,-0.19915420877173373,-0.2639998567630733
Total Liabilities Net Minority Interest,-0.2039073861855137,-0.20501896287689772,-0.20748331135169823,-0.20786132228041804
Net Income Including Noncontrolling Interests,-0.17032537505376197,-0.20624288012645645,-0.20449385379248175,-0.26882054374702224
Net Income Including Noncontrolling Interests,-0.17032537505376197,-0.20624288012645645,-0.20449385379248175,-0.26882054374702224
Net Income From Continuing Operation Net Minority Interest,-0.16241124909885804,-0.1985445617831779,-0.19678502655681102,-0.2614982185608329
Net Income From Continuing Operation Net Minority Interest,-0.16241124909885804,-0.1985445617831779,-0.19678502655681102,-0.2614982185608329
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954,-0.08116106304894741
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954,-0.08116106304894741
Total Equity Gross Minority Interest,-0.2633480830417193,-0.29444768459549714,-0.30748964722192174,-0.3385139835250854
Share Issued,-0.37772348594929894,-0.37531224421426884,-0.3701610408753517,-0.3680818007786747
Invested Capital,-0.3380139391096244,-0.35527703323081483,-0.36565884773700497,-0.37371972775022466
Net Tangible Assets,-0.06013259641571721,-0.09542264296270998,-0.11020331410663077,-0.14532617393015815
Normalized Income,-0.19145279134378532,-0.22852743912260348,-0.22672206496989583,-0.2627278022950144
Normalized Income,-0.19145279134378532,-0.22852743912260348,-0.22672206496989583,-0.2627278022950144
Basic Average Shares,-0.32899641208784,-0.32576470450406797,-0.3199201269589484,-0.3193700490723489
Basic Average Shares,-0.32899641208784,-0.32576470450406797,-0.3199201269589484,-0.3193700490723489
Operating Revenue,-0.006054963365824563,-0.04167190714461626,-0.055883926037428276,-0.08953594382005879
Operating Revenue,-0.006054963365824563,-0.04167190714461626,-0.055883926037428276,-0.08953594382005879
Common Stock,-0.24426271842919867,-0.24426271842919867,-0.2442521001378655,-0.2442414818465323
Stockholders Equity,-0.25270884831975665,-0.2841960553627803,-0.2974005646474249,-0.32881156838201925
Total Assets,-0.21826793232437727,-0.22317983831199723,-0.22705481574958897,-0.23129092385888453
Net Income Continuous Operations,-0.1649742578525135,-0.20096468639563558,-0.19921210900570965,-0.2636694017252003
Net Income Continuous Operations,-0.1649742578525135,-0.20096468639563558,-0.19921210900570965,-0.2636694017252003
Pretax Income,-0.15397663946256476,-0.20403248647276045,-0.19277410616695556,-0.2598535449592559
Pretax Income,-0.15397663946256476,-0.20403248647276045,-0.19277410616695556,-0.2598535449592559
Diluted EPS,0.03840746689355534,-0.03608468016031556,-0.04400937665540818,-0.15918163238408803
Diluted EPS,0.03840746689355534,-0.03608468016031556,-0.04400937665540818,-0.15918163238408803
Common Stock Equity,-0.2516115924556589,-0.28445268223291026,-0.2982249572488883,-0.33098656713800495
Net Income From Continuing And Discontinued Operation,-0.16779484474296769,-0.20385651268924848,-0.20210046625012523,-0.26668534564330776
Net Income From Continuing And Discontinued Operation,-0.16779484474296769,-0.20385651268924848,-0.20210046625012523,-0.26668534564330776
Total Revenue,-0.005685404151683191,-0.04133746199083339,-0.05573482869543725,-0.08940079825904165
Total Revenue,-0.005685404151683191,-0.04133746199083339,-0.05573482869543725,-0.08940079825904165
Total Capitalization,-0.32925768778321124,-0.3471035423817049,-0.35783582193978125,-0.37046860933626696
Diluted Average Shares,-0.33027635951930207,-0.32694666316784615,-0.32130656526640045,-0.32062703539875637
Diluted Average Shares,-0.33027635951930207,-0.32694666316784615,-0.32130656526640045,-0.32062703539875637
Ordinary Shares Number,-0.32912741018447683,-0.3265126553501307,-0.32092668126986473,-0.3186719496037821
Net Income,-0.16779762080021732,-0.20385931349916983,-0.2021032658546991,-0.2666881895788405
Net Income,-0.16779762080021732,-0.20385931349916983,-0.2021032658546991,-0.2666881895788405
Capital Stock,-0.26681850930805545,-0.26681850930805545,-0.266808543700308,-0.26679857809256047
Diluted NI Availto Com Stockholders,-0.1644997336659917,-0.20070556582219148,-0.1989424992128461,-0.26378557043798445
Diluted NI Availto Com Stockholders,-0.1644997336659917,-0.20070556582219148,-0.1989424992128461,-0.26378557043798445
Tangible Book Value,-0.04943113981770816,-0.08631630610365348,-0.10176506761875695,-0.13847549029569026
Tax Rate For Calcs,0.5854902128902281,-0.07792426569682992,0.5042557869407926,0.7479590647890996
Tax Rate For Calcs,0.5854902128902281,-0.07792426569682992,0.5042557869407926,0.7479590647890996
