,2022-12-31ECL,2021-12-31ECL,2020-12-31ECL
Basic EPS,-0.1395410149300273,-0.13351784873744907,-0.5425912193167189
Basic EPS,-0.1395410149300273,-0.13351784873744907,-0.5425912193167189
Net Income Common Stockholders,-0.23066397984851206,-0.22585313550345637,-0.5199191445533262
Net Income Common Stockholders,-0.23066397984851206,-0.22585313550345637,-0.5199191445533262
Total Liabilities Net Minority Interest,-0.20417727517642587,-0.20522688968037398,-0.21366372765822622
Net Income Including Noncontrolling Interests,-0.23360264920791762,-0.22921759032773822,-0.5205179262512225
Net Income Including Noncontrolling Interests,-0.23360264920791762,-0.22921759032773822,-0.5205179262512225
Net Income From Continuing Operation Net Minority Interest,-0.22823043467373913,-0.2234294171275095,-0.24385259386212507
Net Income From Continuing Operation Net Minority Interest,-0.22823043467373913,-0.2234294171275095,-0.24385259386212507
Tax Effect Of Unusual Items,0.06691122410273441,0.08092800936822947,0.059295500164277835
Tax Effect Of Unusual Items,0.06691122410273441,0.08092800936822947,0.059295500164277835
Total Equity Gross Minority Interest,-0.3082934800984811,-0.30845906364983233,-0.34011863866817965
Share Issued,-0.2884567952856595,-0.2888335352097855,-0.3376251906451435
Invested Capital,-0.27739678691114195,-0.27463662180444814,-0.3267004233015967
Net Tangible Assets,-0.3373793635305768,-0.35807298552685557,-0.2814264027528397
Normalized Income,-0.24403914936501944,-0.24335685978612223,-0.25537582871506165
Normalized Income,-0.24403914936501944,-0.24335685978612223,-0.25537582871506165
Basic Average Shares,-0.2863653758763795,-0.2856090187823052,-0.28512770063153065
Basic Average Shares,-0.2863653758763795,-0.2856090187823052,-0.28512770063153065
Operating Revenue,-0.25664332343943447,-0.28244095743416076,-0.29916233578957935
Operating Revenue,-0.25664332343943447,-0.28244095743416076,-0.29916233578957935
Common Stock,-0.20577141234640303,-0.20583512209440213,-0.20599439646439993
Stockholders Equity,-0.29890024575731533,-0.2992629735054392,-0.3315030692357453
Total Assets,-0.22415254906475593,-0.22512677082450921,-0.23676303568974377
Net Income Continuous Operations,-0.2283800041380486,-0.2239860422533057,-0.24391535085874932
Net Income Continuous Operations,-0.2283800041380486,-0.2239860422533057,-0.24391535085874932
Pretax Income,-0.23425014662440036,-0.22684221608861052,-0.2532931319000183
Pretax Income,-0.23425014662440036,-0.22684221608861052,-0.2532931319000183
Diluted EPS,-0.14121898699521135,-0.13593585599848293,-0.5665110322318502
Diluted EPS,-0.14121898699521135,-0.13593585599848293,-0.5665110322318502
Common Stock Equity,-0.29978912144737885,-0.30016744571489995,-0.333793796786922
Net Income From Continuing And Discontinued Operation,-0.23348352475502768,-0.22869202661399143,-0.5215754862820459
Net Income From Continuing And Discontinued Operation,-0.23348352475502768,-0.22869202661399143,-0.5215754862820459
Total Revenue,-0.2564982073703634,-0.2822943021421176,-0.29901468281186877
Total Revenue,-0.2564982073703634,-0.2822943021421176,-0.29901468281186877
Total Capitalization,-0.27528154525578974,-0.27080976210659125,-0.31785980050254264
Diluted Average Shares,-0.28780574279154797,-0.2861069181224378,-0.28529148228126494
Diluted Average Shares,-0.28780574279154797,-0.2861069181224378,-0.28529148228126494
Ordinary Shares Number,-0.28645401545078386,-0.2848354791506388,-0.2856447473007113
Net Income,-0.23348634590088316,-0.2286948444709702,-0.5215785051737671
Net Income,-0.23348634590088316,-0.2286948444709702,-0.5215785051737671
Capital Stock,-0.23069318122333168,-0.23075297486981675,-0.2309024589860294
Diluted NI Availto Com Stockholders,-0.23045101818843286,-0.22564036501150472,-0.5196946887844666
Diluted NI Availto Com Stockholders,-0.23045101818843286,-0.22564036501150472,-0.5196946887844666
Tangible Book Value,-0.3392095365011713,-0.3608385158615366,-0.2807274866197812
Tax Rate For Calcs,-0.2268540466041288,-0.010228910738966788,-0.5382526794102989
Tax Rate For Calcs,-0.2268540466041288,-0.010228910738966788,-0.5382526794102989
