,2022-12-31EQR,2021-12-31EQR,2020-12-31EQR
Basic EPS,-0.22838271627055579,-0.15309313886332826,-0.20880742614467665
Basic EPS,-0.22838271627055579,-0.15309313886332826,-0.20880742614467665
Net Income Common Stockholders,-0.27069713140772556,-0.20068310014212576,-0.2534782127407691
Net Income Common Stockholders,-0.27069713140772556,-0.20068310014212576,-0.2534782127407691
Total Liabilities Net Minority Interest,-0.22783265016895096,-0.22381656059395152,-0.2250583077813838
Net Income Including Noncontrolling Interests,-0.27131977744781965,-0.19764591597316114,-0.2518923425127434
Net Income Including Noncontrolling Interests,-0.27131977744781965,-0.19764591597316114,-0.2518923425127434
Net Income From Continuing Operation Net Minority Interest,-0.2677934585575108,-0.1979230688050076,-0.2549122782085417
Net Income From Continuing Operation Net Minority Interest,-0.2677934585575108,-0.1979230688050076,-0.2549122782085417
Tax Effect Of Unusual Items,0.1369106767844511,0.1379002784127932,0.13732921271244292
Tax Effect Of Unusual Items,0.1369106767844511,0.1379002784127932,0.13732921271244292
Total Equity Gross Minority Interest,-0.17455158545992527,-0.1749961622422531,-0.19257053804846289
Share Issued,-0.2799565290735208,-0.2817616036662741,-0.28376735439027606
Invested Capital,-0.2317204467014966,-0.22012009999268892,-0.23220716080656725
Net Tangible Assets,0.19593737907204858,0.18848252307272634,0.17383502127200667
Normalized Income,-0.338781261845477,-0.36390209362495923,-0.35488029558271694
Normalized Income,-0.338781261845477,-0.36390209362495923,-0.35488029558271694
Basic Average Shares,-0.2237878278994633,-0.2254215592226638,-0.226825633028209
Basic Average Shares,-0.2237878278994633,-0.2254215592226638,-0.226825633028209
Operating Revenue,-0.45974396208704715,-0.4645531184626517,-0.462643025960896
Operating Revenue,-0.45974396208704715,-0.4645531184626517,-0.462643025960896
Common Stock,-0.24409452469448104,-0.24409760399896765,-0.24410100185219427
Stockholders Equity,-0.17888494247408984,-0.18554483729890814,-0.19863037797843278
Total Assets,-0.22885947939852658,-0.22526713959678787,-0.2286002321509496
Net Income Continuous Operations,-0.2661737096313052,-0.19235089370824884,-0.25099238354336956
Net Income Continuous Operations,-0.2661737096313052,-0.19235089370824884,-0.25099238354336956
Pretax Income,-0.2897545893227418,-0.22822105378070992,-0.277253497280022
Pretax Income,-0.2897545893227418,-0.22822105378070992,-0.277253497280022
Diluted EPS,-0.23420209253763177,-0.15548344068637812,-0.21306956855071804
Diluted EPS,-0.23420209253763177,-0.15548344068637812,-0.21306956855071804
Common Stock Equity,-0.1757986202319121,-0.1827448763272862,-0.19639306734190834
Net Income From Continuing And Discontinued Operation,-0.2729681035068252,-0.20323625200057244,-0.26011246382166947
Net Income From Continuing And Discontinued Operation,-0.2729681035068252,-0.20323625200057244,-0.26011246382166947
Total Revenue,-0.45958672796216066,-0.464395597398119,-0.46248561886256107
Total Revenue,-0.45958672796216066,-0.464395597398119,-0.46248561886256107
Total Capitalization,-0.2209699157971826,-0.21216110496407012,-0.2263726726005463
Diluted Average Shares,-0.21791609590435584,-0.21884093605421942,-0.22034609471105104
Diluted Average Shares,-0.21791609590435584,-0.21884093605421942,-0.22034609471105104
Ordinary Shares Number,-0.223108747925771,-0.22506617403083065,-0.227241213690225
Net Income,-0.27297095175483294,-0.2032384252248748,-0.2558212650269572
Net Income,-0.27297095175483294,-0.2032384252248748,-0.2558212650269572
Capital Stock,-0.2629454755130632,-0.26294836553930995,-0.26295155453378916
Diluted NI Availto Com Stockholders,-0.27048257895358285,-0.20047132982980703,-0.25326434451338664
Diluted NI Availto Com Stockholders,-0.27048257895358285,-0.20047132982980703,-0.25326434451338664
Tangible Book Value,0.21688379056841264,0.2090919730425667,0.19378240016133547
Tax Rate For Calcs,-2.581203718541665,-2.5873504567718393,-2.5838167592430388
Tax Rate For Calcs,-2.581203718541665,-2.5873504567718393,-2.5838167592430388
