,2022-12-31ES,2021-12-31ES,2020-12-31ES
Basic EPS,-0.12849854357696724,-0.15359506937937645,-0.15309313886332826
Basic EPS,-0.12849854357696724,-0.15359506937937645,-0.15309313886332826
Net Income Common Stockholders,-0.19122324221074205,-0.21443972214064586,-0.21637413494535934
Net Income Common Stockholders,-0.19122324221074205,-0.21443972214064586,-0.21637413494535934
Total Liabilities Net Minority Interest,-0.10688220246479503,-0.12295678244645174,-0.1306761398791567
Net Income Including Noncontrolling Interests,-0.1956870064791095,-0.21871768552307846,-0.22063661727235356
Net Income Including Noncontrolling Interests,-0.1956870064791095,-0.21871768552307846,-0.22063661727235356
Net Income From Continuing Operation Net Minority Interest,-0.18887026006535002,-0.2120393172017987,-0.21396977870729836
Net Income From Continuing Operation Net Minority Interest,-0.18887026006535002,-0.2120393172017987,-0.21396977870729836
Tax Effect Of Unusual Items,0.17131575846853062,0.15883756866234142,0.1639586944757656
Tax Effect Of Unusual Items,0.17131575846853062,0.15883756866234142,0.1639586944757656
Total Equity Gross Minority Interest,-0.05630156746138569,-0.08259364629133338,-0.09873888551888119
Share Issued,-0.2914278806525496,-0.2927747127591974,-0.2927747127591974
Invested Capital,0.09855605180869682,0.038755752089077236,-0.007609780883555973
Net Tangible Assets,0.1883316455847337,0.1600821731602638,0.14285180708070108
Normalized Income,-0.22365777762944578,-0.24612063725261135,-0.2488592017555667
Normalized Income,-0.22365777762944578,-0.24612063725261135,-0.2488592017555667
Basic Average Shares,-0.24402076247008198,-0.24595326722219424,-0.24948530289250506
Basic Average Shares,-0.24402076247008198,-0.24595326722219424,-0.24948530289250506
Operating Revenue,-0.29031066338867767,-0.3333377722615302,-0.3503385496157712
Operating Revenue,-0.29031066338867767,-0.3333377722615302,-0.3503385496157712
Common Stock,-0.05337557147426522,-0.05452532005982249,-0.05452532005982249
Stockholders Equity,-0.047823817227407535,-0.07444358366648905,-0.09079004680164748
Total Assets,-0.10415366207996156,-0.12205439573394142,-0.13109228008605722
Net Income Continuous Operations,-0.1903873811110354,-0.2134648194451831,-0.21538764721013046
Net Income Continuous Operations,-0.1903873811110354,-0.2134648194451831,-0.21538764721013046
Pretax Income,-0.17957292283588874,-0.21030317411316188,-0.21170492616666436
Pretax Income,-0.17957292283588874,-0.21030317411316188,-0.21170492616666436
Diluted EPS,-0.12853947260306314,-0.15548344068637812,-0.1549551275867053
Diluted EPS,-0.12853947260306314,-0.15548344068637812,-0.1549551275867053
Common Stock Equity,-0.03791694208781784,-0.06568130169839916,-0.08273062787803594
Net Income From Continuing And Discontinued Operation,-0.1942013930712834,-0.21732451085410415,-0.21925114466159937
Net Income From Continuing And Discontinued Operation,-0.1942013930712834,-0.21732451085410415,-0.21925114466159937
Total Revenue,-0.2901635385484507,-0.33318808019694407,-0.35018784319509905
Total Revenue,-0.2901635385484507,-0.33318808019694407,-0.35018784319509905
Total Capitalization,0.07379692363352097,0.013074907034708006,-0.028044325764623165
Diluted Average Shares,-0.24659445255946763,-0.24837190698862263,-0.25162277379825265
Diluted Average Shares,-0.24659445255946763,-0.24837190698862263,-0.25162277379825265
Ordinary Shares Number,-0.2433309110804857,-0.24605589160882238,-0.24703319956952663
Net Income,-0.19420418725394595,-0.21732732090843812,-0.21925395603837172
Net Income,-0.19420418725394595,-0.21732732090843812,-0.21925395603837172
Capital Stock,-0.08766478570951854,-0.08874386171641893,-0.08874386171641893
Diluted NI Availto Com Stockholders,-0.19101184780402286,-0.2142274051825659,-0.21616174111967626
Diluted NI Availto Com Stockholders,-0.19101184780402286,-0.2142274051825659,-0.21616174111967626
Tangible Book Value,0.21026375375785586,0.18073739746701692,0.1627282141363551
Tax Rate For Calcs,0.693802780822809,0.36797149833962245,0.40948228999978425
Tax Rate For Calcs,0.693802780822809,0.36797149833962245,0.40948228999978425
