,2022-12-31EXPE,2021-12-31EXPE,2020-12-31EXPE
Basic EPS,-0.21934796698168849,-0.4221278954651548,-1.2854483830680308
Basic EPS,-0.21934796698168849,-0.4221278954651548,-1.2854483830680308
Net Income Common Stockholders,-0.3238205652421689,-0.40202827043273387,-0.7065471611747404
Net Income Common Stockholders,-0.3238205652421689,-0.40202827043273387,-0.7065471611747404
Total Liabilities Net Minority Interest,-0.189093017291438,-0.1884151759121054,-0.20227141809576257
Net Income Including Noncontrolling Interests,-0.32928688272157575,-0.3702640711175541,-0.7129483021241662
Net Income Including Noncontrolling Interests,-0.32928688272157575,-0.3702640711175541,-0.7129483021241662
Net Income From Continuing Operation Net Minority Interest,-0.3211967351697092,-0.36392830495290485,-0.6937154788090971
Net Income From Continuing Operation Net Minority Interest,-0.3211967351697092,-0.36392830495290485,-0.6937154788090971
Tax Effect Of Unusual Items,-0.3052684212069368,0.15340503167533337,-0.3442387296370816
Tax Effect Of Unusual Items,-0.3052684212069368,0.15340503167533337,-0.3442387296370816
Total Equity Gross Minority Interest,-0.4145860776258462,-0.41988475126908426,-0.4056144597526363
Share Issued,-0.3342899376967722,-0.34105559438618704,-0.3492003455199716
Invested Capital,-0.3987425627138624,-0.3657337165916169,-0.37872762224760165
Net Tangible Assets,-0.39237014765490075,-0.40731459354833865,-0.4024013510628248
Normalized Income,-0.3186682231037378,-0.4003848733777449,-0.5941007462314979
Normalized Income,-0.3186682231037378,-0.4003848733777449,-0.5941007462314979
Basic Average Shares,-0.3747408891374535,-0.3795114396089876,-0.38523224962962227
Basic Average Shares,-0.3747408891374535,-0.3795114396089876,-0.38523224962962227
Operating Revenue,-0.3013471632510149,-0.35577277590641804,-0.4160506049763807
Operating Revenue,-0.3013471632510149,-0.35577277590641804,-0.4160506049763807
Common Stock,-0.24449632083852874,-0.24449632083852874,-0.24449632083852874
Stockholders Equity,-0.4498772885499588,-0.4567660676319756,-0.4422874390303916
Total Assets,-0.22378726312381703,-0.22383637085114078,-0.23463251582739073
Net Income Continuous Operations,-0.3242585057769259,-0.3653188903409052,-0.7086988746671101
Net Income Continuous Operations,-0.3242585057769259,-0.3653188903409052,-0.7086988746671101
Pretax Income,-0.31852058805837113,-0.37878849750208504,-0.7045072511449346
Pretax Income,-0.31852058805837113,-0.37878849750208504,-0.7045072511449346
Diluted EPS,-0.22786233534155764,-0.4376026359116764,-1.3463011673489667
Diluted EPS,-0.22786233534155764,-0.4376026359116764,-1.3463011673489667
Common Stock Equity,-0.4572578550153399,-0.46444283690271526,-0.4818330364265841
Net Income From Continuing And Discontinued Operation,-0.32626549268498906,-0.368912334777982,-0.6980456102250804
Net Income From Continuing And Discontinued Operation,-0.32626549268498906,-0.368912334777982,-0.6980456102250804
Total Revenue,-0.30119937991496915,-0.3556217452511303,-0.41589597782773885
Total Revenue,-0.30119937991496915,-0.3556217452511303,-0.41589597782773885
Total Capitalization,-0.3920363634481704,-0.3705546051660592,-0.35376821919060647
Diluted Average Shares,-0.3726443672370419,-0.38081027765652065,-0.3864639661553193
Diluted Average Shares,-0.3726443672370419,-0.38081027765652065,-0.3864639661553193
Ordinary Shares Number,-0.37494748766121794,-0.3733505318450748,-0.3814773024178419
Net Income,-0.3262683775162403,-0.36891524888195804,-0.6980487502456151
Net Income,-0.3262683775162403,-0.36891524888195804,-0.6980487502456151
Capital Stock,-0.2670377526785007,-0.2670377526785007,-0.1651892414989484
Diluted NI Availto Com Stockholders,-0.32360390182648846,-0.40180849928388,-0.7063152893836752
Diluted NI Availto Com Stockholders,-0.32360390182648846,-0.40180849928388,-0.7063152893836752
Tangible Book Value,-0.3966859190817167,-0.41230585800972985,-0.44361705978780197
Tax Rate For Calcs,2.30495222881995,1.0593576975952699,-0.7819559572586058
Tax Rate For Calcs,2.30495222881995,1.0593576975952699,-0.7819559572586058
