,2022-12-31FANG,2021-12-31FANG,2020-12-31FANG
Basic EPS,0.9034705974180987,0.2881037847430253,-1.7667997479582391
Basic EPS,0.9034705974180987,0.2881037847430253,-1.7667997479582391
Net Income Common Stockholders,0.18421467266240277,-0.09335341468060068,-0.9370143117363086
Net Income Common Stockholders,0.18421467266240277,-0.09335341468060068,-0.9370143117363086
Total Liabilities Net Minority Interest,-0.21950855010394354,-0.22310984234015216,-0.23075323163593905
Net Income Including Noncontrolling Interests,0.1977946960669391,-0.08779631818064204,-0.9558131016417942
Net Income Including Noncontrolling Interests,0.1977946960669391,-0.08779631818064204,-0.9558131016417942
Net Income From Continuing Operation Net Minority Interest,0.18580077219914748,-0.09120034486603847,-0.9331379506825904
Net Income From Continuing Operation Net Minority Interest,0.18580077219914748,-0.09120034486603847,-0.9331379506825904
Tax Effect Of Unusual Items,-0.22214337155895295,-0.4509240212438781,-3.1453012639996114
Tax Effect Of Unusual Items,-0.22214337155895295,-0.4509240212438781,-3.1453012639996114
Total Equity Gross Minority Interest,-0.05445690648713295,-0.12806632158779788,-0.23166141253315087
Share Issued,-0.4034590931098069,-0.40488290345152766,-0.41698705755387483
Invested Capital,-0.18688034168529696,-0.228174674384598,-0.2974865962320146
Net Tangible Assets,0.326805721162187,0.22714196213311816,0.11475154027698917
Normalized Income,0.22959785810366293,-0.02115068692120152,-0.3441032368541598
Normalized Income,0.22959785810366293,-0.02115068692120152,-0.3441032368541598
Basic Average Shares,-0.36108039242111345,-0.36100888229585554,-0.3738442621822964
Basic Average Shares,-0.36108039242111345,-0.36100888229585554,-0.3738442621822964
Operating Revenue,-0.3386062744237103,-0.3885983897953562,-0.4584880409765044
Operating Revenue,-0.3386062744237103,-0.3885983897953562,-0.4584880409765044
Common Stock,-0.24428395501186503,-0.24428395501186503,-0.24428395501186503
Stockholders Equity,-0.06197196732099495,-0.15100791288989354,-0.251413392076457
Total Assets,-0.20622936184683668,-0.21873672224444465,-0.23867823705536964
Net Income Continuous Operations,0.20389320908718594,-0.08227764186786493,-0.9520567636682558
Net Income Continuous Operations,0.20389320908718594,-0.08227764186786493,-0.9520567636682558
Pretax Income,0.22535544195625531,-0.070647884113652,-0.9791656926201933
Pretax Income,0.22535544195625531,-0.070647884113652,-0.9791656926201933
Diluted EPS,0.9576722603243026,0.3073188346270326,-1.8529534299352235
Diluted EPS,0.9576722603243026,0.3073188346270326,-1.8529534299352235
Common Stock Equity,-0.052673432454545276,-0.14553773375110987,-0.2502604343573693
Net Income From Continuing And Discontinued Operation,0.1797267455595212,-0.09672513671388006,-0.9369933578343497
Net Income From Continuing And Discontinued Operation,0.1797267455595212,-0.09672513671388006,-0.9369933578343497
Total Revenue,-0.33845626801248446,-0.38844540059073085,-0.45833088178649856
Total Revenue,-0.33845626801248446,-0.38844540059073085,-0.45833088178649856
Total Capitalization,-0.1731941757927801,-0.21648447651021308,-0.29064728012307406
Diluted Average Shares,-0.3625954795543215,-0.36203826506285336,-0.37520959248739827
Diluted Average Shares,-0.3625954795543215,-0.36203826506285336,-0.37520959248739827
Ordinary Shares Number,-0.35703514845068235,-0.35857913092250204,-0.3717048972009245
Net Income,0.17972420804054037,-0.09672786398899473,-0.9369966618682395
Net Income,0.17972420804054037,-0.09672786398899473,-0.9369966618682395
Capital Stock,-0.2668384405235505,-0.2668384405235505,-0.2668384405235505
Diluted NI Availto Com Stockholders,0.18441114832345923,-0.09314590931919935,-0.9367732818909643
Diluted NI Availto Com Stockholders,0.18441114832345923,-0.09314590931919935,-0.9367732818909643
Tangible Book Value,0.3549968953581514,0.25082830721037386,0.13335780760106913
Tax Rate For Calcs,0.17931808314304962,0.34178693504192115,-0.010228910738966788
Tax Rate For Calcs,0.17931808314304962,0.34178693504192115,-0.010228910738966788
