,2022-12-31FITB,2021-12-31FITB,2020-12-31FITB
Basic EPS,-0.16212788815219556,-0.1420506675102682,-0.23942518762361586
Basic EPS,-0.16212788815219556,-0.1420506675102682,-0.23942518762361586
Net Income Common Stockholders,-0.07496641796913131,-0.034162397869706124,-0.20229007327937473
Net Income Common Stockholders,-0.07496641796913131,-0.034162397869706124,-0.20229007327937473
Total Liabilities Net Minority Interest,0.5273894791991569,0.522320223730406,0.4918090445883014
Net Income Including Noncontrolling Interests,-0.06655814126809227,-0.02608067468182092,-0.1938622722909642
Net Income Including Noncontrolling Interests,-0.06655814126809227,-0.02608067468182092,-0.1938622722909642
Net Income From Continuing Operation Net Minority Interest,-0.058020537740263015,-0.01729986535862951,-0.18608956600225235
Net Income From Continuing Operation Net Minority Interest,-0.058020537740263015,-0.01729986535862951,-0.18608956600225235
Tax Effect Of Unusual Items,0.13655422088109379,0.1300104893559974,0.12092228540097086
Tax Effect Of Unusual Items,0.13655422088109379,0.1300104893559974,0.12092228540097086
Total Equity Gross Minority Interest,-0.005173220384969969,0.1418348671146402,0.16896046343598953
Share Issued,0.05926716203226843,0.05926716203226843,0.05926716203226843
Invested Capital,0.012670112140414823,-0.009557618917710151,0.05852312620942113
Net Tangible Assets,0.17285745661608684,0.37491455383284333,0.43083680684504594
Normalized Income,-0.08444439665390326,-0.04154483812667044,-0.21308581608390156
Normalized Income,-0.08444439665390326,-0.04154483812667044,-0.21308581608390156
Basic Average Shares,-0.008965457719105487,0.0003551589426637816,0.008978317412469032
Basic Average Shares,-0.008965457719105487,0.0003551589426637816,0.008978317412469032
Operating Revenue,-0.3632210513431301,-0.37219444984545463,-0.37804666626001415
Operating Revenue,-0.3632210513431301,-0.37219444984545463,-0.37804666626001415
Common Stock,-0.026715165594904312,-0.026715165594904312,-0.026715165594904312
Stockholders Equity,0.008683740254734909,0.15752404227901828,0.18498771463697022
Total Assets,0.4784192399482904,0.4922600640186123,0.4679479614758744
Net Income Continuous Operations,-0.060996344990192734,-0.020436696823335133,-0.18855894215694552
Net Income Continuous Operations,-0.060996344990192734,-0.020436696823335133,-0.18855894215694552
Pretax Income,-0.05118637168911939,-0.006822493904163325,-0.18678916793747566
Pretax Income,-0.05118637168911939,-0.006822493904163325,-0.18678916793747566
Diluted EPS,-0.16552138958016213,-0.1454454917925941,-0.24582498073043432
Diluted EPS,-0.16552138958016213,-0.1454454917925941,-0.24582498073043432
Common Stock Equity,-0.04625145749326282,0.10898866001140164,0.1376332116951417
Net Income From Continuing And Discontinued Operation,-0.06361111814755613,-0.022971186270704037,-0.19142621253802614
Net Income From Continuing And Discontinued Operation,-0.06361111814755613,-0.022971186270704037,-0.19142621253802614
Total Revenue,-0.363069576284427,-0.3720424393864464,-0.37789430662689383
Total Revenue,-0.363069576284427,-0.3720424393864464,-0.37789430662689383
Total Capitalization,-0.004745544395664987,0.04667996182011755,0.11638818144973849
Diluted Average Shares,-0.010318336457223581,0.0007212799503869367,0.006522426430464324
Diluted Average Shares,-0.010318336457223581,0.0007212799503869367,0.006522426430464324
Ordinary Shares Number,-0.017449316952730665,-0.01785949181703444,0.002360518684401056
Net Income,-0.06361382269326094,-0.02297386292122402,-0.19142900481580916
Net Income,-0.06361382269326094,-0.02297386292122402,-0.19142900481580916
Capital Stock,0.14822912216024137,0.14822912216024137,0.14822912216024137
Diluted NI Availto Com Stockholders,-0.0747596432503118,-0.03395724457689012,-0.20207823911089612
Diluted NI Availto Com Stockholders,-0.0747596432503118,-0.03395724457689012,-0.20207823911089612
Tangible Book Value,0.11862941769862746,0.32981955087601134,0.3882695049924808
Tax Rate For Calcs,0.24701343810091272,0.274091580084058,0.19285715413462223
Tax Rate For Calcs,0.24701343810091272,0.274091580084058,0.19285715413462223
