,2022-12-31FMC,2021-12-31FMC,2020-12-31FMC
Basic EPS,-0.03915491172039053,-0.044676147396920565,-0.11896186377205174
Basic EPS,-0.03915491172039053,-0.044676147396920565,-0.11896186377205174
Net Income Common Stockholders,-0.27561137112469986,-0.27523355612377925,-0.2987588368477689
Net Income Common Stockholders,-0.27561137112469986,-0.27523355612377925,-0.2987588368477689
Total Liabilities Net Minority Interest,-0.23093870234463987,-0.23194090953739538,-0.23330158253934394
Net Income Including Noncontrolling Interests,-0.2795020974295105,-0.28005179142018827,-0.30323888339059557
Net Income Including Noncontrolling Interests,-0.2795020974295105,-0.28005179142018827,-0.30323888339059557
Net Income From Continuing Operation Net Minority Interest,-0.26065615527392877,-0.26391129544270747,-0.29245347043613024
Net Income From Continuing Operation Net Minority Interest,-0.26065615527392877,-0.26391129544270747,-0.29245347043613024
Tax Effect Of Unusual Items,0.14681299449262683,0.12407535294741966,0.11119880587900147
Tax Effect Of Unusual Items,0.14681299449262683,0.12407535294741966,0.11119880587900147
Total Equity Gross Minority Interest,-0.4244337830162051,-0.4321770719993916,-0.43697899498857606
Share Issued,-0.3996387607984922,-0.3996387607984922,-0.3996387607984922
Invested Capital,-0.4298730324615103,-0.43578101696655536,-0.43689905852876043
Net Tangible Assets,-0.21438452664321375,-0.219577550992486,-0.2293221485887551
Normalized Income,-0.2951247514352263,-0.2908429326617199,-0.3205264947191198
Normalized Income,-0.2951247514352263,-0.2908429326617199,-0.3205264947191198
Basic Average Shares,-0.3958480652436342,-0.3941806416498795,-0.39328676508415533
Basic Average Shares,-0.3958480652436342,-0.3941806416498795,-0.39328676508415533
Operating Revenue,-0.40535168933121785,-0.4187780925053481,-0.4259266635256782
Operating Revenue,-0.40535168933121785,-0.4187780925053481,-0.4259266635256782
Common Stock,-0.24252131865055634,-0.24252131865055634,-0.24252131865055634
Stockholders Equity,-0.41650328759022337,-0.42423335119730066,-0.42918656624521095
Total Assets,-0.26303453655269887,-0.26491649576444404,-0.2667550135250952
Net Income Continuous Operations,-0.26220474776361935,-0.26638589667958557,-0.2946149110673213
Net Income Continuous Operations,-0.26220474776361935,-0.26638589667958557,-0.2946149110673213
Pretax Income,-0.2718652741331072,-0.28087407101349565,-0.2983266531232378
Pretax Income,-0.2718652741331072,-0.28087407101349565,-0.2983266531232378
Diluted EPS,-0.03555636706064273,-0.04136781115704398,-0.1195581499086248
Diluted EPS,-0.03555636706064273,-0.04136781115704398,-0.1195581499086248
Common Stock Equity,-0.42244884320787374,-0.43051128306025604,-0.4356774757890105
Net Income From Continuing And Discontinued Operation,-0.2780369315533544,-0.2776480926989771,-0.301128942227825
Net Income From Continuing And Discontinued Operation,-0.2780369315533544,-0.2776480926989771,-0.301128942227825
Total Revenue,-0.405197700536339,-0.418623302620408,-0.4257714471192697
Total Revenue,-0.405197700536339,-0.418623302620408,-0.4257714471192697
Total Capitalization,-0.4335190318233697,-0.43790653905937177,-0.43729940850103827
Diluted Average Shares,-0.39645781191876056,-0.3948316969454883,-0.3938124021440222
Diluted Average Shares,-0.39645781191876056,-0.3948316969454883,-0.3938124021440222
Ordinary Shares Number,-0.3939445152745107,-0.3935475186676407,-0.39108322701409676
Net Income,-0.2780397832805977,-0.27765094415932207,-0.30113180980538784
Net Income,-0.2780397832805977,-0.27765094415932207,-0.30113180980538784
Capital Stock,-0.26518414963746384,-0.26518414963746384,-0.26518414963746384
Diluted NI Availto Com Stockholders,-0.27539662339381615,-0.2750188234060993,-0.29854316930793623
Diluted NI Availto Com Stockholders,-0.27539662339381615,-0.2750188234060993,-0.29854316930793623
Tangible Book Value,-0.21065529940596128,-0.21608304987364074,-0.2262681059417699
Tax Rate For Calcs,-0.5924089633765893,-1.201667157997357,0.20639622512619485
Tax Rate For Calcs,-0.5924089633765893,-1.201667157997357,0.20639622512619485
