,2022-12-31FSLR,2021-12-31FSLR,2020-12-31FSLR
Basic EPS,-0.3523595537344572,-0.11042904499923262,-0.14305452854236458
Basic EPS,-0.3523595537344572,-0.11042904499923262,-0.14305452854236458
Net Income Common Stockholders,-0.37371305112707287,-0.3091244432746929,-0.31798269378627736
Net Income Common Stockholders,-0.37371305112707287,-0.3091244432746929,-0.31798269378627736
Total Liabilities Net Minority Interest,-0.2532086069846338,-0.2572048686596538,-0.25664842326526277
Net Income Including Noncontrolling Interests,-0.377655706265836,-0.31358399936469855,-0.32237135752749224
Net Income Including Noncontrolling Interests,-0.377655706265836,-0.31358399936469855,-0.32237135752749224
Net Income From Continuing Operation Net Minority Interest,-0.37098730891891357,-0.30653063201467845,-0.31537078835412086
Net Income From Continuing Operation Net Minority Interest,-0.37098730891891357,-0.30653063201467845,-0.31537078835412086
Tax Effect Of Unusual Items,0.27579912654415917,0.20677977546482618,0.12770670267357828
Tax Effect Of Unusual Items,0.27579912654415917,0.20677977546482618,0.12770670267357828
Total Equity Gross Minority Interest,-0.35112076247245877,-0.34740277951651943,-0.3606080075245763
Share Issued,-0.4490019335619798,-0.449174062589725,-0.4493928776959401
Invested Capital,-0.4403795618419607,-0.437400646579614,-0.44404389314951814
Net Tangible Assets,0.012272459183981406,0.015994683923371413,0.00066632272127376
Normalized Income,-0.42961679916844464,-0.3540397674358956,-0.34737203439952263
Normalized Income,-0.42961679916844464,-0.3540397674358956,-0.34737203439952263
Basic Average Shares,-0.4092039563302698,-0.40940198436944564,-0.4096742729233124
Basic Average Shares,-0.4092039563302698,-0.40940198436944564,-0.4096742729233124
Operating Revenue,-0.46179863980222075,-0.4564064785338022,-0.46016688225993935
Operating Revenue,-0.46179863980222075,-0.4564064785338022,-0.46016688225993935
Common Stock,-0.24448495926680225,-0.24448506544971557,-0.24448506544971557
Stockholders Equity,-0.3415754701373251,-0.33781114862620676,-0.3511809581274964
Total Assets,-0.2740651595943672,-0.2772287624939473,-0.27838020648657696
Net Income Continuous Operations,-0.3727255327589308,-0.3085237407860715,-0.317328939961258
Net Income Continuous Operations,-0.3727255327589308,-0.3085237407860715,-0.317328939961258
Pretax Income,-0.37391286548080344,-0.3149461569430653,-0.34413549588982184
Pretax Income,-0.37391286548080344,-0.3149461569430653,-0.34413549588982184
Diluted EPS,-0.3641671150571512,-0.1111051403138593,-0.1454454917925941
Diluted EPS,-0.3641671150571512,-0.1111051403138593,-0.1454454917925941
Common Stock Equity,-0.34429928944078825,-0.34037311013475585,-0.3543177929240756
Net Income From Continuing And Discontinued Operation,-0.37595734222796745,-0.3116284693192314,-0.32045109749316353
Net Income From Continuing And Discontinued Operation,-0.37595734222796745,-0.3116284693192314,-0.32045109749316353
Total Revenue,-0.46164128308441965,-0.45624944354079555,-0.4600096229014036
Total Revenue,-0.46164128308441965,-0.45624944354079555,-0.4600096229014036
Total Capitalization,-0.4350789273791378,-0.43206645906318236,-0.4395814110395721
Diluted Average Shares,-0.41015441593099433,-0.4099009512903631,-0.4100626793988624
Diluted Average Shares,-0.41015441593099433,-0.4099009512903631,-0.4100626793988624
Ordinary Shares Number,-0.40642188579524313,-0.40660854281966724,-0.40684582631077965
Net Income,-0.37596026116762543,-0.31163134410365295,-0.3204539783334231
Net Income,-0.37596026116762543,-0.31163134410365295,-0.3204539783334231
Capital Stock,-0.26702708947821086,-0.26702718913428836,-0.26702718913428836
Diluted NI Availto Com Stockholders,-0.3734944051377686,-0.308908363837607,-0.31776626234961663
Diluted NI Availto Com Stockholders,-0.3734944051377686,-0.308908363837607,-0.31776626234961663
Tangible Book Value,0.026246644063412265,0.03013711437727926,0.014115907063836829
Tax Rate For Calcs,0.24701343810091272,-0.14561962065469305,1.0593576975952699
Tax Rate For Calcs,0.24701343810091272,-0.14561962065469305,1.0593576975952699
