,2022-12-31HAS,2021-12-31HAS,2020-12-31HAS
Basic EPS,-0.25799661671739865,-0.17568001208549652,-0.2504676589766759
Basic EPS,-0.25799661671739865,-0.17568001208549652,-0.2504676589766759
Net Income Common Stockholders,-0.3425224077877388,-0.3141610950519655,-0.34012957944857497
Net Income Common Stockholders,-0.3425224077877388,-0.3141610950519655,-0.34012957944857497
Total Liabilities Net Minority Interest,-0.23649616994795303,-0.23434703850722252,-0.23057732556019814
Net Income Including Noncontrolling Interests,-0.3467771460613226,-0.31775580196258546,-0.3439787039269631
Net Income Including Noncontrolling Interests,-0.3467771460613226,-0.31775580196258546,-0.3439787039269631
Net Income From Continuing Operation Net Minority Interest,-0.3398603766779579,-0.3115569957509706,-0.33747243601360283
Net Income From Continuing Operation Net Minority Interest,-0.3398603766779579,-0.3115569957509706,-0.33747243601360283
Tax Effect Of Unusual Items,0.12206140021066145,0.05896297749793817,-0.0482149194777433
Tax Effect Of Unusual Items,0.12206140021066145,0.05896297749793817,-0.0482149194777433
Total Equity Gross Minority Interest,-0.4406609710486216,-0.4338840878833211,-0.4376744459042511
Share Issued,-0.37830573914758475,-0.37830573914758475,-0.37830573914758475
Invested Capital,-0.4274156702779137,-0.4232329969335929,-0.40751220121740855
Net Tangible Assets,-0.23483589848916508,-0.23871872484230033,-0.2646531388231272
Normalized Income,-0.37131324288940526,-0.33398935031327615,-0.35134188451944115
Normalized Income,-0.37131324288940526,-0.33398935031327615,-0.35134188451944115
Basic Average Shares,-0.38709838885991105,-0.3875797070106856,-0.38808852905579017
Basic Average Shares,-0.38709838885991105,-0.3875797070106856,-0.38808852905579017
Operating Revenue,-0.4043869603222723,-0.3943903106468566,-0.41132627027080904
Operating Revenue,-0.4043869603222723,-0.3943903106468566,-0.41132627027080904
Common Stock,-0.23280558208069205,-0.23280558208069205,-0.23280558208069205
Stockholders Equity,-0.43311865696016744,-0.4272327134170814,-0.43117090039671224
Total Assets,-0.2701188928467714,-0.2673163526235804,-0.2643676224736641
Net Income Continuous Operations,-0.34178427967618535,-0.3127040134133427,-0.33898015585230384
Net Income Continuous Operations,-0.34178427967618535,-0.3127040134133427,-0.33898015585230384
Pretax Income,-0.34745127722709834,-0.31392725259903254,-0.34111059092104096
Pretax Income,-0.34745127722709834,-0.31392725259903254,-0.34111059092104096
Diluted EPS,-0.26537256541832954,-0.17872921707198322,-0.256919555823564
Diluted EPS,-0.26537256541832954,-0.17872921707198322,-0.256919555823564
Common Stock Equity,-0.4397786380167602,-0.43363961145723723,-0.43774713207603766
Net Income From Continuing And Discontinued Operation,-0.3448921281285463,-0.3166448668363639,-0.342508922246879
Net Income From Continuing And Discontinued Operation,-0.3448921281285463,-0.3166448668363639,-0.342508922246879
Total Revenue,-0.4042330290882168,-0.3942369758656707,-0.4111719250009049
Total Revenue,-0.4042330290882168,-0.3942369758656707,-0.4111719250009049
Total Capitalization,-0.4260735128799542,-0.4208088481800709,-0.40865591751382613
Diluted Average Shares,-0.3881723042425765,-0.3885120691763985,-0.3890869514444254
Diluted Average Shares,-0.3881723042425765,-0.3885120691763985,-0.3890869514444254
Ordinary Shares Number,-0.3851305404899168,-0.3851033983105535,-0.38571929655689713
Net Income,-0.34489502574509057,-0.3166477450640328,-0.3425118182275946
Net Income,-0.34489502574509057,-0.3166477450640328,-0.3425118182275946
Capital Stock,-0.2560656185484922,-0.2560656185484922,-0.2560656185484922
Diluted NI Availto Com Stockholders,-0.3423050012184734,-0.31394481547386055,-0.3399122679629332
Diluted NI Availto Com Stockholders,-0.3423050012184734,-0.31394481547386055,-0.3399122679629332
Tangible Book Value,-0.2320310788430643,-0.2360894100074659,-0.2631960665809427
Tax Rate For Calcs,0.4365604319829295,0.8156544197469626,1.465529827342448
Tax Rate For Calcs,0.4365604319829295,0.8156544197469626,1.465529827342448
