,2023-01-31HD,2022-01-31HD,2021-01-31HD,2020-01-31HD
Basic EPS,0.5084512812881778,0.45072927194263684,0.2695323556492425,0.1847060984370994
Basic EPS,0.5084512812881778,0.45072927194263684,0.2695323556492425,0.1847060984370994
Net Income Common Stockholders,1.786024338232122,1.7013937780259067,1.252171741931309,1.0476478880996223
Net Income Common Stockholders,1.786024338232122,1.7013937780259067,1.252171741931309,1.0476478880996223
Total Liabilities Net Minority Interest,0.04815146547496115,0.04269962468781392,0.016542432810501908,-0.03722743856845586
Net Income Including Noncontrolling Interests,1.7647973608558327,1.6808440968250478,1.2352171730187826,1.0323301182777187
Net Income Including Noncontrolling Interests,1.7647973608558327,1.6808440968250478,1.2352171730187826,1.0323301182777187
Net Income From Continuing Operation Net Minority Interest,1.7843385253534578,1.6998808344878478,1.2515763950270862,1.0474703087685282
Net Income From Continuing Operation Net Minority Interest,1.7843385253534578,1.6998808344878478,1.2515763950270862,1.0474703087685282
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.47979589075796897,-0.5778815653583642,-0.42750159463123893,-0.6206322277072167
Share Issued,0.6003874929327943,0.5991436917213935,0.5972779899042923,0.5954122880871909
Invested Capital,0.20406817957504783,0.09817034410725932,0.133891106518782,-0.06858755139841928
Net Tangible Assets,-0.4993696506727576,-0.6168439137118141,-0.31587369173460894,-0.368520449756469
Normalized Income,1.8060131712119771,1.719355211882009,1.25937166883142,1.0499482671173308
Normalized Income,1.8060131712119771,1.719355211882009,1.25937166883142,1.0499482671173308
Basic Average Shares,0.22025635768175056,0.24225947314573015,0.2560114203107174,0.26907577011745526
Basic Average Shares,0.22025635768175056,0.24225947314573015,0.2560114203107174,0.26907577011745526
Operating Revenue,2.2831334773315315,2.172366981194142,1.8345876901392502,1.4464793379191463
Operating Revenue,2.2831334773315315,2.172366981194142,1.8345876901392502,1.4464793379191463
Common Stock,-0.23493985863866224,-0.23493985863866224,-0.2350460415519941,-0.2350460415519941
Stockholders Equity,-0.4718543227009947,-0.571162474246175,-0.4189082640042549,-0.614445953434068
Total Assets,-0.016461993397958622,-0.033721470793510094,-0.03861335593845191,-0.11168943171366383
Net Income Continuous Operations,1.7740773663615528,1.6899536516451075,1.2434219695118325,1.040122992280423
Net Income Continuous Operations,1.7740773663615528,1.6899536516451075,1.2434219695118325,1.040122992280423
Pretax Income,1.9769961919514192,1.8995686694022034,1.401625993980963,1.1648442594824828
Pretax Income,1.9769961919514192,1.8995686694022034,1.401625993980963,1.1648442594824828
Diluted EPS,0.5392482853834109,0.47796396582136086,0.28829956303881016,0.1990146491940997
Diluted EPS,0.5392482853834109,0.47796396582136086,0.28829956303881016,0.1990146491940997
Common Stock Equity,-0.4801798547533827,-0.5837580449705028,-0.42495722847740436,-0.6289026214310032
Net Income From Continuing And Discontinued Operation,1.7750949355029833,1.690804706425068,1.2433891601141684,1.039687773175873
Net Income From Continuing And Discontinued Operation,1.7750949355029833,1.690804706425068,1.2433891601141684,1.039687773175873
Total Revenue,2.283127056914871,2.1723671696911295,1.8346080323311227,1.4465228367032679
Total Revenue,2.283127056914871,2.1723671696911295,1.8346080323311227,1.4465228367032679
Total Capitalization,0.2099516442637375,0.0617636303656832,0.13422371654865706,-0.0991173680097114
Diluted Average Shares,0.21395911147682997,0.23638359710908413,0.24997419446196545,0.2628852619472027
Diluted Average Shares,0.21395911147682997,0.23638359710908413,0.24997419446196545,0.2628852619472027
Ordinary Shares Number,0.2068623610309455,0.21967577340709432,0.2480001586596338,0.2480001586596338
Net Income,1.7750934930421998,1.6908032061076046,1.2433873526913832,1.0396858259327786
Net Income,1.7750934930421998,1.6908032061076046,1.2433873526913832,1.0396858259327786
Capital Stock,-0.2580687057057417,-0.2580687057057417,-0.2581683617832168,-0.2581683617832168
Diluted NI Availto Com Stockholders,1.786157162913738,1.7015299656651597,1.2523257802698045,1.0478100535857402
Diluted NI Availto Com Stockholders,1.786157162913738,1.7015299656651597,1.2523257802698045,1.0478100535857402
Tangible Book Value,-0.5085218288494093,-0.6313059606511204,-0.3167318024684619,-0.3717582083267367
Tax Rate For Calcs,0.6396464968565185,0.7073418518143817,0.6802637098312364,0.5990292838818007
Tax Rate For Calcs,0.6396464968565185,0.7073418518143817,0.6802637098312364,0.5990292838818007
