,2022-12-31HSY,2021-12-31HSY,2020-12-31HSY
Basic EPS,0.08080648161512542,0.03663659620288521,-0.015564177466125904
Basic EPS,0.08080648161512542,0.03663659620288521,-0.015564177466125904
Net Income Common Stockholders,-0.1610053465604449,-0.18207545947011874,-0.20711250395112532
Net Income Common Stockholders,-0.1610053465604449,-0.18207545947011874,-0.20711250395112532
Total Liabilities Net Minority Interest,-0.23144240086752502,-0.2314185890899909,-0.23458340138034217
Net Income Including Noncontrolling Interests,-0.16665029593472386,-0.1868887793669547,-0.21280010478297998
Net Income Including Noncontrolling Interests,-0.16665029593472386,-0.1868887793669547,-0.21280010478297998
Net Income From Continuing Operation Net Minority Interest,-0.15871408854499844,-0.17974116290552064,-0.20472706584428071
Net Income From Continuing Operation Net Minority Interest,-0.15871408854499844,-0.17974116290552064,-0.20472706584428071
Tax Effect Of Unusual Items,0.060082292604945534,0.07832294423115167,0.07270628814658506
Tax Effect Of Unusual Items,0.060082292604945534,0.07832294423115167,0.07270628814658506
Total Equity Gross Minority Interest,-0.4274852169127053,-0.4438122066674362,-0.4594476894056243
Share Issued,-0.377518233251493,-0.377518233251493,-0.377518233251493
Invested Capital,-0.40593181952168983,-0.41100237093161535,-0.4281373727613264
Net Tangible Assets,-0.23967458934390914,-0.25948021100041024,-0.22749503653945466
Normalized Income,-0.16660659392550414,-0.19675687421632074,-0.21801643152189007
Normalized Income,-0.16660659392550414,-0.19675687421632074,-0.21801643152189007
Basic Average Shares,-0.34114281942131497,-0.34031839018877397,-0.33914122351145104
Basic Average Shares,-0.34114281942131497,-0.34031839018877397,-0.33914122351145104
Operating Revenue,-0.32347396789872507,-0.3491520216047138,-0.3637225862898579
Operating Revenue,-0.32347396789872507,-0.3491520216047138,-0.3637225862898579
Common Stock,-0.22097117784111736,-0.22097117784111736,-0.22097117784111736
Stockholders Equity,-0.4188916821643407,-0.4354221610486944,-0.4513601439693479
Total Assets,-0.2638749586430824,-0.2659019329736146,-0.27073861347800954
Net Income Continuous Operations,-0.16129171720398125,-0.18157129091921148,-0.20753522421456724
Net Income Continuous Operations,-0.16129171720398125,-0.18157129091921148,-0.20753522421456724
Pretax Income,-0.174225924613142,-0.18676573041713643,-0.21838828157589565
Pretax Income,-0.174225924613142,-0.18676573041713643,-0.21838828157589565
Diluted EPS,0.07803094936901858,0.03312433589682693,-0.019706974070457395
Diluted EPS,0.07803094936901858,0.03312433589682693,-0.019706974070457395
Common Stock Equity,-0.42493993365374627,-0.4421811878672507,-0.4588044700545303
Net Income From Continuing And Discontinued Operation,-0.16410501487870424,-0.18509039698566948,-0.2100267581487735
Net Income From Continuing And Discontinued Operation,-0.16410501487870424,-0.18509039698566948,-0.2100267581487735
Total Revenue,-0.32332486436075614,-0.34900138597856384,-0.36357108130693333
Total Revenue,-0.32332486436075614,-0.34900138597856384,-0.36357108130693333
Total Capitalization,-0.42436183468460276,-0.4209162397723155,-0.43116068218714626
Diluted Average Shares,-0.34218512044976435,-0.3413812366163414,-0.3402559351555228
Diluted Average Shares,-0.34218512044976435,-0.3413812366163414,-0.3402559351555228
Ordinary Shares Number,-0.3400918248998733,-0.33932012230293696,-0.33789168781197476
Net Income,-0.16410778840326048,-0.18509318491455876,-0.21002956319394156
Net Income,-0.16410778840326048,-0.18509318491455876,-0.21002956319394156
Capital Stock,-0.24495864974565984,-0.24495864974565984,-0.24495864974565984
Diluted NI Availto Com Stockholders,-0.16079515291976934,-0.18186442856809285,-0.2069004781541142
Diluted NI Availto Com Stockholders,-0.16079515291976934,-0.18186442856809285,-0.2069004781541142
Tangible Book Value,-0.23708847984552134,-0.25778932100830565,-0.2243584079289957
Tax Rate For Calcs,-0.6736433893260251,-0.2268540466041288,-0.605948034368162
Tax Rate For Calcs,-0.6736433893260251,-0.2268540466041288,-0.605948034368162
