,2022-12-31INCY,2021-12-31INCY,2020-12-31INCY
Basic EPS,-0.2549850336211095,-0.11595028067576266,-0.4000429527590347
Basic EPS,-0.2549850336211095,-0.11595028067576266,-0.4000429527590347
Net Income Common Stockholders,-0.32524870594564875,-0.24868814822076402,-0.4053904461259263
Net Income Common Stockholders,-0.32524870594564875,-0.24868814822076402,-0.4053904461259263
Total Liabilities Net Minority Interest,-0.2571355458633748,-0.2584143663998669,-0.25930303724085224
Net Income Including Noncontrolling Interests,-0.32957921998025436,-0.2536313744105239,-0.4090795878951922
Net Income Including Noncontrolling Interests,-0.32957921998025436,-0.2536313744105239,-0.4090795878951922
Net Income From Continuing Operation Net Minority Interest,-0.32262195870306637,-0.24621778624962493,-0.40259999856343415
Net Income From Continuing Operation Net Minority Interest,-0.32262195870306637,-0.24621778624962493,-0.40259999856343415
Tax Effect Of Unusual Items,0.03619589811234453,0.10653306913223844,0.1261378079345806
Tax Effect Of Unusual Items,0.03619589811234453,0.10653306913223844,0.1261378079345806
Total Equity Gross Minority Interest,-0.39525437864219637,-0.413321500991127,-0.44820652316539455
Share Issued,-0.376775874229872,-0.37780965090011936,-0.37880164704387453
Invested Capital,-0.46783621689380034,-0.47782064415723347,-0.49709914129448457
Net Tangible Assets,-0.04590783818718862,-0.0671184083563703,-0.10738898151513687
Normalized Income,-0.34755642523281166,-0.2737888796746691,-0.43667894571923954
Normalized Income,-0.34755642523281166,-0.2737888796746691,-0.43667894571923954
Basic Average Shares,-0.3298187785283062,-0.3309024319649072,-0.33252172374358446
Basic Average Shares,-0.3298187785283062,-0.3309024319649072,-0.33252172374358446
Operating Revenue,-0.4480491942820068,-0.4552911879571002,-0.46095835019503567
Operating Revenue,-0.4480491942820068,-0.4552911879571002,-0.46095835019503567
Common Stock,-0.24447264204885574,-0.24447285441468242,-0.24447306678050906
Stockholders Equity,-0.3862591393956233,-0.40455143877086447,-0.43987124548935924
Total Assets,-0.2831698984509581,-0.286598494202212,-0.2917828876361989
Net Income Continuous Operations,-0.32455143656924207,-0.248449393750587,-0.4042132144350353
Net Income Continuous Operations,-0.32455143656924207,-0.248449393750587,-0.4042132144350353
Pretax Income,-0.3194501368561106,-0.31512591435352416,-0.39910987395406283
Pretax Income,-0.3194501368561106,-0.31512591435352416,-0.39910987395406283
Diluted EPS,-0.26220268682029246,-0.1169165844102606,-0.4143568595260713
Diluted EPS,-0.26220268682029246,-0.1169165844102606,-0.4143568595260713
Common Stock Equity,-0.3909042611578306,-0.4099830903850089,-0.4468215734480613
Net Income From Continuing And Discontinued Operation,-0.3276878903006789,-0.251435211206519,-0.4075073505764751
Net Income From Continuing And Discontinued Operation,-0.3276878903006789,-0.251435211206519,-0.4075073505764751
Total Revenue,-0.44789265792867805,-0.45513421950821453,-0.46080104361334656
Total Revenue,-0.44789265792867805,-0.45513421950821453,-0.46080104361334656
Total Capitalization,-0.46346245297288785,-0.4737839304520465,-0.49371322321808364
Diluted Average Shares,-0.33037285276050754,-0.331653087031149,-0.33437188603159285
Diluted Average Shares,-0.33037285276050754,-0.331653087031149,-0.33437188603159285
Ordinary Shares Number,-0.32809981834726787,-0.3292208476106941,-0.33029656999673856
Net Income,-0.3276907761082616,-0.25143804467438363,-0.4075102911720088
Net Income,-0.3276907761082616,-0.25143804467438363,-0.4075102911720088
Capital Stock,-0.26701552937322376,-0.2670157286853787,-0.26701592799753365
Diluted NI Availto Com Stockholders,-0.3250319857800582,-0.24847447033578296,-0.4051705413745724
Diluted NI Availto Com Stockholders,-0.3250319857800582,-0.24847447033578296,-0.4051705413745724
Tangible Book Value,-0.03456341863355017,-0.05673271236537285,-0.09882352642574727
Tax Rate For Calcs,2.226032984010074,1.0593576975952699,1.0593576975952699
Tax Rate For Calcs,2.226032984010074,1.0593576975952699,1.0593576975952699
