,2022-12-31INTC,2021-12-31INTC,2020-12-31INTC
Basic EPS,-0.23390395194708583,-0.08633638022891982,-0.08181900558448613
Basic EPS,-0.23390395194708583,-0.08633638022891982,-0.08181900558448613
Net Income Common Stockholders,0.6411189471090527,2.1339919540799976,2.2638343760630453
Net Income Common Stockholders,0.6411189471090527,2.1339919540799976,2.2638343760630453
Total Liabilities Net Minority Interest,0.06451114637247235,0.04038332009708852,0.036382808398205506
Net Income Including Noncontrolling Interests,0.6294294092014068,2.10998020091098,2.238783497362973
Net Income Including Noncontrolling Interests,0.6294294092014068,2.10998020091098,2.238783497362973
Net Income From Continuing Operation Net Minority Interest,0.6417717580033647,2.1315953703857216,2.261172571698882
Net Income From Continuing Operation Net Minority Interest,0.6417717580033647,2.1315953703857216,2.261172571698882
Tax Effect Of Unusual Items,2.6519590021912083,0.16055258392055666,0.9361027253200366
Tax Effect Of Unusual Items,2.6519590021912083,0.16055258392055666,0.9361027253200366
Total Equity Gross Minority Interest,2.5827170506326405,2.34502938919307,1.912916532366958
Share Issued,2.0575006120888695,2.0158332715069416,2.010858066661338
Invested Capital,1.845775785982594,1.6805818176621428,1.41334991926723
Net Tangible Assets,2.1284985645480075,1.9013975785509234,1.3514897373076837
Normalized Income,0.1990831662640047,2.150163263848359,2.1120114524768576
Normalized Income,0.1990831662640047,2.150163263848359,2.1120114524768576
Basic Average Shares,2.3421818052392824,2.3084895346850636,2.404753164839974
Basic Average Shares,2.3421818052392824,2.3084895346850636,2.404753164839974
Operating Revenue,0.6099493364307064,0.8931611429171151,0.8726429174878869
Operating Revenue,0.6099493364307064,0.8931611429171151,0.8726429174878869
Common Stock,3.1087600821812957,2.7292623499332636,2.469114212270231
Stockholders Equity,2.572041110525907,2.3881777679474765,1.9506793335926664
Total Assets,0.3826629491844834,0.33092229217269337,0.27306961186784096
Net Income Continuous Operations,0.6364042721010533,2.119961032673366,2.2490258390314843
Net Income Continuous Operations,0.6364042721010533,2.119961032673366,2.2490258390314843
Pretax Income,0.4379672336049127,1.8960111886364286,2.24914347053319
Pretax Income,0.4379672336049127,1.8960111886364286,2.24914347053319
Diluted EPS,-0.24001353663403302,-0.0857461115295628,-0.08151960673218005
Diluted EPS,-0.24001353663403302,-0.0857461115295628,-0.08151960673218005
Common Stock Equity,2.6945965888536825,2.502827514762317,2.0465175810034704
Net Income From Continuing And Discontinued Operation,0.6347936370694576,2.1216632434528053,2.2509835205053808
Net Income From Continuing And Discontinued Operation,0.6347936370694576,2.1216632434528053,2.2509835205053808
Total Revenue,0.6100427470088863,0.8932376555844788,0.8727206543808494
Total Revenue,0.6100427470088863,0.8932376555844788,0.8727206543808494
Total Capitalization,1.8538995240708087,1.6783648362988097,1.4381612845230174
Diluted Average Shares,2.3191426414381446,2.2967181558058907,2.3932113970113478
Diluted Average Shares,2.3191426414381446,2.2967181558058907,2.3932113970113478
Ordinary Shares Number,2.3116339413446534,2.2664498029656026,2.2610546819651187
Net Income,0.63479141190767,2.121662038875959,2.250982404693768
Net Income,0.63479141190767,2.121662038875959,2.250982404693768
Capital Stock,2.88010117398516,2.523930353089152,2.2797729632751573
Diluted NI Availto Com Stockholders,0.6412972668023909,2.134110951600973,2.2639482140463367
Diluted NI Availto Com Stockholders,0.6412972668023909,2.134110951600973,2.2639482140463367
Tangible Book Value,2.238126747170336,2.000760734602172,1.4259969087967184
Tax Rate For Calcs,0.24701343810091272,-1.4453704358456638,-0.33516661453670943
Tax Rate For Calcs,0.24701343810091272,-1.4453704358456638,-0.33516661453670943
