,2022-12-31IP,2021-12-31IP,2020-12-31IP
Basic EPS,-0.12398116893253361,-0.10591167035479898,-0.27004294910255505
Basic EPS,-0.12398116893253361,-0.10591167035479898,-0.27004294910255505
Net Income Common Stockholders,-0.17873960488865712,-0.14750689814588722,-0.30744858186894275
Net Income Common Stockholders,-0.17873960488865712,-0.14750689814588722,-0.30744858186894275
Total Liabilities Net Minority Interest,-0.19903191849760263,-0.1960460895996837,-0.16407110576110628
Net Income Including Noncontrolling Interests,-0.1842426274541034,-0.15301001434741254,-0.31192154983425563
Net Income Including Noncontrolling Interests,-0.1842426274541034,-0.15301001434741254,-0.31192154983425563
Net Income From Continuing Operation Net Minority Interest,-0.14662570449659518,-0.26350911596239507,-0.33652982785662056
Net Income From Continuing Operation Net Minority Interest,-0.14662570449659518,-0.26350911596239507,-0.33652982785662056
Tax Effect Of Unusual Items,0.07108882094547297,-0.0401265302965083,-0.33796461108469306
Tax Effect Of Unusual Items,0.07108882094547297,-0.0401265302965083,-0.33796461108469306
Total Equity Gross Minority Interest,-0.2710100855542425,-0.2533980169105251,-0.28994682260876936
Share Issued,-0.2361310117948356,-0.2361310117948356,-0.2361310117948356
Invested Capital,-0.3063543961227187,-0.29662144502316545,-0.20543118010581293
Net Tangible Assets,-0.006646492802581862,0.008639150485683407,-0.03387404490980437
Normalized Income,-0.1640497908116154,-0.26071468115944874,-0.3112716052000945
Normalized Income,-0.1640497908116154,-0.26071468115944874,-0.3112716052000945
Basic Average Shares,-0.23267431965514146,-0.21476357119987838,-0.21301942136730606
Basic Average Shares,-0.23267431965514146,-0.21476357119987838,-0.21301942136730606
Operating Revenue,-0.13298067040305217,-0.1648663828678338,-0.19675209533261545
Operating Revenue,-0.13298067040305217,-0.1648663828678338,-0.19675209533261545
Common Stock,-0.19682019275252807,-0.19682019275252807,-0.19682019275252807
Stockholders Equity,-0.2604663451178685,-0.24263477094539135,-0.2800658360459074
Total Assets,-0.21480054902357257,-0.2098784437387392,-0.18541901801403013
Net Income Continuous Operations,-0.14925113498289216,-0.26542197911512627,-0.33840430899561386
Net Income Continuous Operations,-0.14925113498289216,-0.26542197911512627,-0.33840430899561386
Pretax Income,-0.21671385908487525,-0.2702853341459543,-0.34038863158916316
Pretax Income,-0.21671385908487525,-0.2702853341459543,-0.34038863158916316
Diluted EPS,-0.12589790710469892,-0.10635032241680371,-0.27805207981047775
Diluted EPS,-0.12589790710469892,-0.10635032241680371,-0.27805207981047775
Common Stock Equity,-0.25970264506776974,-0.2411043512442537,-0.2801448722960104
Net Income From Continuing And Discontinued Operation,-0.18176795712284832,-0.15066084877266522,-0.3099593471788447
Net Income From Continuing And Discontinued Operation,-0.18176795712284832,-0.15066084877266522,-0.3099593471788447
Total Revenue,-0.1328429327003996,-0.16472674269532228,-0.196610552690245
Total Revenue,-0.1328429327003996,-0.16472674269532228,-0.196610552690245
Total Capitalization,-0.3096523585071676,-0.28983891932302663,-0.26522691283647654
Diluted Average Shares,-0.23317154143296512,-0.21591148279480585,-0.21366903423158043
Diluted Average Shares,-0.23317154143296512,-0.21591148279480585,-0.21366903423158043
Ordinary Shares Number,-0.24207914522180535,-0.22306134369510028,-0.2132152478692175
Net Income,-0.18177074277122013,-0.15066361306916717,-0.3099622208175835
Net Income,-0.18177074277122013,-0.15066361306916717,-0.3099622208175835
Capital Stock,-0.22229217389218076,-0.22229217389218076,-0.22229217389218076
Diluted NI Availto Com Stockholders,-0.17852870654321137,-0.14729724089195034,-0.3072325690254242
Diluted NI Availto Com Stockholders,-0.17852870654321137,-0.14729724089195034,-0.3072325690254242
Tangible Book Value,0.0064725502817290365,0.022449108819970847,-0.02198569461451419
Tax Rate For Calcs,0.24701343810091272,-0.023767981730539414,1.0593576975952699
Tax Rate For Calcs,0.24701343810091272,-0.023767981730539414,1.0593576975952699
