,2022-12-31IT,2021-12-31IT,2020-12-31IT
Basic EPS,0.1741655576000876,0.1365207688964738,-0.18170317827807472
Basic EPS,0.1741655576000876,0.1365207688964738,-0.18170317827807472
Net Income Common Stockholders,-0.2664179987072988,-0.26821123464000163,-0.33455743787666425
Net Income Common Stockholders,-0.2664179987072988,-0.26821123464000163,-0.33455743787666425
Total Liabilities Net Minority Interest,-0.2338432817648324,-0.23395419823887878,-0.23736306253554226
Net Income Including Noncontrolling Interests,-0.2712193333640685,-0.2729982180761732,-0.33881345437137855
Net Income Including Noncontrolling Interests,-0.2712193333640685,-0.2729982180761732,-0.33881345437137855
Net Income From Continuing Operation Net Minority Interest,-0.26391142112379506,-0.2657009941300978,-0.3319116762928455
Net Income From Continuing Operation Net Minority Interest,-0.26391142112379506,-0.2657009941300978,-0.3319116762928455
Tax Effect Of Unusual Items,0.13050785227046324,0.21072140759554453,0.10984716864357393
Tax Effect Of Unusual Items,0.13050785227046324,0.21072140759554453,0.10984716864357393
Total Equity Gross Minority Interest,-0.5199635099179434,-0.5156505099967486,-0.49399308466302044
Share Issued,-0.4135579691326124,-0.4135579691326124,-0.4135579691326124
Invested Capital,-0.4958024626451754,-0.4933963939457496,-0.48947980451071965
Net Tangible Assets,-0.2974533656208464,-0.297710969653941,-0.27612818724674215
Normalized Income,-0.29467698073249765,-0.312861184269882,-0.3599791132434879
Normalized Income,-0.29467698073249765,-0.312861184269882,-0.3599791132434879
Basic Average Shares,-0.42733796145938024,-0.4240044894665873,-0.4210553843970558
Basic Average Shares,-0.42733796145938024,-0.4240044894665873,-0.4210553843970558
Operating Revenue,-0.41114102102030453,-0.42429758381575616,-0.4355508462272909
Operating Revenue,-0.41114102102030453,-0.42429758381575616,-0.4355508462272909
Common Stock,-0.24448761383963552,-0.24448761383963552,-0.24448761383963552
Stockholders Equity,-0.512522565306238,-0.5081558109200003,-0.4862284613260603
Total Assets,-0.27765943726257647,-0.2772190240538672,-0.27759812437625403
Net Income Continuous Operations,-0.2660730616154838,-0.2678555580051377,-0.33380441926755466
Net Income Continuous Operations,-0.2660730616154838,-0.2678555580051377,-0.33380441926755466
Pretax Income,-0.2673352409050419,-0.2733332581079254,-0.34068861092314773
Pretax Income,-0.2673352409050419,-0.2733332581079254,-0.34068861092314773
Diluted EPS,0.18369356930358727,0.14407008682812403,-0.18612560046740304
Diluted EPS,0.18369356930358727,0.14407008682812403,-0.18612560046740304
Common Stock Equity,-0.5225967450370113,-0.5180422295273414,-0.49517205067636233
Net Income From Continuing And Discontinued Operation,-0.2690937633345653,-0.27087978799504214,-0.33695918833980704
Net Income From Continuing And Discontinued Operation,-0.2690937633345653,-0.27087978799504214,-0.33695918833980704
Total Revenue,-0.4109866868033482,-0.4241424646088394,-0.4353950555913579
Total Revenue,-0.4109866868033482,-0.4241424646088394,-0.4353950555913579
Total Capitalization,-0.4925069253152554,-0.4899874882906651,-0.486189516866221
Diluted Average Shares,-0.4274715550780357,-0.42399915745437455,-0.4213897627626213
Diluted Average Shares,-0.4274715550780357,-0.42399915745437455,-0.4213897627626213
Ordinary Shares Number,-0.4249241430469445,-0.42275057760436346,-0.41840378323987387
Net Income,-0.2690966089232321,-0.2708826348096334,-0.33696208051119403
Net Income,-0.2690966089232321,-0.2708826348096334,-0.33696208051119403
Capital Stock,-0.2670295808801477,-0.2670295808801477,-0.2670295808801477
Diluted NI Availto Com Stockholders,-0.2662036162927016,-0.2679967809677351,-0.3343403478107556
Diluted NI Availto Com Stockholders,-0.2662036162927016,-0.2679967809677351,-0.3343403478107556
Tangible Book Value,-0.29747887258516675,-0.2977481203908893,-0.2751897903262683
Tax Rate For Calcs,0.3011697220672032,-0.13208054966312044,-0.13208054966312044
Tax Rate For Calcs,0.3011697220672032,-0.13208054966312044,-0.13208054966312044
