,2022-12-31KIM,2021-12-31KIM,2020-12-31KIM
Basic EPS,-0.3237495143197107,-0.2509695894927241,-0.21834410594959217
Basic EPS,-0.3237495143197107,-0.2509695894927241,-0.21834410594959217
Net Income Common Stockholders,-0.35573636150660326,-0.265435427828238,-0.24583577090214712
Net Income Common Stockholders,-0.35573636150660326,-0.265435427828238,-0.24583577090214712
Total Liabilities Net Minority Interest,-0.2296251039709983,-0.22858855974591674,-0.2385984762725407
Net Income Including Noncontrolling Interests,-0.35782924346570866,-0.26598512219874443,-0.24684815056556036
Net Income Including Noncontrolling Interests,-0.35782924346570866,-0.26598512219874443,-0.24684815056556036
Net Income From Continuing Operation Net Minority Interest,-0.3496036773128769,-0.25935422488750487,-0.23965069806047334
Net Income From Continuing Operation Net Minority Interest,-0.3496036773128769,-0.25935422488750487,-0.23965069806047334
Tax Effect Of Unusual Items,-0.058629984359392935,0.1421076919567415,0.13826719403919416
Tax Effect Of Unusual Items,-0.058629984359392935,0.1421076919567415,0.13826719403919416
Total Equity Gross Minority Interest,-0.2335929597127126,-0.22203763631641926,-0.3556371893130136
Share Issued,-0.1306668900044997,-0.131801841196686,-0.24631852544526978
Invested Capital,-0.26314050917878357,-0.25146602566638676,-0.358138620679223
Net Tangible Assets,0.13936920527169833,0.1524671249840701,0.006047551553532789
Normalized Income,-0.34990886233796464,-0.35282352904151865,-0.37091395455275494
Normalized Income,-0.34990886233796464,-0.35282352904151865,-0.37091395455275494
Basic Average Shares,-0.059232715720584195,-0.1343733550300745,-0.18683565826978432
Basic Average Shares,-0.059232715720584195,-0.1343733550300745,-0.18683565826978432
Operating Revenue,-0.4776108852046321,-0.4840500789255719,-0.4894889515213721
Operating Revenue,-0.4776108852046321,-0.4840500789255719,-0.4894889515213721
Common Stock,-0.24383957951957125,-0.24384149081201123,-0.2440370797383685
Stockholders Equity,-0.22942087341314826,-0.2177196725158753,-0.3485255471606425
Total Assets,-0.2378958300785429,-0.23550437064077892,-0.26136034835774297
Net Income Continuous Operations,-0.35285881620312737,-0.2608282234079318,-0.24165239789605708
Net Income Continuous Operations,-0.35285881620312737,-0.2608282234079318,-0.24165239789605708
Pretax Income,-0.3701768828860166,-0.2968486244968456,-0.27772737464438063
Pretax Income,-0.3701768828860166,-0.2968486244968456,-0.27772737464438063
Diluted EPS,-0.33405326837579913,-0.2579761820229097,-0.2236358305441749
Diluted EPS,-0.33405326837579913,-0.2579761820229097,-0.2236358305441749
Common Stock Equity,-0.22732288835320733,-0.21511859257035035,-0.3515488407892843
Net Income From Continuing And Discontinued Operation,-0.3546161098533027,-0.2645456030572361,-0.24488114416815707
Net Income From Continuing And Discontinued Operation,-0.3546161098533027,-0.2645456030572361,-0.24488114416815707
Total Revenue,-0.47745258504483284,-0.48389139456949715,-0.4893299426534587
Total Revenue,-0.47745258504483284,-0.48389139456949715,-0.4893299426534587
Total Capitalization,-0.25185638441536884,-0.23978778125981834,-0.3500613861465763
Diluted Average Shares,-0.06270603789551014,-0.1350576214931767,-0.18925148749752624
Diluted Average Shares,-0.06270603789551014,-0.1350576214931767,-0.18925148749752624
Ordinary Shares Number,-0.06121879728229429,-0.06244954037760613,-0.18663163684772122
Net Income,-0.35461901414437264,-0.26454844552405293,-0.24488397313732044
Net Income,-0.35461901414437264,-0.26454844552405293,-0.24488397313732044
Capital Stock,-0.26641948637384516,-0.26642118052716224,-0.26660474702187137
Diluted NI Availto Com Stockholders,-0.3555184298555416,-0.26483232827061864,-0.24560193109584239
Diluted NI Availto Com Stockholders,-0.3555184298555416,-0.26483232827061864,-0.24560193109584239
Tangible Book Value,0.15908752019749223,0.17277743379494817,0.019739655669297945
Tax Rate For Calcs,0.24701343810091272,-2.5347782441115627,-2.5819212893042187
Tax Rate For Calcs,0.24701343810091272,-2.5347782441115627,-2.5819212893042187
