,2022-12-31KMB,2021-12-31KMB,2020-12-31KMB
Basic EPS,-0.04417421688087235,-0.06174178494255881,0.01455165349676515
Basic EPS,-0.04417421688087235,-0.06174178494255881,0.01455165349676515
Net Income Common Stockholders,-0.12458612142337058,-0.13969872146019474,-0.07194389796176648
Net Income Common Stockholders,-0.12458612142337058,-0.13969872146019474,-0.07194389796176648
Total Liabilities Net Minority Interest,-0.19143427309858052,-0.19214122423039978,-0.19399593131740792
Net Income Including Noncontrolling Interests,-0.12714941069507252,-0.14176627362900385,-0.07280466388943044
Net Income Including Noncontrolling Interests,-0.12714941069507252,-0.14176627362900385,-0.07280466388943044
Net Income From Continuing Operation Net Minority Interest,-0.12236925459025176,-0.13745098510196788,-0.06983455997444064
Net Income From Continuing Operation Net Minority Interest,-0.12236925459025176,-0.13745098510196788,-0.06983455997444064
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.5057473491697372,-0.5046334234606473,-0.5006594182282188
Share Issued,-0.27985062437557484,-0.27985062437557484,-0.27985062437557484
Invested Capital,-0.39132222734565597,-0.38934236207925116,-0.3909728393574669
Net Tangible Assets,-0.26643418922412593,-0.25817721226930407,-0.25698302138740836
Normalized Income,-0.15036763384002372,-0.16584226943466085,-0.09646431985203766
Normalized Income,-0.15036763384002372,-0.16584226943466085,-0.09646431985203766
Basic Average Shares,-0.2504727937757628,-0.25054155351158774,-0.2482037224935399
Basic Average Shares,-0.2504727937757628,-0.25054155351158774,-0.2482037224935399
Operating Revenue,-0.1504663836901905,-0.16350086570443662,-0.1688210624449452
Operating Revenue,-0.1504663836901905,-0.16350086570443662,-0.1688210624449452
Common Stock,-0.19427180283256368,-0.19427180283256368,-0.19427180283256368
Stockholders Equity,-0.5027928659233267,-0.5037987495945947,-0.500384841376958
Total Assets,-0.23735232841762866,-0.2378547382433254,-0.23904087873406804
Net Income Continuous Operations,-0.12171063314119872,-0.1363571727570084,-0.06725554995421397
Net Income Continuous Operations,-0.12171063314119872,-0.1363571727570084,-0.06725554995421397
Pretax Income,-0.12997410747230786,-0.1420067630036049,-0.06824135300739259
Pretax Income,-0.12997410747230786,-0.1420067630036049,-0.06824135300739259
Diluted EPS,-0.040311184957698316,-0.05985876964559352,0.02044482150467868
Diluted EPS,-0.040311184957698316,-0.05985876964559352,0.02044482150467868
Common Stock Equity,-0.5124486893360644,-0.5134978238594421,-0.5099371248710083
Net Income From Continuing And Discontinued Operation,-0.12783224506406313,-0.14288407168511946,-0.07540171566738359
Net Income From Continuing And Discontinued Operation,-0.12783224506406313,-0.14288407168511946,-0.07540171566738359
Total Revenue,-0.15032760269761528,-0.16336130700588455,-0.16868118631538223
Total Revenue,-0.15032760269761528,-0.16336130700588455,-0.16868118631538223
Total Capitalization,-0.3988816314996358,-0.38976607354165427,-0.3923631476013811
Diluted Average Shares,-0.2526740486343498,-0.2523342837005278,-0.24982002319024474
Diluted Average Shares,-0.2526740486343498,-0.2523342837005278,-0.24982002319024474
Ordinary Shares Number,-0.2507113388225793,-0.2511834119101216,-0.24990207067250672
Net Income,-0.12783499369104767,-0.14288683064365396,-0.07540442830613585
Net Income,-0.12783499369104767,-0.14288683064365396,-0.07540442830613585
Capital Stock,-0.21990042803277834,-0.21990042803277834,-0.21990042803277834
Diluted NI Availto Com Stockholders,-0.12437737497046038,-0.13948937447913506,-0.07173724334857685
Diluted NI Availto Com Stockholders,-0.12437737497046038,-0.13948937447913506,-0.07173724334857685
Tangible Book Value,-0.265057620946336,-0.2564274263788036,-0.2551792577430035
Tax Rate For Calcs,0.274091580084058,0.31470879305877586,0.5275023718333227
Tax Rate For Calcs,0.274091580084058,0.31470879305877586,0.5275023718333227
