,2022-12-31L,2021-12-31L,2020-12-31L
Basic EPS,-0.12247537738438904,-0.026606648819185934,-0.4984213339044787
Basic EPS,-0.12247537738438904,-0.026606648819185934,-0.4984213339044787
Net Income Common Stockholders,-0.2407012650396361,-0.1694201681992822,-0.485399447302547
Net Income Common Stockholders,-0.2407012650396361,-0.1694201681992822,-0.485399447302547
Total Liabilities Net Minority Interest,-0.01367349027066647,-0.0035474549413731862,-0.009352771294430033
Net Income Including Noncontrolling Interests,-0.23433973887723553,-0.15938146742117748,-0.5334232419869072
Net Income Including Noncontrolling Interests,-0.23433973887723553,-0.15938146742117748,-0.5334232419869072
Net Income From Continuing Operation Net Minority Interest,-0.23824721735527057,-0.16711172177500958,-0.48244557055747395
Net Income From Continuing Operation Net Minority Interest,-0.23824721735527057,-0.16711172177500958,-0.48244557055747395
Tax Effect Of Unusual Items,0.1359644425032954,0.4688876566827962,-0.26593621936209433
Tax Effect Of Unusual Items,0.1359644425032954,0.4688876566827962,-0.26593621936209433
Total Equity Gross Minority Interest,-0.06083939973921514,0.05046285286902954,0.05064348947050356
Share Issued,-0.3684342299862233,-0.360790988207484,-0.34778644143299897
Invested Capital,-0.14761578682214205,-0.0925788599207368,-0.0752092856507649
Net Tangible Assets,0.297189787291173,0.40797658139161347,0.3764840618490491
Normalized Income,-0.2692644173254858,-0.2506248807021134,-0.38211360258678456
Normalized Income,-0.2692644173254858,-0.2506248807021134,-0.38211360258678456
Basic Average Shares,-0.315498875945405,-0.3039197364324857,-0.2897208509846364
Basic Average Shares,-0.315498875945405,-0.3039197364324857,-0.2897208509846364
Operating Revenue,-0.25908706714224145,-0.2645491357958303,-0.2658791849809574
Operating Revenue,-0.25908706714224145,-0.2645491357958303,-0.2658791849809574
Common Stock,-0.24428395501186503,-0.24428395501186503,-0.2441777720985332
Stockholders Equity,-0.07449979122678657,0.02450354708467615,0.02493028561188073
Total Assets,-0.02005441252756454,0.003109324699295084,-0.0021414246068586795
Net Income Continuous Operations,-0.2291185903238031,-0.15400813075554828,-0.5288093240011399
Net Income Continuous Operations,-0.2291185903238031,-0.15400813075554828,-0.5288093240011399
Pretax Income,-0.23031599142460235,-0.14650592985443772,-0.5279934260901684
Pretax Income,-0.23031599142460235,-0.14650592985443772,-0.5279934260901684
Diluted EPS,-0.12272802850666184,-0.02182022646914877,-0.5179062270619486
Diluted EPS,-0.12272802850666184,-0.02182022646914877,-0.5179062270619486
Common Stock Equity,-0.06573992606388729,0.03752034460069394,0.03796543197424817
Net Income From Continuing And Discontinued Operation,-0.24348044626917928,-0.17248599737319692,-0.487194605641783
Net Income From Continuing And Discontinued Operation,-0.24348044626917928,-0.17248599737319692,-0.487194605641783
Total Revenue,-0.258941805266526,-0.2644035480242769,-0.26573351785165134
Total Revenue,-0.258941805266526,-0.2644035480242769,-0.26573351785165134
Total Capitalization,-0.14712024019976125,-0.07713683391480503,-0.05821775136050375
Diluted Average Shares,-0.3172429766578889,-0.3057453312973513,-0.29207319036035273
Diluted Average Shares,-0.3172429766578889,-0.3057453312973513,-0.29207319036035273
Ordinary Shares Number,-0.31918824380060484,-0.3107994989654666,-0.2967647842813667
Net Income,-0.24348327427690583,-0.17248877665044626,-0.4871976009345223
Net Income,-0.24348327427690583,-0.17248877665044626,-0.4871976009345223
Capital Stock,-0.2668384405235505,-0.2668384405235505,-0.2667387844460754
Diluted NI Availto Com Stockholders,-0.24048790452877764,-0.16920964017952864,-0.48517636324006874
Diluted NI Availto Com Stockholders,-0.24048790452877764,-0.16920964017952864,-0.48517636324006874
Tangible Book Value,0.32404231319030785,0.4398367006315381,0.40692071060743723
Tax Rate For Calcs,0.12926413768720596,0.3759460111536588,-0.996292990126192
Tax Rate For Calcs,0.12926413768720596,0.3759460111536588,-0.996292990126192
