,2022-12-31LHX,2021-12-31LHX,2020-12-31LHX
Basic EPS,-0.05371089668578786,0.12848988063970285,-0.06927074268328154
Basic EPS,-0.05371089668578786,0.12848988063970285,-0.06927074268328154
Net Income Common Stockholders,-0.23440434835762605,-0.1356686947837083,-0.22722586334013456
Net Income Common Stockholders,-0.23440434835762605,-0.1356686947837083,-0.22722586334013456
Total Liabilities Net Minority Interest,-0.2012900035833547,-0.19925232090928746,-0.19622074811460377
Net Income Including Noncontrolling Interests,-0.23958681787915959,-0.14201613453385736,-0.23646355656849052
Net Income Including Noncontrolling Interests,-0.23958681787915959,-0.14201613453385736,-0.23646355656849052
Net Income From Continuing Operation Net Minority Interest,-0.23196316297538885,-0.13330350921124595,-0.22454797880712843
Net Income From Continuing Operation Net Minority Interest,-0.23196316297538885,-0.13330350921124595,-0.22454797880712843
Tax Effect Of Unusual Items,-0.24862722919056615,0.12674985746731204,-0.2706624727725001
Tax Effect Of Unusual Items,-0.24862722919056615,0.12674985746731204,-0.2706624727725001
Total Equity Gross Minority Interest,0.033874391633664964,0.05479813130440612,0.10061961587831697
Share Issued,-0.396760812510113,-0.3949573362019163,-0.38580361103784094
Invested Capital,-0.11515597896705088,-0.10340988755459861,-0.08006744243891796
Net Tangible Assets,-0.3477415284114834,-0.37691390566922184,-0.39206306999955615
Normalized Income,-0.1747324475837799,-0.15981760693177874,-0.16839377893362328
Normalized Income,-0.1747324475837799,-0.15981760693177874,-0.16839377893362328
Basic Average Shares,-0.35058696913686993,-0.344054794233501,-0.3353223077837341
Basic Average Shares,-0.35058696913686993,-0.344054794233501,-0.3353223077837341
Operating Revenue,-0.2056722918675349,-0.1923363320379933,-0.1855974161666824
Operating Revenue,-0.2056722918675349,-0.1923363320379933,-0.1855974161666824
Common Stock,-0.2242153843921454,-0.22389683565214985,-0.22241027486550394
Stockholders Equity,0.0451394030073548,0.06617151613386628,0.11222879574858924
Total Assets,-0.17859682143351668,-0.17412046321208344,-0.16561727135010348
Net Income Continuous Operations,-0.23437632249358095,-0.13648235685628884,-0.23099635181300948
Net Income Continuous Operations,-0.23437632249358095,-0.13648235685628884,-0.23099635181300948
Pretax Income,-0.2416162244452987,-0.13593811934434205,-0.23648926687109387
Pretax Income,-0.2416162244452987,-0.13593811934434205,-0.23648926687109387
Diluted EPS,-0.05246238625017369,0.13773032963204987,-0.06831177924035897
Diluted EPS,-0.05246238625017369,0.13773032963204987,-0.06831177924035897
Common Stock Equity,0.059043498307566326,0.08097994743273906,0.12901759182134198
Net Income From Continuing And Discontinued Operation,-0.23720885184373913,-0.13887025125283778,-0.23005923419873736
Net Income From Continuing And Discontinued Operation,-0.23720885184373913,-0.13887025125283778,-0.23005923419873736
Total Revenue,-0.2055302169991694,-0.19219505286336191,-0.18545653907133153
Total Revenue,-0.2055302169991694,-0.19219505286336191,-0.18545653907133153
Total Capitalization,-0.1129798957722267,-0.08695755767708323,-0.06277553033949451
Diluted Average Shares,-0.3510699734692105,-0.34447853375306303,-0.3358485044339834
Diluted Average Shares,-0.3510699734692105,-0.34447853375306303,-0.3358485044339834
Ordinary Shares Number,-0.3497715210319085,-0.34781582810947026,-0.3378895122294313
Net Income,-0.23721167554665323,-0.13887300745629227,-0.23006205299416524
Net Income,-0.23721167554665323,-0.13887300745629227,-0.23006205299416524
Capital Stock,-0.24800344188075657,-0.24770447364833129,-0.24630928856367987
Diluted NI Availto Com Stockholders,-0.23419123806682984,-0.1354595079434885,-0.22701303830020936
Diluted NI Availto Com Stockholders,-0.23419123806682984,-0.1354595079434885,-0.22701303830020936
Tangible Book Value,-0.35004007406381427,-0.3805310507383606,-0.39636496143251093
Tax Rate For Calcs,-0.33516661453670943,0.016849231244178465,-0.19977590462098355
Tax Rate For Calcs,-0.33516661453670943,0.016849231244178465,-0.19977590462098355
