,2022-12-31LKQ,2021-12-31LKQ,2020-12-31LKQ
Basic EPS,-0.12347923841648539,-0.14706997267075003,-0.2263749942063631
Basic EPS,-0.12347923841648539,-0.14706997267075003,-0.2263749942063631
Net Income Common Stockholders,-0.22344771333092853,-0.2307521366820602,-0.28774892990594153
Net Income Common Stockholders,-0.22344771333092853,-0.2307521366820602,-0.28774892990594153
Total Liabilities Net Minority Interest,-0.2360262553720967,-0.2349949384268545,-0.23553489938426592
Net Income Including Noncontrolling Interests,-0.22846800761317765,-0.23571397385392992,-0.2921308171435223
Net Income Including Noncontrolling Interests,-0.22846800761317765,-0.23571397385392992,-0.2921308171435223
Net Income From Continuing Operation Net Minority Interest,-0.2217829948799805,-0.2284440925226551,-0.2851868413134102
Net Income From Continuing Operation Net Minority Interest,-0.2217829948799805,-0.2284440925226551,-0.2851868413134102
Tax Effect Of Unusual Items,0.2347298530367993,0.10680130595539808,0.10291557077255267
Tax Effect Of Unusual Items,0.2347298530367993,0.10680130595539808,0.10291557077255267
Total Equity Gross Minority Interest,-0.3615090228927287,-0.35187507081411407,-0.35535602844281927
Share Issued,-0.3148014384159383,-0.315312640713824,-0.31575443766031236
Invested Capital,-0.4056304973381616,-0.3977276737957893,-0.3986784084242216
Net Tangible Assets,-0.16888585404298664,-0.168715255345573,-0.17676990224526223
Normalized Income,-0.26576108878215654,-0.2548709429377273,-0.3135632153572285
Normalized Income,-0.26576108878215654,-0.2548709429377273,-0.3135632153572285
Basic Average Shares,-0.29193491447819936,-0.2783644930157899,-0.2729984832320119
Basic Average Shares,-0.29193491447819936,-0.2783644930157899,-0.2729984832320119
Operating Revenue,-0.29662992214109724,-0.29294125240101127,-0.31381924726782184
Operating Revenue,-0.29662992214109724,-0.29294125240101127,-0.31381924726782184
Common Stock,-0.2441777720985332,-0.2441777720985332,-0.24415568605256016
Stockholders Equity,-0.35325149346149304,-0.3435279513059029,-0.34707238055021744
Total Assets,-0.25976056214719995,-0.25761493221490117,-0.2585421880997455
Net Income Continuous Operations,-0.2239860422533057,-0.2306207995151682,-0.28701510958410603
Net Income Continuous Operations,-0.2239860422533057,-0.2306207995151682,-0.28701510958410603
Pretax Income,-0.21598143657427457,-0.2284326192544863,-0.2822138810489588
Pretax Income,-0.21598143657427457,-0.2284326192544863,-0.2822138810489588
Diluted EPS,-0.12378465470600755,-0.149143683490304,-0.23156052703926752
Diluted EPS,-0.12378465470600755,-0.149143683490304,-0.23156052703926752
Common Stock Equity,-0.35647735686056076,-0.3463357231345751,-0.350032555275406
Net Income From Continuing And Discontinued Operation,-0.22629627754347328,-0.23357132707698386,-0.29033891488263225
Net Income From Continuing And Discontinued Operation,-0.22629627754347328,-0.23357132707698386,-0.29033891488263225
Total Revenue,-0.28121436664228955,-0.2759831519879502,-0.30187624589244755
Total Revenue,-0.28121436664228955,-0.2759831519879502,-0.30187624589244755
Total Capitalization,-0.3997415897975585,-0.39158918513325053,-0.39297614307530637
Diluted Average Shares,-0.29364969965328697,-0.2802480116036107,-0.27529831604769134
Diluted Average Shares,-0.29364969965328697,-0.2802480116036107,-0.27529831604769134
Ordinary Shares Number,-0.29805352560182385,-0.2847579242862568,-0.27360486039800685
Net Income,-0.22629909375601368,-0.23357414828310671,-0.29034177505393743
Net Income,-0.22629909375601368,-0.23357414828310671,-0.29034177505393743
Capital Stock,-0.2667387844460754,-0.2667387844460754,-0.2667180559819606
Diluted NI Availto Com Stockholders,-0.22323503842304068,-0.2305391715189001,-0.287533699865879
Diluted NI Availto Com Stockholders,-0.22323503842304068,-0.2305391715189001,-0.287533699865879
Tangible Book Value,-0.16310007438197588,-0.16292176457686158,-0.17134048371552843
Tax Rate For Calcs,0.8291934907385353,0.5990292838818007,1.2218265494941407
Tax Rate For Calcs,0.8291934907385353,0.5990292838818007,1.2218265494941407
