,2022-12-31LNT,2021-12-31LNT,2020-12-31LNT
Basic EPS,-0.1947533716953275,-0.19977267685580935,-0.20780356511258025
Basic EPS,-0.1947533716953275,-0.19977267685580935,-0.20780356511258025
Net Income Common Stockholders,-0.2817571618063417,-0.2851574968146271,-0.29082472182843616
Net Income Common Stockholders,-0.2817571618063417,-0.2851574968146271,-0.29082472182843616
Total Liabilities Net Minority Interest,-0.20550260062178347,-0.21100850237783453,-0.21408997760535253
Net Income Including Noncontrolling Interests,-0.2864357375391959,-0.28793490296831703,-0.2941814255896552
Net Income Including Noncontrolling Interests,-0.2864357375391959,-0.28793490296831703,-0.2941814255896552
Net Income From Continuing Operation Net Minority Interest,-0.27921925191209934,-0.28072742496327097,-0.2870114793431527
Net Income From Continuing Operation Net Minority Interest,-0.27921925191209934,-0.28072742496327097,-0.2870114793431527
Tax Effect Of Unusual Items,0.14101968574156726,0.15492160464681493,0.17767019921903837
Tax Effect Of Unusual Items,0.14101968574156726,0.15492160464681493,0.17767019921903837
Total Equity Gross Minority Interest,-0.3378757341998772,-0.346486078870139,-0.34955690109519744
Share Issued,-0.3588711188476263,-0.35953193239612596,-0.3599088750598495
Invested Capital,-0.2910811497818813,-0.3097318133418799,-0.3266854495306743
Net Tangible Assets,0.02883803625946251,0.01907979076740031,0.008775629443614347
Normalized Income,-0.318809042287649,-0.3152047417470648,-0.3244766275741849
Normalized Income,-0.318809042287649,-0.3152047417470648,-0.3244766275741849
Basic Average Shares,-0.3099499652643326,-0.3104312834151072,-0.31166895865995603
Basic Average Shares,-0.3099499652643326,-0.3104312834151072,-0.31166895865995603
Operating Revenue,-0.4353274511661569,-0.44465552945118203,-0.448982622800129
Operating Revenue,-0.4353274511661569,-0.44465552945118203,-0.448982622800129
Common Stock,-0.2441777720985332,-0.2441777720985332,-0.24428395501186503
Stockholders Equity,-0.32816536432653803,-0.3368830228108602,-0.34608838246913043
Total Assets,-0.22906823256986233,-0.23515003572303322,-0.23833448296410345
Net Income Continuous Operations,-0.2813203597237402,-0.2828225689151053,-0.28908177387912654
Net Income Continuous Operations,-0.2813203597237402,-0.2828225689151053,-0.28908177387912654
Pretax Income,-0.30073318422949724,-0.31203341725019357,-0.3154862662287397
Pretax Income,-0.30073318422949724,-0.31203341725019357,-0.3154862662287397
Diluted EPS,-0.19827680175987844,-0.20355993275660686,-0.21201294235137236
Diluted EPS,-0.19827680175987844,-0.20355993275660686,-0.21201294235137236
Common Stock Equity,-0.33031257768662287,-0.33940507688923066,-0.34900624737590047
Net Income From Continuing And Discontinued Operation,-0.28437124192304897,-0.2858764245851546,-0.29214801901059473
Net Income From Continuing And Discontinued Operation,-0.28437124192304897,-0.2858764245851546,-0.29214801901059473
Total Revenue,-0.4335225112732078,-0.44302736230617695,-0.44751379385718665
Total Revenue,-0.4335225112732078,-0.44302736230617695,-0.44751379385718665
Total Capitalization,-0.29879968478738206,-0.3197654680907396,-0.3243748445676057
Diluted Average Shares,-0.3118611001061479,-0.31220086503996997,-0.31355992477525807
Diluted Average Shares,-0.3118611001061479,-0.31220086503996997,-0.31355992477525807
Ordinary Shares Number,-0.30895506490269053,-0.30940045709371505,-0.30980921438997594
Net Income,-0.2843740979981529,-0.2858792816934135,-0.2921508804236661
Net Income,-0.2843740979981529,-0.2858792816934135,-0.2921508804236661
Capital Stock,-0.2667387844460754,-0.2667387844460754,-0.2668384405235505
Diluted NI Availto Com Stockholders,-0.2815421698606772,-0.28494236975012904,-0.290609369565882
Diluted NI Availto Com Stockholders,-0.2815421698606772,-0.28494236975012904,-0.290609369565882
Tangible Book Value,0.043560989745504666,0.03336166889296637,0.022591756664062292
Tax Rate For Calcs,-2.190019340382158,1.0593576975952699,1.0593576975952699
Tax Rate For Calcs,-2.190019340382158,1.0593576975952699,1.0593576975952699
