,2022-12-31LVS,2021-12-31LVS,2020-12-31LVS
Basic EPS,-0.21131707872491756,-0.3950236475985528,-0.44270704662313026
Basic EPS,-0.21131707872491756,-0.3950236475985528,-0.44270704662313026
Net Income Common Stockholders,-0.1374318314546711,-0.4891775973117531,-0.5803569508672588
Net Income Common Stockholders,-0.1374318314546711,-0.4891775973117531,-0.5803569508672588
Total Liabilities Net Minority Interest,-0.18680582245319924,-0.18918450508496754,-0.19143843163465005
Net Income Including Noncontrolling Interests,-0.20260740396083762,-0.5315492852005057,-0.6398639874545096
Net Income Including Noncontrolling Interests,-0.20260740396083762,-0.5315492852005057,-0.6398639874545096
Net Income From Continuing Operation Net Minority Interest,-0.4994125173831546,-0.5104724530917464,-0.546668606319865
Net Income From Continuing Operation Net Minority Interest,-0.4994125173831546,-0.5104724530917464,-0.546668606319865
Tax Effect Of Unusual Items,0.13065643710310992,0.13458267601816776,0.08060952904421835
Tax Effect Of Unusual Items,0.13065643710310992,0.13458267601816776,0.08060952904421835
Total Equity Gross Minority Interest,-0.4167537168435345,-0.45914310598943886,-0.42030623667252365
Share Issued,0.002741010854694281,0.002741010854694281,0.002741010854694281
Invested Capital,-0.2101395991847421,-0.26118352050684346,-0.25808894118288295
Net Tangible Assets,-0.055062403128582786,-0.11784272377681514,-0.08471245673907948
Normalized Income,-0.5363166515469701,-0.5274963671686201,-0.5788486874788302
Normalized Income,-0.5363166515469701,-0.5274963671686201,-0.5788486874788302
Basic Average Shares,0.042856239253415106,0.042856239253415106,0.042856239253415106
Basic Average Shares,0.042856239253415106,0.042856239253415106,0.042856239253415106
Operating Revenue,-0.435362919144427,-0.4331639044916834,-0.45611168643241057
Operating Revenue,-0.435362919144427,-0.4331639044916834,-0.45611168643241057
Common Stock,-0.2443901379251969,-0.2443901379251969,-0.2443901379251969
Stockholders Equity,-0.4011681338018931,-0.4586254283576527,-0.4288451754234473
Total Assets,-0.22198160976529796,-0.22946109438845225,-0.22663551130859397
Net Income Continuous Operations,-0.5601053488212461,-0.5510920936730554,-0.6050464404629184
Net Income Continuous Operations,-0.5601053488212461,-0.5510920936730554,-0.6050464404629184
Pretax Income,-0.5199367784735608,-0.5290397439624551,-0.5711017224283804
Pretax Income,-0.5199367784735608,-0.5290397439624551,-0.5711017224283804
Diluted EPS,-0.2157111340490823,-0.4090737285293429,-0.459263472998263
Diluted EPS,-0.2157111340490823,-0.4090737285293429,-0.459263472998263
Common Stock Equity,-0.40645431051965,-0.46638214617320156,-0.4353214058901671
Net Income From Continuing And Discontinued Operation,-0.140626297691961,-0.49095756229704707,-0.5817702495774203
Net Income From Continuing And Discontinued Operation,-0.140626297691961,-0.49095756229704707,-0.5817702495774203
Total Revenue,-0.4352071397212154,-0.43300825627328965,-0.45595466902825627
Total Revenue,-0.4352071397212154,-0.43300825627328965,-0.45595466902825627
Total Capitalization,-0.2319981242047401,-0.2511063975845844,-0.2479245518822701
Diluted Average Shares,0.036601816021728885,0.036601816021728885,0.036601816021728885
Diluted Average Shares,0.036601816021728885,0.036601816021728885,0.036601816021728885
Ordinary Shares Number,0.036916049515708586,0.036916049515708586,0.036916049515708586
Net Income,-0.140629055100763,-0.49096056017267387,-0.5817733097867316
Net Income,-0.140629055100763,-0.49096056017267387,-0.5817733097867316
Capital Stock,-0.2669380966010256,-0.2669380966010256,-0.2669380966010256
Diluted NI Availto Com Stockholders,-0.13722257455283388,-0.4889543631172374,-0.5801300934862414
Diluted NI Availto Com Stockholders,-0.13722257455283388,-0.4889543631172374,-0.5801300934862414
Tangible Book Value,-0.04413177240971098,-0.10974978069177556,-0.07512201653857735
Tax Rate For Calcs,0.24701343810091272,-2.5555742571546185,1.0593576975952699
Tax Rate For Calcs,0.24701343810091272,-2.5555742571546185,1.0593576975952699
