,2023-05-31LW,2022-05-31LW,2021-05-31LW,2020-05-31LW
Basic EPS,0.018567097625150623,-0.26251399136183234,-0.2228614805940258,-0.20629777356443574
Basic EPS,0.018567097625150623,-0.26251399136183234,-0.2228614805940258,-0.20629777356443574
Net Income Common Stockholders,-0.24109167387392072,-0.3428498474552033,-0.32812765625266377,-0.3220700224045701
Net Income Common Stockholders,-0.24109167387392072,-0.3428498474552033,-0.32812765625266377,-0.3220700224045701
Total Liabilities Net Minority Interest,-0.24200830950810837,-0.24753583565172094,-0.24774584172323194,-0.2448618969590164
Net Income Including Noncontrolling Interests,-0.24609569445059398,-0.3470395000114188,-0.3324351301227302,-0.3264259753610029
Net Income Including Noncontrolling Interests,-0.24609569445059398,-0.3470395000114188,-0.3324351301227302,-0.3264259753610029
Net Income From Continuing Operation Net Minority Interest,-0.23863682872682324,-0.3401871475057117,-0.3254950283655483,-0.31944976805210207
Net Income From Continuing Operation Net Minority Interest,-0.23863682872682324,-0.3401871475057117,-0.3254950283655483,-0.31944976805210207
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.4843328800649916,-0.5159683702031423,-0.5123526275636373,-0.5195961552827457
Share Issued,-0.4218345681700103,-0.4232325553328806,-0.4234843952269602,-0.4238866909126763
Invested Capital,-0.4594612038041521,-0.4891591828002248,-0.4870046235397254,-0.47765267172253073
Net Tangible Assets,-0.176412668572878,-0.18499719502673412,-0.1815715731826675,-0.18878107413536943
Normalized Income,-0.2696641787450139,-0.3738600584155707,-0.35878518424046163,-0.3525824344729446
Normalized Income,-0.2696641787450139,-0.3738600584155707,-0.35878518424046163,-0.3525824344729446
Basic Average Shares,-0.38311032418206475,-0.3824227268238154,-0.38180388920139097,-0.3819414086730408
Basic Average Shares,-0.38311032418206475,-0.3824227268238154,-0.38180388920139097,-0.3819414086730408
Operating Revenue,-0.4133621322235103,-0.4355597664238258,-0.44314991377361806,-0.4409952340937121
Operating Revenue,-0.4133621322235103,-0.4355597664238258,-0.44314991377361806,-0.4409952340937121
Common Stock,-0.22853702896475167,-0.22878124966541494,-0.22882372283074767,-0.2288874325787468
Stockholders Equity,-0.4764478581331183,-0.5084776327321592,-0.5048168257952114,-0.5121506321984558
Total Assets,-0.28060565914088176,-0.28959615075861267,-0.2893332355415563,-0.287622397871947
Net Income Continuous Operations,-0.24089841406609108,-0.34204716628467424,-0.3274131450787926,-0.32139178990340417
Net Income Continuous Operations,-0.24089841406609108,-0.34204716628467424,-0.3274131450787926,-0.32139178990340417
Pretax Income,-0.29394258123835654,-0.3451598410867905,-0.33751125744037475,-0.3278432803004456
Pretax Income,-0.29394258123835654,-0.3451598410867905,-0.33751125744037475,-0.3278432803004456
Diluted EPS,0.02467132630206143,-0.2695990702157123,-0.2283906484412305,-0.21095631615202665
Diluted EPS,0.02467132630206143,-0.2695990702157123,-0.2283906484412305,-0.21095631615202665
Common Stock Equity,-0.4849709024101414,-0.5183778889909118,-0.5145596751649215,-0.5222088195990034
Net Income From Continuing And Discontinued Operation,-0.24386928512355655,-0.34521825103866915,-0.33055526327199014,-0.3245219894347167
Net Income From Continuing And Discontinued Operation,-0.24386928512355655,-0.34521825103866915,-0.33055526327199014,-0.3245219894347167
Total Revenue,-0.41320766548333937,-0.43540397525566676,-0.44299366973721677,-0.44083911861687025
Total Revenue,-0.41320766548333937,-0.43540397525566676,-0.44299366973721677,-0.44083911861687025
Total Capitalization,-0.4584819012954723,-0.48605904399326016,-0.48382831216844846,-0.48302683103478444
Diluted Average Shares,-0.3838912660764188,-0.383415595169068,-0.38260015932789515,-0.38260015932789515
Diluted Average Shares,-0.3838912660764188,-0.383415595169068,-0.38260015932789515,-0.38260015932789515
Ordinary Shares Number,-0.38008250785509795,-0.38115765768392623,-0.37972765658470353,-0.37983081871652413
Net Income,-0.2438721133981815,-0.3452211488790637,-0.33055815104773306,-0.32452487306923006
Net Income,-0.2438721133981815,-0.3452211488790637,-0.33055815104773306,-0.32452487306923006
Capital Stock,-0.2520594442339931,-0.25228865321218585,-0.25232851564317593,-0.252388309289661
Diluted NI Availto Com Stockholders,-0.2408782978494184,-0.34263242787449466,-0.32791082168646074,-0.321853428550067
Diluted NI Availto Com Stockholders,-0.2408782978494184,-0.34263242787449466,-0.32791082168646074,-0.321853428550067
Tangible Book Value,-0.17096710298361906,-0.17993965237697093,-0.17635919149027568,-0.18389456385440625
Tax Rate For Calcs,-0.13208054966312044,0.9645842006542615,0.840796474578313,0.5854902128902281
Tax Rate For Calcs,-0.13208054966312044,0.9645842006542615,0.840796474578313,0.5854902128902281
