,2022-12-31MAR,2021-12-31MAR,2020-12-31MAR
Basic EPS,0.03312308259054791,-0.16313174918429194,-0.37293870489243275
Basic EPS,0.03312308259054791,-0.16313174918429194,-0.37293870489243275
Net Income Common Stockholders,-0.07118826795992528,-0.2297446300129386,-0.40177639376545343
Net Income Common Stockholders,-0.07118826795992528,-0.2297446300129386,-0.40177639376545343
Total Liabilities Net Minority Interest,-0.16242016694150485,-0.16286928883701357,-0.16232036207583628
Net Income Including Noncontrolling Interests,-0.07755202108164745,-0.23483946068694259,-0.40549445870190143
Net Income Including Noncontrolling Interests,-0.07755202108164745,-0.23483946068694259,-0.40549445870190143
Net Income From Continuing Operation Net Minority Interest,-0.06908047344885483,-0.2273129627342764,-0.3989933283926448
Net Income From Continuing Operation Net Minority Interest,-0.06908047344885483,-0.2273129627342764,-0.3989933283926448
Tax Effect Of Unusual Items,0.12777494845729495,0.10311659532839103,-0.06649804918949326
Tax Effect Of Unusual Items,0.12777494845729495,0.10311659532839103,-0.06649804918949326
Total Equity Gross Minority Interest,-0.5097213544021657,-0.4842515935943283,-0.5138759962360683
Share Issued,-0.3221398655632032,-0.31175412544800624,-0.31355763720453744
Invested Capital,-0.36365402618572945,-0.3483475047983979,-0.3607590971407342
Net Tangible Assets,-0.7670731266542963,-0.7511733280553418,-0.7903769087210042
Normalized Income,-0.09451915815779177,-0.23737325664968456,-0.40906356484040396
Normalized Income,-0.09451915815779177,-0.23737325664968456,-0.40906356484040396
Basic Average Shares,-0.25941155943300453,-0.2574862868299063,-0.2584489231314554
Basic Average Shares,-0.25941155943300453,-0.2574862868299063,-0.2584489231314554
Operating Revenue,-0.4132663686821812,-0.44768804159327197,-0.47067129151226916
Operating Revenue,-0.4132663686821812,-0.44768804159327197,-0.47067129151226916
Common Stock,-0.2439654062718695,-0.2439654062718695,-0.2439654062718695
Stockholders Equity,-0.5021527581325199,-0.47636555856001456,-0.5063591807578222
Total Assets,-0.2114952212229362,-0.20870741331794232,-0.21192585821639054
Net Income Continuous Operations,-0.07201254572687012,-0.2296193267209248,-0.40062080633798497
Net Income Continuous Operations,-0.07201254572687012,-0.2296193267209248,-0.40062080633798497
Pretax Income,-0.04898910415731732,-0.251346980657565,-0.42357090243595574
Pretax Income,-0.04898910415731732,-0.251346980657565,-0.42357090243595574
Diluted EPS,0.03999240619257388,-0.166049702679835,-0.3858279521437378
Diluted EPS,0.03999240619257388,-0.166049702679835,-0.3858279521437378
Common Stock Equity,-0.511781058275733,-0.48488506413095595,-0.5161683481007675
Net Income From Continuing And Discontinued Operation,-0.07464912433633077,-0.23256787196891343,-0.403907831671938
Net Income From Continuing And Discontinued Operation,-0.07464912433633077,-0.23256787196891343,-0.403907831671938
Total Revenue,-0.13972330994068324,-0.26236426095563614,-0.3206346723256673
Total Revenue,-0.13972330994068324,-0.26236426095563614,-0.3206346723256673
Total Capitalization,-0.367527551957371,-0.3537854183565649,-0.37294528923428455
Diluted Average Shares,-0.2611681719799006,-0.2587898174431464,-0.2611681719799006
Diluted Average Shares,-0.2611681719799006,-0.2587898174431464,-0.2611681719799006
Ordinary Shares Number,-0.26885243318670576,-0.25759011809819604,-0.2595458494608714
Net Income,-0.07465183645850554,-0.2325706924862663,-0.40391076979676765
Net Income,-0.07465183645850554,-0.2325706924862663,-0.40391076979676765
Capital Stock,-0.2665394722911252,-0.2665394722911252,-0.2665394722911252
Diluted NI Availto Com Stockholders,-0.07098164337314312,-0.22953170488498847,-0.4015566326254021
Diluted NI Availto Com Stockholders,-0.07098164337314312,-0.22953170488498847,-0.4015566326254021
Tangible Book Value,-0.7883255750347782,-0.7717071011981249,-0.8126826944133924
Tax Rate For Calcs,0.693802780822809,-1.6755346427023983,1.0593576975952699
Tax Rate For Calcs,0.693802780822809,-1.6755346427023983,1.0593576975952699
