,2023-03-31MCHP,2022-03-31MCHP,2021-03-31MCHP,2020-03-31MCHP
Basic EPS,-0.12749468254487087,-0.21483059233725485,-0.29790009274322926,-0.2717997059087237
Basic EPS,-0.12749468254487087,-0.21483059233725485,-0.29790009274322926,-0.2717997059087237
Net Income Common Stockholders,-0.08633864949684149,-0.20625713078904107,-0.3241480049096334,-0.29629044550842093
Net Income Common Stockholders,-0.08633864949684149,-0.20625713078904107,-0.3241480049096334,-0.29629044550842093
Total Liabilities Net Minority Interest,-0.22226274854278993,-0.22039972438364275,-0.21691902969345037,-0.21401262883445937
Net Income Including Noncontrolling Interests,-0.09258115450858709,-0.21153993130935123,-0.32848732782604445,-0.3008527117492444
Net Income Including Noncontrolling Interests,-0.09258115450858709,-0.21153993130935123,-0.32848732782604445,-0.3008527117492444
Net Income From Continuing Operation Net Minority Interest,-0.08419990828685023,-0.2038734398973176,-0.32152350599746304,-0.29372284942086635
Net Income From Continuing Operation Net Minority Interest,-0.08419990828685023,-0.2038734398973176,-0.32152350599746304,-0.29372284942086635
Tax Effect Of Unusual Items,0.1331753747373713,0.08263423115850753,-0.09250727565040205,0.09645771659620068
Tax Effect Of Unusual Items,0.1331753747373713,0.08263423115850753,-0.09250727565040205,0.09645771659620068
Total Equity Gross Minority Interest,-0.3307225247815058,-0.3493521796135269,-0.36614235172053744,-0.3586639964195128
Share Issued,-0.1559645267729461,-0.15596466794438357,-0.16146677061535933,-0.1939148675606001
Invested Capital,-0.3250300159675879,-0.31457000510213645,-0.3036058772822978,-0.2898549643185701
Net Tangible Assets,-0.3057060093687539,-0.349819420545982,-0.39439344820622696,-0.4166838740102977
Normalized Income,-0.11077746696308868,-0.21801617329053963,-0.32634660833050017,-0.32128072845800243
Normalized Income,-0.11077746696308868,-0.21801617329053963,-0.32634660833050017,-0.32128072845800243
Basic Average Shares,-0.10401455646864866,-0.10270812148797487,-0.12546759404602875,-0.15393412467755235
Basic Average Shares,-0.10401455646864866,-0.10270812148797487,-0.12546759404602875,-0.15393412467755235
Operating Revenue,-0.3585978003756281,-0.3872878479982776,-0.4118050879774548,-0.41471700899342656
Operating Revenue,-0.3585978003756281,-0.3872878479982776,-0.4118050879774548,-0.41471700899342656
Common Stock,-0.24444322938186283,-0.24443261109052963,-0.24444322938186283,-0.24447508425586237
Stockholders Equity,-0.32092300189340883,-0.3397848447958513,-0.3567842788402795,-0.34921271811473537
Total Assets,-0.2433952231406892,-0.24404042312737342,-0.2429853624934103,-0.2394069201785042
Net Income Continuous Operations,-0.0870721928703052,-0.2062724922051256,-0.32345732754153117,-0.2957666047807012
Net Income Continuous Operations,-0.0870721928703052,-0.2062724922051256,-0.32345732754153117,-0.2957666047807012
Pretax Income,-0.07036537828813459,-0.21969586502089236,-0.33928999782326213,-0.3590758687882036
Pretax Income,-0.07036537828813459,-0.21969586502089236,-0.33928999782326213,-0.3590758687882036
Diluted EPS,-0.13012441190208168,-0.2225792043448292,-0.30843008304166625,-0.2835993673570426
Diluted EPS,-0.13012441190208168,-0.2225792043448292,-0.30843008304166625,-0.2835993673570426
Common Stock Equity,-0.3227588091183025,-0.3424316710293994,-0.3601620444744847,-0.3522649227894225
Net Income From Continuing And Discontinued Operation,-0.08973858052393974,-0.2091748247620217,-0.32659161559511196,-0.2988460818569648
Net Income From Continuing And Discontinued Operation,-0.08973858052393974,-0.2091748247620217,-0.32659161559511196,-0.2988460818569648
Total Revenue,-0.3584466011644735,-0.3871349369874913,-0.4116507141387597,-0.4145624614141581
Total Revenue,-0.3584466011644735,-0.3871349369874913,-0.4116507141387597,-0.4145624614141581
Total Capitalization,-0.3398833325123452,-0.30502234303115133,-0.31644086931097004,-0.28994383423537323
Diluted Average Shares,-0.10385700762029945,-0.0980130507585605,-0.11479743848936891,-0.134367898677518
Diluted Average Shares,-0.10385700762029945,-0.0980130507585605,-0.11479743848936891,-0.134367898677518
Ordinary Shares Number,-0.11046529385156847,-0.10436832830403309,-0.10938804059994013,-0.1474276239038684
Net Income,-0.08974130300349333,-0.20917762922242406,-0.32659450065021345,-0.2988489478675759
Net Income,-0.08974130300349333,-0.20917762922242406,-0.32659450065021345,-0.2988489478675759
Capital Stock,-0.2669879246397631,-0.26697795903201565,-0.2669879246397631,-0.2670178214630057
Diluted NI Availto Com Stockholders,-0.0861314228805895,-0.20604513898192323,-0.3239313284825097,-0.2960748760548527
Diluted NI Availto Com Stockholders,-0.0861314228805895,-0.20604513898192323,-0.3239313284825097,-0.2960748760548527
Tangible Book Value,-0.30610453808364924,-0.3522118874901065,-0.39880067337037234,-0.42209863250660756
Tax Rate For Calcs,0.5306840535163422,-0.7970655604852008,1.0593576975952699,1.0593576975952699
Tax Rate For Calcs,0.5306840535163422,-0.7970655604852008,1.0593576975952699,1.0593576975952699
