,2022-12-31MMC,2021-12-31MMC,2020-12-31MMC
Basic EPS,-0.02510085727104137,-0.020583482626607724,-0.13201205718930453
Basic EPS,-0.02510085727104137,-0.020583482626607724,-0.13201205718930453
Net Income Common Stockholders,0.015961058919093957,0.02767332394763267,-0.1142591780648741
Net Income Common Stockholders,0.015961058919093957,0.02767332394763267,-0.1142591780648741
Total Liabilities Net Minority Interest,-0.16883262956071235,-0.16691554443266135,-0.1643247764613473
Net Income Including Noncontrolling Interests,0.013522278737463084,0.0243912280985915,-0.11653032223879764
Net Income Including Noncontrolling Interests,0.013522278737463084,0.0243912280985915,-0.11653032223879764
Net Income From Continuing Operation Net Minority Interest,0.017890839168708088,0.029579180315288077,-0.11206340540724576
Net Income From Continuing Operation Net Minority Interest,0.017890839168708088,0.029579180315288077,-0.11206340540724576
Tax Effect Of Unusual Items,0.150355034921576,0.1781083202996886,0.11946749873573484
Tax Effect Of Unusual Items,0.150355034921576,0.1781083202996886,0.11946749873573484
Total Equity Gross Minority Interest,-0.20321114780099203,-0.18897096238478978,-0.24803913106679573
Share Issued,-0.16663881819687773,-0.16663881819687773,-0.16663881819687773
Invested Capital,-0.17426909906399551,-0.17520080036583308,-0.20085586121286056
Net Tangible Assets,-0.46739945477743494,-0.4622814938550247,-0.4961965149008633
Normalized Income,-0.008500817099068766,-0.0003918501368856588,-0.13771376640369568
Normalized Income,-0.008500817099068766,-0.0003918501368856588,-0.13771376640369568
Basic Average Shares,-0.13935706068266587,-0.13385628181667097,-0.13454387917492033
Basic Average Shares,-0.13935706068266587,-0.13385628181667097,-0.13454387917492033
Operating Revenue,-0.139666384306958,-0.15580431441983414,-0.20279938562766026
Operating Revenue,-0.139666384306958,-0.15580431441983414,-0.20279938562766026
Common Stock,-0.18492770645936088,-0.18492770645936088,-0.18492770645936088
Stockholders Equity,-0.19880262793680656,-0.183897260808018,-0.2419641818312127
Total Assets,-0.17886124765756758,-0.17533304632523117,-0.18039114223957642
Net Income Continuous Operations,0.019246662648559495,0.030137679285956447,-0.11106998470236262
Net Income Continuous Operations,0.019246662648559495,0.030137679285956447,-0.11106998470236262
Pretax Income,0.0522944658800352,0.06547807107084762,-0.08257590785772037
Pretax Income,0.0522944658800352,0.06547807107084762,-0.08257590785772037
Diluted EPS,-0.023405165768167313,-0.018650347871111733,-0.1343509166994644
Diluted EPS,-0.023405165768167313,-0.018650347871111733,-0.1343509166994644
Common Stock Equity,-0.19538751958918357,-0.1798412534700394,-0.2404049282286685
Net Income From Continuing And Discontinued Operation,0.012149742511760733,0.023814908143079388,-0.11754683020634131
Net Income From Continuing And Discontinued Operation,0.012149742511760733,0.023814908143079388,-0.11754683020634131
Total Revenue,-0.1406631552853612,-0.15662279321385417,-0.20265748217204066
Total Revenue,-0.1406631552853612,-0.15662279321385417,-0.20265748217204066
Total Capitalization,-0.16459459281355224,-0.1612407554516534,-0.1963614523388199
Diluted Average Shares,-0.13939641969808408,-0.13396018075693156,-0.13463971062457564
Diluted Average Shares,-0.13939641969808408,-0.13396018075693156,-0.13463971062457564
Ordinary Shares Number,-0.14463939839521342,-0.13873828585584747,-0.13591187030880045
Net Income,0.012147089968190606,0.023812263606460462,-0.11754957177343339
Net Income,0.012147089968190606,0.023812263606460462,-0.11754957177343339
Capital Stock,-0.21113069321496955,-0.21113069321496955,-0.21113069321496955
Diluted NI Availto Com Stockholders,0.016164220460214294,0.02787602007943718,-0.114050841972866
Diluted NI Availto Com Stockholders,0.016164220460214294,0.02787602007943718,-0.114050841972866
Tangible Book Value,-0.47510657137098844,-0.4697572772175592,-0.5052052664742832
Tax Rate For Calcs,0.7073418518143817,0.7344199937975269,1.0187404846205521
Tax Rate For Calcs,0.7073418518143817,0.7344199937975269,1.0187404846205521
