,2022-12-31MTCH,2021-12-31MTCH,2020-12-31MTCH
Basic EPS,-0.2675332965223141,-0.28108542045561513,-0.2951394749049642
Basic EPS,-0.2675332965223141,-0.28108542045561513,-0.2951394749049642
Net Income Common Stockholders,-0.32256798257578345,-0.3331748868499621,-0.3477074149220395
Net Income Common Stockholders,-0.32256798257578345,-0.3331748868499621,-0.3477074149220395
Total Liabilities Net Minority Interest,-0.24436559647179892,-0.24138714897540342,-0.2447084927219477
Net Income Including Noncontrolling Interests,-0.3271731843969673,-0.33758801156352447,-0.34445231527211295
Net Income Including Noncontrolling Interests,-0.3271731843969673,-0.33758801156352447,-0.34445231527211295
Net Income From Continuing Operation Net Minority Interest,-0.31966883018778475,-0.33059592098678586,-0.2990267169985741
Net Income From Continuing Operation Net Minority Interest,-0.31966883018778475,-0.33059592098678586,-0.2990267169985741
Tax Effect Of Unusual Items,0.09481959310952333,0.11430853875702442,0.13448508173898444
Tax Effect Of Unusual Items,0.09481959310952333,0.11430853875702442,0.13448508173898444
Total Equity Gross Minority Interest,-0.5376261267039733,-0.5326797245397098,-0.5693535608722743
Share Issued,-0.33693029445584904,-0.33901182128105317,-0.34904995005269385
Invested Capital,-0.48271462153293754,-0.47855976612748585,-0.5001730069020025
Net Tangible Assets,-0.2899081605513738,-0.30087676968184657,-0.2847854569851755
Normalized Income,-0.3074656546830766,-0.3613304948583154,-0.33072486632258535
Normalized Income,-0.3074656546830766,-0.3613304948583154,-0.33072486632258535
Basic Average Shares,-0.2881778825127248,-0.29337611854109,-0.3288362019033679
Basic Average Shares,-0.2881778825127248,-0.29337611854109,-0.3288362019033679
Operating Revenue,-0.45169870737408263,-0.45534421258461394,-0.46584287602446406
Operating Revenue,-0.45169870737408263,-0.45534421258461394,-0.46584287602446406
Common Stock,-0.2444658463424025,-0.24446627107405583,-0.24446797000066914
Stockholders Equity,-0.5304356160560877,-0.5256772985898164,-0.5625794517671858
Total Assets,-0.2894338534973252,-0.28610765869009375,-0.2937262843923436
Net Income Continuous Operations,-0.32186373395769136,-0.33264020714424675,-0.2936285855490908
Net Income Continuous Operations,-0.32186373395769136,-0.33264020714424675,-0.2936285855490908
Pretax Income,-0.3353149315946577,-0.3480112665523462,-0.3087948541718918
Pretax Income,-0.3353149315946577,-0.3480112665523462,-0.3087948541718918
Diluted EPS,-0.27699545361113204,-0.2933731597009902,-0.30763761339215695
Diluted EPS,-0.27699545361113204,-0.2933731597009902,-0.30763761339215695
Common Stock Equity,-0.5412800187569209,-0.5363171037900597,-0.5748059708342512
Net Income From Continuing And Discontinued Operation,-0.32501794712188053,-0.33558219706775744,-0.3500562844103422
Net Income From Continuing And Discontinued Operation,-0.32501794712188053,-0.33558219706775744,-0.3500562844103422
Total Revenue,-0.45154195327154517,-0.4551872409719992,-0.4656852780061895
Total Revenue,-0.45154195327154517,-0.4551872409719992,-0.4656852780061895
Total Capitalization,-0.4788431167162241,-0.47626666445648147,-0.4968908551247381
Diluted Average Shares,-0.28195159298179434,-0.2754111180057202,-0.3085857661441035
Diluted Average Shares,-0.28195159298179434,-0.2754111180057202,-0.3085857661441035
Ordinary Shares Number,-0.2897414218324481,-0.2871484120332944,-0.2980337767614016
Net Income,-0.32502083109681845,-0.33558508829397976,-0.3500591855715552
Net Income,-0.32502083109681845,-0.33558508829397976,-0.3500591855715552
Capital Stock,-0.26700915138426534,-0.26700955000857524,-0.2670111445058148
Diluted NI Availto Com Stockholders,-0.32185657688329794,-0.3322497286120597,-0.34672652040805313
Diluted NI Availto Com Stockholders,-0.32185657688329794,-0.3322497286120597,-0.34672652040805313
Tangible Book Value,-0.28959262218653226,-0.3010570154443955,-0.2842383710205209
Tax Rate For Calcs,-2.0546286304664316,1.0593576975952699,-1.648456500719253
Tax Rate For Calcs,-2.0546286304664316,1.0593576975952699,-1.648456500719253
