,2022-12-31MTD,2021-12-31MTD,2020-12-31MTD
Basic EPS,1.6152080691744233,1.3371385632837294,0.935092219929134
Basic EPS,1.6152080691744233,1.3371385632837294,0.935092219929134
Net Income Common Stockholders,-0.2582694107057769,-0.2713061691892096,-0.2922429134035585
Net Income Common Stockholders,-0.2582694107057769,-0.2713061691892096,-0.2922429134035585
Total Liabilities Net Minority Interest,-0.24883204302751974,-0.25013044195182715,-0.2527233016667842
Net Income Including Noncontrolling Interests,-0.26313595830069963,-0.2760683839445609,-0.29683757193870064
Net Income Including Noncontrolling Interests,-0.26313595830069963,-0.2760683839445609,-0.29683757193870064
Net Income From Continuing Operation Net Minority Interest,-0.25577947771296533,-0.26878960685780967,-0.289683584946566
Net Income From Continuing Operation Net Minority Interest,-0.25577947771296533,-0.26878960685780967,-0.289683584946566
Tax Effect Of Unusual Items,0.13099946344151134,0.13316886490784638,0.13020534089814811
Tax Effect Of Unusual Items,0.13099946344151134,0.13316886490784638,0.13020534089814811
Total Equity Gross Minority Interest,-0.5260751987983158,-0.5216608015314935,-0.5183113774547617
Share Issued,-0.48744974632594695,-0.48744974632594695,-0.48744974632594695
Invested Capital,-0.5066148229779539,-0.5097088033510776,-0.5136385364294728
Net Tangible Assets,-0.21741882919515285,-0.21206953643904966,-0.20114197335517464
Normalized Income,-0.28624910138982473,-0.30005525532688326,-0.32094913538737463
Normalized Income,-0.28624910138982473,-0.30005525532688326,-0.32094913538737463
Basic Average Shares,-0.46700284706279815,-0.4665641104412253,-0.46604649677629817
Basic Average Shares,-0.46700284706279815,-0.4665641104412253,-0.46604649677629817
Operating Revenue,-0.4387375376709207,-0.44231588426459767,-0.45353711909175454
Operating Revenue,-0.4387375376709207,-0.44231588426459767,-0.45353711909175454
Common Stock,-0.24444875089335608,-0.24444875089335608,-0.24444875089335608
Stockholders Equity,-0.5187104263573212,-0.5142410108739675,-0.5108498417235661
Total Assets,-0.2920417344669224,-0.29266728003012465,-0.29460230958503686
Net Income Continuous Operations,-0.2579732748397424,-0.27093195724495417,-0.29174331301392764
Net Income Continuous Operations,-0.2579732748397424,-0.27093195724495417,-0.29174331301392764
Pretax Income,-0.2627945352346793,-0.2754791514321982,-0.2964701713224395
Pretax Income,-0.2627945352346793,-0.2754791514321982,-0.2964701713224395
Diluted EPS,1.6867443378728262,1.3893040627570157,0.9735216533144879
Diluted EPS,1.6867443378728262,1.3893040627570157,0.9735216533144879
Common Stock Equity,-0.5290506709133238,-0.5243890800983589,-0.5208520979085445
Net Income From Continuing And Discontinued Operation,-0.2609779438523802,-0.27396227665514594,-0.2948148263921804
Net Income From Continuing And Discontinued Operation,-0.2609779438523802,-0.27396227665514594,-0.2948148263921804
Total Revenue,-0.43858155690016076,-0.44215968999079786,-0.45338025529987314
Total Revenue,-0.43858155690016076,-0.44215968999079786,-0.45338025529987314
Total Capitalization,-0.5053741717420868,-0.5084879775438694,-0.511676358929248
Diluted Average Shares,-0.46712124626153767,-0.4666188426491937,-0.46611490329934885
Diluted Average Shares,-0.46712124626153767,-0.4666188426491937,-0.46611490329934885
Ordinary Shares Number,-0.46338767698226113,-0.46291284294154683,-0.46248882824309656
Net Income,-0.2609807838703614,-0.2739651255855526,-0.2948176896357441
Net Income,-0.2609807838703614,-0.2739651255855526,-0.2948176896357441
Capital Stock,-0.26699310675579185,-0.26699310675579185,-0.26699310675579185
Diluted NI Availto Com Stockholders,-0.2580553520909535,-0.27109159253378246,-0.2920275047864419
Diluted NI Availto Com Stockholders,-0.2580553520909535,-0.27109159253378246,-0.2920275047864419
Tangible Book Value,-0.21382675326168535,-0.20823567101252116,-0.1968141790937684
Tax Rate For Calcs,-0.09146333668840255,-0.023767981730539414,0.043927373227323714
Tax Rate For Calcs,-0.09146333668840255,-0.023767981730539414,0.043927373227323714
