,2022-12-31NI,2021-12-31NI,2020-12-31NI
Basic EPS,-0.23942518762361586,-0.2640197829099769,-0.3413170823813972
Basic EPS,-0.23942518762361586,-0.2640197829099769,-0.3413170823813972
Net Income Common Stockholders,-0.27382304678700903,-0.30142872952094113,-0.37730657553916236
Net Income Common Stockholders,-0.27382304678700903,-0.30142872952094113,-0.37730657553916236
Total Liabilities Net Minority Interest,-0.18492699585698788,-0.19303946802141717,-0.19587267864558452
Net Income Including Noncontrolling Interests,-0.2732180956724443,-0.2985789775150773,-0.37391204032841563
Net Income Including Noncontrolling Interests,-0.2732180956724443,-0.2985789775150773,-0.37391204032841563
Net Income From Continuing Operation Net Minority Interest,-0.2643763154668187,-0.2919256098682202,-0.3676484651457948
Net Income From Continuing Operation Net Minority Interest,-0.2643763154668187,-0.2919256098682202,-0.3676484651457948
Tax Effect Of Unusual Items,0.1890040545592439,0.12695936921485376,-0.36116817754836095
Tax Effect Of Unusual Items,0.1890040545592439,0.12695936921485376,-0.36116817754836095
Total Equity Gross Minority Interest,-0.2889292364204657,-0.30786296286496806,-0.35106822732753007
Share Issued,-0.2565258677746161,-0.2632439981978427,-0.2716663806876265
Invested Capital,-0.25247544083931156,-0.28808306809275397,-0.2973318672658166
Net Tangible Assets,0.022474704845932437,0.0010440964768266016,-0.03973240417898997
Normalized Income,-0.3077981169124036,-0.32227876508067854,-0.3403203332277541
Normalized Income,-0.3077981169124036,-0.32227876508067854,-0.3403203332277541
Basic Average Shares,-0.20254725790578226,-0.21182982224214864,-0.2182244776738677
Basic Average Shares,-0.20254725790578226,-0.21182982224214864,-0.2182244776738677
Operating Revenue,-0.4064813444391192,-0.42434479169483363,-0.42892193429058456
Operating Revenue,-0.4064813444391192,-0.42434479169483363,-0.42892193429058456
Common Stock,-0.24405035260253496,-0.24406097089386816,-0.24408220747653453
Stockholders Equity,-0.2885579327372786,-0.30770325194707837,-0.3441314815086637
Total Assets,-0.2042363436209901,-0.21398120548076338,-0.2219759434890683
Net Income Continuous Operations,-0.26807588201987126,-0.2934882541737975,-0.3689742660398936
Net Income Continuous Operations,-0.26807588201987126,-0.2934882541737975,-0.3689742660398936
Pretax Income,-0.2747426482818956,-0.30087966873161737,-0.37808746452765296
Pretax Income,-0.2747426482818956,-0.30087966873161737,-0.37808746452765296
Diluted EPS,-0.2526930510261813,-0.2754105143121135,-0.35254422686434866
Diluted EPS,-0.2526930510261813,-0.2754105143121135,-0.35254422686434866
Common Stock Equity,-0.338168369829855,-0.358136896924813,-0.37494212447201053
Net Income From Continuing And Discontinued Operation,-0.26955773589015936,-0.2970524058512889,-0.3726251186778426
Net Income From Continuing And Discontinued Operation,-0.26955773589015936,-0.2970524058512889,-0.3726251186778426
Total Revenue,-0.4043411999675099,-0.4212052173786175,-0.425069223050416
Total Revenue,-0.4043411999675099,-0.4212052173786175,-0.425069223050416
Total Capitalization,-0.24453631618845434,-0.261190268586027,-0.2811189421820896
Diluted Average Shares,-0.18173113045230938,-0.19899118909046862,-0.22141567472272278
Diluted Average Shares,-0.18173113045230938,-0.19899118909046862,-0.22141567472272278
Ordinary Shares Number,-0.20037310512496084,-0.20498564966213179,-0.21411889624290215
Net Income,-0.2695605817972962,-0.2970552706307236,-0.3726280353302676
Net Income,-0.2695605817972962,-0.2970552706307236,-0.3726280353302676
Capital Stock,-0.11250107333786298,-0.1125110389456105,-0.17895174579825973
Diluted NI Availto Com Stockholders,-0.273608370118623,-0.3012129558878021,-0.37708778675427296
Diluted NI Availto Com Stockholders,-0.273608370118623,-0.3012129558878021,-0.37708778675427296
Tangible Book Value,-0.018241188707113765,-0.040640466425572876,-0.0594913790222573
Tax Rate For Calcs,-0.2674712595788467,-0.33516661453670943,1.0593576975952699
Tax Rate For Calcs,-0.2674712595788467,-0.33516661453670943,1.0593576975952699
