,2022-12-31O,2021-12-31O,2020-12-31O
Basic EPS,-0.2605062692976396,-0.2881124476802897,-0.2740583932309405
Basic EPS,-0.2605062692976396,-0.2881124476802897,-0.2740583932309405
Net Income Common Stockholders,-0.25865906391005966,-0.3228815690265476,-0.31834401086549113
Net Income Common Stockholders,-0.25865906391005966,-0.3228815690265476,-0.31834401086549113
Total Liabilities Net Minority Interest,-0.17663070392267735,-0.18836484930859201,-0.22282059536383636
Net Income Including Noncontrolling Interests,-0.26314670231960835,-0.32706974198235794,-0.3226023539340293
Net Income Including Noncontrolling Interests,-0.26314670231960835,-0.32706974198235794,-0.3226023539340293
Net Income From Continuing Operation Net Minority Interest,-0.25616833499799246,-0.32025965698058123,-0.31573136739443847
Net Income From Continuing Operation Net Minority Interest,-0.25616833499799246,-0.32025965698058123,-0.31573136739443847
Tax Effect Of Unusual Items,0.14281506682843667,0.07933168465975096,0.12789951749114073
Tax Effect Of Unusual Items,0.14281506682843667,0.07933168465975096,0.12789951749114073
Total Equity Gross Minority Interest,0.34153733070714515,0.2297266161718513,-0.19512073548197292
Share Issued,-0.10466110247914949,-0.1475960033632184,-0.2906073624066054
Invested Capital,0.2384892519455536,0.13319584105980897,-0.21107213236274203
Net Tangible Assets,0.49072735615778806,0.3640496345906586,0.13067344846712847
Normalized Income,-0.29372604115329337,-0.3237807843910422,-0.338773855558392
Normalized Income,-0.29372604115329337,-0.3237807843910422,-0.338773855558392
Basic Average Shares,-0.06181958418782957,-0.19743477695714587,-0.2450544399554907
Basic Average Shares,-0.06181958418782957,-0.19743477695714587,-0.2450544399554907
Operating Revenue,-0.44973353310207353,-0.4716296717531044,-0.479174154080874
Operating Revenue,-0.44973353310207353,-0.4716296717531044,-0.479174154080874
Common Stock,3.382659862767023,2.8962044004685583,1.3163978142853334
Stockholders Equity,0.35574862988272843,0.24416945958116357,-0.18461409008975158
Total Assets,-0.11759334401336323,-0.1422816495225758,-0.2268875283877019
Net Income Continuous Operations,-0.25798404067228053,-0.3220368635669962,-0.31756040536082747
Net Income Continuous Operations,-0.25798404067228053,-0.3220368635669962,-0.31756040536082747
Pretax Income,-0.27880246625815525,-0.3337545577517166,-0.3317880033107537
Pretax Income,-0.27880246625815525,-0.3337545577517166,-0.3317880033107537
Diluted EPS,-0.2674858178170209,-0.2965430382990273,-0.28227858460786054
Diluted EPS,-0.2674858178170209,-0.2965430382990273,-0.28227858460786054
Common Stock Equity,0.38300825934587046,0.26663142274242235,-0.18058890488174476
Net Income From Continuing And Discontinued Operation,-0.2613660301154265,-0.32533027252426744,-0.3208109615812953
Net Income From Continuing And Discontinued Operation,-0.2613660301154265,-0.32533027252426744,-0.3208109615812953
Total Revenue,-0.44879622169646516,-0.47119677936841525,-0.47888180608719144
Total Revenue,-0.44879622169646516,-0.47119677936841525,-0.47888180608719144
Total Capitalization,0.21976965055779427,0.13117662631162724,-0.19803063139508806
Diluted Average Shares,-0.06656405580799184,-0.20071050430320772,-0.2478390183073564
Diluted Average Shares,-0.06656405580799184,-0.20071050430320772,-0.2478390183073564
Ordinary Shares Number,-0.03301807494698714,-0.07957675797649696,-0.2346585305721594
Net Income,-0.26136887039978945,-0.32533315671358504,-0.320813842668565
Net Income,-0.26136887039978945,-0.32533315671358504,-0.320813842668565
Capital Stock,3.137164922736878,2.6806108339684345,1.1979115690093443
Diluted NI Availto Com Stockholders,-0.2584449898116188,-0.3226649429236828,-0.3181275650712032
Diluted NI Availto Com Stockholders,-0.2584449898116188,-0.3226649429236828,-0.3181275650712032
Tangible Book Value,0.5263278330100885,0.3939242438420708,0.14999939038846524
Tax Rate For Calcs,-1.9295276145043005,-1.5039269178842156,-2.1124133854584635
Tax Rate For Calcs,-1.9295276145043005,-1.5039269178842156,-2.1124133854584635
