,2022-12-31ORLY,2021-12-31ORLY,2020-12-31ORLY
Basic EPS,1.3622350890861386,1.2437794872987673,0.8598026425219064
Basic EPS,1.3622350890861386,1.2437794872987673,0.8598026425219064
Net Income Common Stockholders,-0.09453093810013657,-0.09553403692758078,-0.14746886476912788
Net Income Common Stockholders,-0.09453093810013657,-0.09553403692758078,-0.14746886476912788
Total Liabilities Net Minority Interest,-0.20632710940975213,-0.2142433028302359,-0.21561040492894795
Net Income Including Noncontrolling Interests,-0.10070788043894804,-0.10170295149252721,-0.15322214625563318
Net Income Including Noncontrolling Interests,-0.10070788043894804,-0.10170295149252721,-0.15322214625563318
Net Income From Continuing Operation Net Minority Interest,-0.09237546303507635,-0.0933765128977915,-0.14520525684456673
Net Income From Continuing Operation Net Minority Interest,-0.09237546303507635,-0.0933765128977915,-0.14520525684456673
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.5587567253895024,-0.5288213568383249,-0.5225989979334494
Share Issued,-0.47652468778648055,-0.4736167918744338,-0.4710706891273557
Invested Capital,-0.4854589809925466,-0.4779778521143953,-0.469610508922964
Net Tangible Assets,-0.2516670636167798,-0.21756663590659206,-0.21057239639028674
Normalized Income,-0.11959245230118909,-0.12061958123878314,-0.17379855332564353
Normalized Income,-0.11959245230118909,-0.12061958123878314,-0.17379855332564353
Basic Average Shares,-0.43820612530386965,-0.43504661544271384,-0.4317117682552044
Basic Average Shares,-0.43820612530386965,-0.43504661544271384,-0.4317117682552044
Operating Revenue,-0.25270531381211,-0.2718987570509842,-0.30245566170987814
Operating Revenue,-0.25270531381211,-0.2718987570509842,-0.30245566170987814
Common Stock,-0.24443006270060966,-0.2444251782865964,-0.2444208247871498
Stockholders Equity,-0.5517992745369138,-0.5214908107499994,-0.5151909003542015
Total Assets,-0.25753190615806665,-0.26096669703799835,-0.26142779970998087
Net Income Continuous Operations,-0.09521541852849683,-0.09621250987926541,-0.1478363042928248
Net Income Continuous Operations,-0.09521541852849683,-0.09621250987926541,-0.1478363042928248
Pretax Income,-0.08198421510094224,-0.08373585585093742,-0.13767448385340184
Pretax Income,-0.08198421510094224,-0.08373585585093742,-0.13767448385340184
Diluted EPS,1.424172727335423,1.300547462011978,0.9006144455596357
Diluted EPS,1.424172727335423,1.300547462011978,0.9006144455596357
Common Stock Equity,-0.5635622689793901,-0.5319506059037612,-0.5253798127999354
Net Income From Continuing And Discontinued Operation,-0.09789792487143736,-0.09889698986340997,-0.15062296834233557
Net Income From Continuing And Discontinued Operation,-0.09789792487143736,-0.09889698986340997,-0.15062296834233557
Total Revenue,-0.25256043270547324,-0.27175273076224454,-0.302307812234965
Total Revenue,-0.25256043270547324,-0.27175273076224454,-0.302307812234965
Total Capitalization,-0.4816801191410714,-0.47394644537118796,-0.4652966408273614
Diluted Average Shares,-0.4384153835964434,-0.43525624924176615,-0.43195984985382474
Diluted Average Shares,-0.4384153835964434,-0.43525624924176615,-0.43195984985382474
Ordinary Shares Number,-0.43626760952237315,-0.4331142820134228,-0.43035328365728687
Net Income,-0.09790065295155197,-0.09889971862928121,-0.15062573261283646
Net Income,-0.09790065295155197,-0.09889971862928121,-0.15062573261283646
Capital Stock,-0.26697556728615623,-0.2669709831065924,-0.2669668972074159
Diluted NI Availto Com Stockholders,-0.09432338594758358,-0.09532644491497186,-0.14725920902652018
Diluted NI Availto Com Stockholders,-0.09432338594758358,-0.09532644491497186,-0.14725920902652018
Tangible Book Value,-0.24962301722975863,-0.21398124087683637,-0.20667085982479905
Tax Rate For Calcs,0.4365604319829295,0.40948228999978425,0.47495723731502953
Tax Rate For Calcs,0.4365604319829295,0.40948228999978425,0.47495723731502953
