,2022-12-31OTIS,2021-12-31OTIS,2020-12-31OTIS
Basic EPS,-0.1822051087941229,-0.1857186224064602,-0.22687692472241128
Basic EPS,-0.1822051087941229,-0.1857186224064602,-0.22687692472241128
Net Income Common Stockholders,-0.21035012663234762,-0.211231694967829,-0.2540507284054974
Net Income Common Stockholders,-0.21035012663234762,-0.211231694967829,-0.2540507284054974
Total Liabilities Net Minority Interest,-0.2030241131243466,-0.19978045499011712,-0.2054027957561149
Net Income Including Noncontrolling Interests,-0.20110823853171647,-0.19473678545795153,-0.2402114701412934
Net Income Including Noncontrolling Interests,-0.20110823853171647,-0.19473678545795153,-0.2402114701412934
Net Income From Continuing Operation Net Minority Interest,-0.2079580752442407,-0.20883784285742416,-0.2515694126406198
Net Income From Continuing Operation Net Minority Interest,-0.2079580752442407,-0.20883784285742416,-0.2515694126406198
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.6672364708875149,-0.6166582224747881,-0.6231912462280986
Share Issued,-0.24440228985065113,-0.2449620003957815,-0.24577047118319206
Invested Capital,-0.5089661542258967,-0.4798504885434726,-0.5055887370067356
Net Tangible Assets,-0.41751639565367643,-0.38015528092008166,-0.3940761346290375
Normalized Income,-0.2381861908395895,-0.23908887791594333,-0.28293367876741526
Normalized Income,-0.2381861908395895,-0.23908887791594333,-0.28293367876741526
Basic Average Shares,-0.19367725198436547,-0.1883827523258454,-0.1846009668554739
Basic Average Shares,-0.19367725198436547,-0.1883827523258454,-0.1846009668554739
Operating Revenue,-0.2655599731765269,-0.25468903783675434,-0.2820348490829686
Operating Revenue,-0.2655599731765269,-0.25468903783675434,-0.2820348490829686
Common Stock,-0.22729468887876902,-0.2318605541520386,-0.2382315289519496
Stockholders Equity,-0.6679101946281277,-0.6299609470302917,-0.6371850206693979
Total Assets,-0.2681428734496138,-0.25885018043296754,-0.26477710536919435
Net Income Continuous Operations,-0.19581961991521013,-0.18943523085190847,-0.23500224298998307
Net Income Continuous Operations,-0.19581961991521013,-0.18943523085190847,-0.23500224298998307
Pretax Income,-0.1772676752996667,-0.16962955483197378,-0.21671385908487525
Pretax Income,-0.1772676752996667,-0.16962955483197378,-0.21671385908487525
Diluted EPS,-0.18612560046740304,-0.18982379216511294,-0.23261715323861323
Diluted EPS,-0.18612560046740304,-0.18982379216511294,-0.23261715323861323
Common Stock Equity,-0.6846657109462974,-0.6450847266552248,-0.6526194200503928
Net Income From Continuing And Discontinued Operation,-0.2132513611385578,-0.21412938435811943,-0.25677622645111237
Net Income From Continuing And Discontinued Operation,-0.2132513611385578,-0.21412938435811943,-0.25677622645111237
Total Revenue,-0.2654143250930815,-0.2545440383706746,-0.2818882180214926
Total Revenue,-0.2654143250930815,-0.2545440383706746,-0.2818882180214926
Total Capitalization,-0.5175042791151047,-0.47629507747864486,-0.5145460225702503
Diluted Average Shares,-0.19511786884489746,-0.1894098179566873,-0.1872353223802263
Diluted Average Shares,-0.19511786884489746,-0.1894098179566873,-0.1872353223802263
Ordinary Shares Number,-0.19858098215540543,-0.1917022028797887,-0.1860373258292808
Net Income,-0.21325416839708825,-0.2141321922193236,-0.2567790635850414
Net Income,-0.21325416839708825,-0.2141321922193236,-0.2567790635850414
Capital Stock,-0.2508934681275345,-0.2551786794589638,-0.2611580441074698
Diluted NI Availto Com Stockholders,-0.21013797218218927,-0.21101950548686196,-0.2538368374281069
Diluted NI Availto Com Stockholders,-0.21013797218218927,-0.21101950548686196,-0.2538368374281069
Tangible Book Value,-0.4229687843555654,-0.38391893703553237,-0.39846901713285976
Tax Rate For Calcs,1.127053052553133,1.1405921235447056,1.4790688983340206
Tax Rate For Calcs,1.127053052553133,1.1405921235447056,1.4790688983340206
