,2022-12-31PCAR,2021-12-31PCAR,2020-12-31PCAR
Basic EPS,-0.04266842533272783,-0.15208927783123188,-0.20629777356443574
Basic EPS,-0.04266842533272783,-0.15208927783123188,-0.20629777356443574
Net Income Common Stockholders,0.011125026907310232,-0.13321289727772437,-0.2042798989508899
Net Income Common Stockholders,0.011125026907310232,-0.13321289727772437,-0.2042798989508899
Total Liabilities Net Minority Interest,-0.17963068431884088,-0.1887503539193091,-0.18893915145686555
Net Income Including Noncontrolling Interests,0.0041025226244851215,-0.13908026890182842,-0.20957852320625103
Net Income Including Noncontrolling Interests,0.0041025226244851215,-0.13908026890182842,-0.20957852320625103
Net Income From Continuing Operation Net Minority Interest,0.013064685404958932,-0.13097840909068972,-0.20190024682203472
Net Income From Continuing Operation Net Minority Interest,0.013064685404958932,-0.13097840909068972,-0.20190024682203472
Tax Effect Of Unusual Items,0.17331145616026172,0.14562838249379179,0.1578432543916895
Tax Effect Of Unusual Items,0.17331145616026172,0.14562838249379179,0.1578432543916895
Total Equity Gross Minority Interest,-0.13041158679693562,-0.17777149309340026,-0.2140192377891878
Share Issued,-0.19067007751813517,-0.19132307315412062,-0.19197606879010604
Invested Capital,-0.13061722932058048,-0.17408941381292684,-0.18710827575378222
Net Tangible Assets,0.2639605730089375,0.21028681082864709,0.1692066444914342
Normalized Income,-0.017556831759643666,-0.16075614358059348,-0.235595440243865
Normalized Income,-0.017556831759643666,-0.16075614358059348,-0.235595440243865
Basic Average Shares,-0.12312976302798093,-0.12374860065040535,-0.1247799966877794
Basic Average Shares,-0.12312976302798093,-0.12374860065040535,-0.1247799966877794
Operating Revenue,0.0017089770774910127,-0.09271032787522893,-0.17747702254175274
Operating Revenue,0.0017089770774910127,-0.09271032787522893,-0.17747702254175274
Common Stock,-0.18906884007930302,-0.20761899503837722,-0.20769332307770952
Stockholders Equity,-0.11811551683943189,-0.1660656866355409,-0.2027651999751348
Total Assets,-0.17953553452889742,-0.19376204313458495,-0.19848167348214504
Net Income Continuous Operations,0.009807781562815475,-0.13366571462247928,-0.20430710184642292
Net Income Continuous Operations,0.009807781562815475,-0.13366571462247928,-0.20430710184642292
Pretax Income,0.0278838699195865,-0.12408333785133374,-0.20095631192823757
Pretax Income,0.0278838699195865,-0.12408333785133374,-0.20095631192823757
Diluted EPS,-0.03872624565867977,-0.1538985013873596,-0.21042800305235382
Diluted EPS,-0.03872624565867977,-0.1538985013873596,-0.21042800305235382
Common Stock Equity,-0.11123103483665493,-0.16124295964652338,-0.19952047377218712
Net Income From Continuing And Discontinued Operation,0.007333157993022707,-0.13642432942691612,-0.2072055441124335
Net Income From Continuing And Discontinued Operation,0.007333157993022707,-0.13642432942691612,-0.2072055441124335
Total Revenue,0.0029700394848695146,-0.09097016265534347,-0.17597828743490987
Total Revenue,0.0029700394848695146,-0.09097016265534347,-0.17597828743490987
Total Capitalization,-0.17102364104882298,-0.21182866228525912,-0.2268074159184782
Diluted Average Shares,-0.12689307081296314,-0.12736874104078413,-0.12838803584225023
Diluted Average Shares,-0.12689307081296314,-0.12736874104078413,-0.12838803584225023
Ordinary Shares Number,-0.1262863607489237,-0.12699447038023717,-0.12770258001155066
Net Income,0.007330502143356599,-0.13642708395149375,-0.20720834722112472
Net Income,0.007330502143356599,-0.13642708395149375,-0.20720834722112472
Capital Stock,-0.21501728023649844,-0.23242719697139844,-0.232496956225631
Diluted NI Availto Com Stockholders,0.01132838061743839,-0.13300380802332884,-0.2040679857128716
Diluted NI Availto Com Stockholders,0.01132838061743839,-0.13300380802332884,-0.2040679857128716
Tangible Book Value,0.28931112935014336,0.23321129846508043,0.19027429739355559
Tax Rate For Calcs,0.35532600603349374,0.40948228999978425,0.34178693504192115
Tax Rate For Calcs,0.35532600603349374,0.40948228999978425,0.34178693504192115
