,2022-12-31PNR,2021-12-31PNR,2020-12-31PNR
Basic EPS,-0.185216691890412,-0.1641356102163883,-0.22386534162612215
Basic EPS,-0.185216691890412,-0.1641356102163883,-0.22386534162612215
Net Income Common Stockholders,-0.30758711403594696,-0.29850696018048845,-0.32298937224014357
Net Income Common Stockholders,-0.30758711403594696,-0.29850696018048845,-0.32298937224014357
Total Liabilities Net Minority Interest,-0.247701761240895,-0.2535557324659653,-0.2545571079515069
Net Income Including Noncontrolling Interests,-0.31205897333192506,-0.3030514877119554,-0.3273379676637182
Net Income Including Noncontrolling Interests,-0.31205897333192506,-0.3030514877119554,-0.3273379676637182
Net Income From Continuing Operation Net Minority Interest,-0.30470737647689955,-0.2955577932997918,-0.32055576162296123
Net Income From Continuing Operation Net Minority Interest,-0.30470737647689955,-0.2955577932997918,-0.32055576162296123
Tax Effect Of Unusual Items,0.13603296913385862,0.13640874221457017,0.1359155751519921
Tax Effect Of Unusual Items,0.13603296913385862,0.13640874221457017,0.1359155751519921
Total Equity Gross Minority Interest,-0.44529128926640577,-0.4539076551567167,-0.4634091403942504
Share Issued,-0.4129728377783234,-0.4126271207440121,-0.4120271707420905
Invested Capital,-0.4569339640229177,-0.48537414626150965,-0.49153169361526117
Net Tangible Assets,-0.24122311372033306,-0.20271898771406666,-0.20617190534971944
Normalized Income,-0.3374786227292736,-0.3282281692724521,-0.35370658937571703
Normalized Income,-0.3374786227292736,-0.3282281692724521,-0.35370658937571703
Basic Average Shares,-0.36915209780960273,-0.36846450045135337,-0.3679831823005788
Basic Average Shares,-0.36915209780960273,-0.36846450045135337,-0.3679831823005788
Operating Revenue,-0.4351536580726336,-0.4414846921938389,-0.4547319820777054
Operating Revenue,-0.4351536580726336,-0.4414846921938389,-0.4547319820777054
Common Stock,-0.2443158098858646,-0.2443158098858646,-0.2443158098858646
Stockholders Equity,-0.4369196779846254,-0.4456434327336219,-0.45526333838974803
Total Assets,-0.2808787736551515,-0.2872775105254349,-0.2893793212548909
Net Income Continuous Operations,-0.3067076950578103,-0.29759429263019543,-0.3224934099770719
Net Income Continuous Operations,-0.3067076950578103,-0.29759429263019543,-0.3224934099770719
Pretax Income,-0.3172022275392899,-0.30922928535246524,-0.3296010943258873
Pretax Income,-0.3172022275392899,-0.30922928535246524,-0.3296010943258873
Diluted EPS,-0.1892954790654401,-0.16816295507852638,-0.2294472746405762
Diluted EPS,-0.1892954790654401,-0.16816295507852638,-0.2294472746405762
Common Stock Equity,-0.4437430948369182,-0.45284195243057684,-0.46287549350869933
Net Income From Continuing And Discontinued Operation,-0.3100973222562044,-0.30105368309471975,-0.325437642220831
Net Income From Continuing And Discontinued Operation,-0.3100973222562044,-0.30105368309471975,-0.325437642220831
Total Revenue,-0.4349978911350418,-0.441328547513344,-0.4545750469939932
Total Revenue,-0.4349978911350418,-0.441328547513344,-0.4545750469939932
Total Capitalization,-0.45219216630446507,-0.4815924205938492,-0.4879578319150737
Diluted Average Shares,-0.3700288567764799,-0.36873775002795617,-0.3688057030147206
Diluted Average Shares,-0.3700288567764799,-0.36873775002795617,-0.3688057030147206
Ordinary Shares Number,-0.3673518701228991,-0.3669769739548175,-0.36632638710361115
Net Income,-0.31010019598964905,-0.3010565506206248,-0.32544052648384697
Net Income,-0.31010019598964905,-0.3010565506206248,-0.32544052648384697
Capital Stock,-0.266868337346793,-0.266868337346793,-0.266868337346793
Diluted NI Availto Com Stockholders,-0.307371095687587,-0.29829130264945836,-0.32277274185351135
Diluted NI Availto Com Stockholders,-0.307371095687587,-0.29829130264945836,-0.32277274185351135
Tangible Book Value,-0.23870699794654388,-0.19846247493224503,-0.20207146538775858
Tax Rate For Calcs,-0.9444248091574773,-1.0662764480816307,-0.24039311759570145
Tax Rate For Calcs,-0.9444248091574773,-1.0662764480816307,-0.24039311759570145
