,2022-12-31PPG,2021-12-31PPG,2020-12-31PPG
Basic EPS,-0.11394255861156992,-0.027610509851282324,-0.10741746190294355
Basic EPS,-0.11394255861156992,-0.027610509851282324,-0.10741746190294355
Net Income Common Stockholders,-0.23893812836867329,-0.1869255965752702,-0.23478216335854665
Net Income Common Stockholders,-0.23893812836867329,-0.1869255965752702,-0.23478216335854665
Total Liabilities Net Minority Interest,-0.20488713728349378,-0.2011236621405737,-0.20610974688793413
Net Income Including Noncontrolling Interests,-0.24046133104614695,-0.189739567360881,-0.23796272199761168
Net Income Including Noncontrolling Interests,-0.24046133104614695,-0.189739567360881,-0.23796272199761168
Net Income From Continuing Operation Net Minority Interest,-0.23623631995370842,-0.18696933361543577,-0.23271724950097467
Net Income From Continuing Operation Net Minority Interest,-0.23623631995370842,-0.18696933361543577,-0.23271724950097467
Tax Effect Of Unusual Items,-0.04091290146690615,0.1457996990701999,-0.021500767431942142
Tax Effect Of Unusual Items,-0.04091290146690615,0.1457996990701999,-0.021500767431942142
Total Equity Gross Minority Interest,-0.3248397927935018,-0.33381141066671166,-0.35175464641313137
Share Issued,-0.15388705971489597,-0.15388705971489597,-0.15388705971489597
Invested Capital,-0.31746826165178116,-0.326469161728462,-0.35024418244856725
Net Tangible Assets,-0.2501249537513786,-0.27895613361428967,-0.24548466918172668
Normalized Income,-0.24076271766609658,-0.2183912948975229,-0.23703436213016202
Normalized Income,-0.24076271766609658,-0.2183912948975229,-0.23703436213016202
Basic Average Shares,-0.3201264061664232,-0.3190950101290492,-0.3196450880156486
Basic Average Shares,-0.3201264061664232,-0.3190950101290492,-0.3196450880156486
Operating Revenue,-0.19520923827786796,-0.21028312904264237,-0.26291760879540765
Operating Revenue,-0.19520923827786796,-0.21028312904264237,-0.26291760879540765
Common Stock,-0.14160507781996606,-0.14160507781996606,-0.14160507781996606
Stockholders Equity,-0.3185332661410632,-0.3278605510928205,-0.34605790114575863
Total Assets,-0.22687349491023978,-0.22458054179596976,-0.23136118568413236
Net Income Continuous Operations,-0.23500224298998307,-0.18680636476701956,-0.2331244815007767
Net Income Continuous Operations,-0.23500224298998307,-0.18680636476701956,-0.2331244815007767
Pretax Income,-0.23031599142460235,-0.1849057957673596,-0.23230399538194707
Pretax Income,-0.23031599142460235,-0.1849057957673596,-0.23230399538194707
Diluted EPS,-0.11427501891189634,-0.024990105067185856,-0.10740694861614938
Diluted EPS,-0.11427501891189634,-0.024990105067185856,-0.10740694861614938
Common Stock Equity,-0.3202663198263988,-0.32999465813408413,-0.3489744554206466
Net Income From Continuing And Discontinued Operation,-0.24172439983005603,-0.1899210298759205,-0.23758514750926554
Net Income From Continuing And Discontinued Operation,-0.24172439983005603,-0.1899210298759205,-0.23758514750926554
Total Revenue,-0.19506778769049066,-0.21014077906740072,-0.2627721183693643
Total Revenue,-0.19506778769049066,-0.21014077906740072,-0.2627721183693643
Total Capitalization,-0.31340177668611097,-0.31747797901826497,-0.3518419126032594
Diluted Average Shares,-0.32130656526640045,-0.31987955254434786,-0.320898847345814
Diluted Average Shares,-0.32130656526640045,-0.31987955254434786,-0.320898847345814
Ordinary Shares Number,-0.3197864716768916,-0.31922463726370376,-0.31869912617704177
Net Income,-0.2417272266324351,-0.18992382112054854,-0.23758797147046837
Net Income,-0.2417272266324351,-0.18992382112054854,-0.23758797147046837
Capital Stock,-0.1704710136051287,-0.1704710136051287,-0.1704710136051287
Diluted NI Availto Com Stockholders,-0.23872483791943225,-0.1867143729437435,-0.2345690380545467
Diluted NI Availto Com Stockholders,-0.23872483791943225,-0.1867143729437435,-0.2345690380545467
Tangible Book Value,-0.24801120357740836,-0.2781455606417261,-0.24316117687829925
Tax Rate For Calcs,0.5854902128902281,0.19285715413462223,0.3011697220672032
Tax Rate For Calcs,0.5854902128902281,0.19285715413462223,0.3011697220672032
