,2023-09-30PTC,2022-09-30PTC,2021-09-30PTC,2020-09-30PTC
Basic EPS,-0.22788078575450763,-0.1977649547916166,-0.12699275202882268,-0.27506225426303693
Basic EPS,-0.22788078575450763,-0.1977649547916166,-0.12699275202882268,-0.27506225426303693
Net Income Common Stockholders,-0.3372279602415047,-0.3287219592491119,-0.30808797078883404,-0.35169134816841363
Net Income Common Stockholders,-0.3372279602415047,-0.3287219592491119,-0.30808797078883404,-0.35169134816841363
Total Liabilities Net Minority Interest,-0.24823342176031163,-0.25330815817960217,-0.2529843828783011,-0.25516595921744606
Net Income Including Noncontrolling Interests,-0.3414626046150881,-0.3330246769277321,-0.3125558217412263,-0.35581024242403975
Net Income Including Noncontrolling Interests,-0.3414626046150881,-0.3330246769277321,-0.3125558217412263,-0.35581024242403975
Net Income From Continuing Operation Net Minority Interest,-0.33457674375535335,-0.32608811741792154,-0.3054962766637499,-0.34901058826050363
Net Income From Continuing Operation Net Minority Interest,-0.33457674375535335,-0.32608811741792154,-0.3054962766637499,-0.34901058826050363
Tax Effect Of Unusual Items,0.1363003353317939,0.1168556230626277,0.13429621223466567,0.13320933493843723
Tax Effect Of Unusual Items,0.1363003353317939,0.1168556230626277,0.13429621223466567,0.13320933493843723
Total Equity Gross Minority Interest,-0.44621885821497487,-0.45769698957023836,-0.46545129738611474,-0.48352158087557123
Share Issued,-0.4413917943086808,-0.4422462857409132,-0.4424384530280746,-0.4430839858567916
Invested Capital,-0.4677870363750819,-0.4798727495495772,-0.4826798823843976,-0.4998893537681627
Net Tangible Assets,-0.24065570245273518,-0.20032166657853073,-0.20346232035843753,-0.1998020229462087
Normalized Income,-0.3681473903573358,-0.3560929845128846,-0.338058328369708,-0.378823031961364
Normalized Income,-0.3681473903573358,-0.3560929845128846,-0.338058328369708,-0.378823031961364
Basic Average Shares,-0.40109718347650986,-0.4018858576464219,-0.4021320175006751,-0.40293856920190163
Basic Average Shares,-0.40109718347650986,-0.4018858576464219,-0.4021320175006751,-0.40293856920190163
Operating Revenue,-0.47106049937181566,-0.47396365979715466,-0.47620147641812566,-0.48238609872503213
Operating Revenue,-0.47106049937181566,-0.47396365979715466,-0.47620147641812566,-0.48238609872503213
Common Stock,-0.24437017553749052,-0.24437155591536383,-0.24437187446410383,-0.24437304247615046
Stockholders Equity,-0.4378588075577092,-0.44947999498113134,-0.45733094751670095,-0.4756264474308962
Total Assets,-0.28147810702451537,-0.2875280808153455,-0.2882069309277989,-0.2924559657019331
Net Income Continuous Operations,-0.3364589480927961,-0.3280038888432969,-0.30749347564899354,-0.35083571597465646
Net Income Continuous Operations,-0.3364589480927961,-0.3280038888432969,-0.30749347564899354,-0.35083571597465646
Pretax Income,-0.34001551463590574,-0.3332634161424652,-0.33382246378162794,-0.3607179600569703
Pretax Income,-0.34001551463590574,-0.3332634161424652,-0.33382246378162794,-0.3607179600569703
Diluted EPS,-0.23367377943795895,-0.20250330655726118,-0.1295960988024088,-0.2833352108072062
Diluted EPS,-0.23367377943795895,-0.20250330655726118,-0.1295960988024088,-0.2833352108072062
Common Stock Equity,-0.4447226049782901,-0.45684347867056085,-0.4650320054174801,-0.48411417279996005
Net Income From Continuing And Discontinued Operation,-0.3396189715356362,-0.33114717635386315,-0.3105961648768039,-0.35402419677142966
Net Income From Continuing And Discontinued Operation,-0.3396189715356362,-0.33114717635386315,-0.3105961648768039,-0.35402419677142966
Total Revenue,-0.47090259004260004,-0.4738055772500688,-0.4760432603510918,-0.48222751365079664
Total Revenue,-0.47090259004260004,-0.4738055772500688,-0.4760432603510918,-0.48222751365079664
Total Capitalization,-0.4635728544191752,-0.4759053099796943,-0.47880720485770284,-0.4965976265443124
Diluted Average Shares,-0.40146798563290026,-0.40221614801717637,-0.40212509101491206,-0.4035521037369646
Diluted Average Shares,-0.40146798563290026,-0.40221614801717637,-0.40212509101491206,-0.4035521037369646
Ordinary Shares Number,-0.39816943722755,-0.399096049259383,-0.3993044358080267,-0.40000445275783947
Net Income,-0.3396218655326942,-0.33115006453589435,-0.31059903895265334,-0.3540271006562114
Net Income,-0.3396218655326942,-0.33115006453589435,-0.31059903895265334,-0.3540271006562114
Capital Stock,-0.2669193612584603,-0.26692065678746746,-0.26692095575569985,-0.2669220519725521
Diluted NI Availto Com Stockholders,-0.3370107640572677,-0.32850510106713937,-0.30787193253797035,-0.3514735772537156
Diluted NI Availto Com Stockholders,-0.3370107640572677,-0.32850510106713937,-0.30787193253797035,-0.3514735772537156
Tangible Book Value,-0.2381139395347337,-0.19595679422685677,-0.19923940641508908,-0.1954136625604786
Tax Rate For Calcs,0.9239669876795437,0.24701343810091272,1.0593576975952699,-2.190019340382158
Tax Rate For Calcs,0.9239669876795437,0.24701343810091272,1.0593576975952699,-2.190019340382158
