,2022-12-31PWR,2021-12-31PWR,2020-12-31PWR
Basic EPS,-0.16012016608800284,-0.15861437453985827,-0.1736722900213038
Basic EPS,-0.16012016608800284,-0.15861437453985827,-0.1736722900213038
Net Income Common Stockholders,-0.30629133452112295,-0.3069503698210621,-0.31203324096678065
Net Income Common Stockholders,-0.30629133452112295,-0.3069503698210621,-0.31203324096678065
Total Liabilities Net Minority Interest,-0.2297114434968738,-0.23107232442562584,-0.2464130309129492
Net Income Including Noncontrolling Interests,-0.3082182364329691,-0.31067436912767926,-0.315674585555608
Net Income Including Noncontrolling Interests,-0.3082182364329691,-0.31067436912767926,-0.315674585555608
Net Income From Continuing Operation Net Minority Interest,-0.30370331026808206,-0.30436099939948047,-0.309433488094921
Net Income From Continuing Operation Net Minority Interest,-0.30370331026808206,-0.30436099939948047,-0.309433488094921
Tax Effect Of Unusual Items,0.12148968871050296,0.12860577768350492,0.13068112634939194
Tax Effect Of Unusual Items,0.12148968871050296,0.12860577768350492,0.13068112634939194
Total Equity Gross Minority Interest,-0.3642842333194749,-0.372771082766529,-0.39589103234409156
Share Issued,-0.40918199164042685,-0.41048301517035934,-0.414112253594958
Invested Capital,-0.388919918726484,-0.39303687385397884,-0.44848478085463395
Net Tangible Assets,-0.17376197425194329,-0.19272753380263996,-0.12430800497191963
Normalized Income,-0.3346558386128124,-0.33582948694529424,-0.3413870783930681
Normalized Income,-0.3346558386128124,-0.33582948694529424,-0.3413870783930681
Basic Average Shares,-0.3838061727086131,-0.3856379320709894,-0.3852556279398028
Basic Average Shares,-0.3838061727086131,-0.3856379320709894,-0.3852556279398028
Operating Revenue,-0.20546120419486066,-0.2780586581770364,-0.3095815509581045
Operating Revenue,-0.20546120419486066,-0.2780586581770364,-0.3095815509581045
Common Stock,-0.2444961084727021,-0.2444961084727021,-0.2444961084727021
Stockholders Equity,-0.3553710427634714,-0.3636364498529268,-0.38704976396123986
Total Assets,-0.2543725491881414,-0.25667361640997227,-0.2735096983130909
Net Income Continuous Operations,-0.30314708372197724,-0.30560820311383036,-0.3106185715034301
Net Income Continuous Operations,-0.30314708372197724,-0.30560820311383036,-0.3106185715034301
Pretax Income,-0.30116363940215596,-0.30963724469086984,-0.3150315364814439
Pretax Income,-0.30116363940215596,-0.30963724469086984,-0.3150315364814439
Diluted EPS,-0.1671063288791807,-0.166049702679835,-0.18031415637100176
Diluted EPS,-0.1671063288791807,-0.166049702679835,-0.18031415637100176
Common Stock Equity,-0.35868804226109413,-0.3673088442236002,-0.39172888089320557
Net Income From Continuing And Discontinued Operation,-0.3088067535553373,-0.3094631386279039,-0.3145255696481192
Net Income From Continuing And Discontinued Operation,-0.3088067535553373,-0.3094631386279039,-0.3145255696481192
Total Revenue,-0.20531914192109957,-0.27791226435609123,-0.30943327631503725
Total Revenue,-0.20531914192109957,-0.27791226435609123,-0.30943327631503725
Total Capitalization,-0.3825270133864041,-0.386639695149556,-0.4437116875494995
Diluted Average Shares,-0.3819940186859566,-0.38377370740931643,-0.38385932817263957
Diluted Average Shares,-0.3819940186859566,-0.38377370740931643,-0.38385932817263957
Ordinary Shares Number,-0.38192702217029895,-0.3821270894423599,-0.38504972292610984
Net Income,-0.3088096264029377,-0.30946601192604595,-0.31452844642110583
Net Income,-0.3088096264029377,-0.30946601192604595,-0.31452844642110583
Capital Stock,-0.2670375533663457,-0.2670375533663457,-0.2670375533663457
Diluted NI Availto Com Stockholders,-0.30607536766304744,-0.3067343767749549,-0.31181704594303916
Diluted NI Availto Com Stockholders,-0.30607536766304744,-0.3067343767749549,-0.31181704594303916
Tangible Book Value,-0.16819659655567504,-0.1880194045761155,-0.11650729436207548
Tax Rate For Calcs,1.0999749105699879,0.24701343810091272,0.2334743671093401
Tax Rate For Calcs,1.0999749105699879,0.24701343810091272,0.2334743671093401
