,2022-12-31PXD,2021-12-31PXD,2020-12-31PXD
Basic EPS,1.3050150102566458,0.12296864496317285,-0.3925139950183119
Basic EPS,1.3050150102566458,0.12296864496317285,-0.3925139950183119
Net Income Common Stockholders,0.6179462937192557,-0.10204315970177458,-0.39333852541155995
Net Income Common Stockholders,0.6179462937192557,-0.10204315970177458,-0.39333852541155995
Total Liabilities Net Minority Interest,-0.20836367343761666,-0.2051408079837348,-0.23139780472671542
Net Income Including Noncontrolling Interests,0.6079413713840035,-0.10753532966407067,-0.3971241183893083
Net Income Including Noncontrolling Interests,0.6079413713840035,-0.10753532966407067,-0.3971241183893083
Net Income From Continuing Operation Net Minority Interest,0.6205316541993645,-0.09924393447228706,-0.3905726955236033
Net Income From Continuing Operation Net Minority Interest,0.6205316541993645,-0.09924393447228706,-0.3905726955236033
Tax Effect Of Unusual Items,-0.024455276257865484,-2.1332499931029787,-0.1844256400645133
Tax Effect Of Unusual Items,-0.024455276257865484,-2.1332499931029787,-0.1844256400645133
Total Equity Gross Minority Interest,0.1517999862959572,0.16071139196867573,-0.17852414559954202
Share Issued,-0.36312103708703636,-0.3634686160917611,-0.40614292320882456
Invested Capital,-0.08392734783224505,-0.045261743805985744,-0.2931608401877688
Net Tangible Assets,0.5755045022518422,0.5856039451387318,0.2005285653365849
Normalized Income,0.6395970386306078,0.22218550765383174,-0.37630762994545575
Normalized Income,0.6395970386306078,0.22218550765383174,-0.37630762994545575
Basic Average Shares,-0.3174447764692507,-0.3222579579769962,-0.3690145783379528
Basic Average Shares,-0.3174447764692507,-0.3222579579769962,-0.3690145783379528
Operating Revenue,-0.07582402342085458,-0.1913432286464317,-0.38368607480495326
Operating Revenue,-0.07582402342085458,-0.1913432286464317,-0.38368607480495326
Common Stock,-0.24428395501186503,-0.24428395501186503,-0.24428395501186503
Stockholders Equity,0.16761336031506946,0.17663583203310915,-0.16682771971983476
Total Assets,-0.1702258426835622,-0.16618012145558328,-0.23259643390219872
Net Income Continuous Operations,0.6148726070248203,-0.10205672955417204,-0.3922334716861965
Net Income Continuous Operations,0.6148726070248203,-0.10205672955417204,-0.3922334716861965
Pretax Income,0.6663784251250991,-0.08749360185746786,-0.40212138605407843
Pretax Income,0.6663784251250991,-0.08749360185746786,-0.40212138605407843
Diluted EPS,1.3021324013109963,0.11237130084775336,-0.4064321630309787
Diluted EPS,1.3021324013109963,0.11237130084775336,-0.4064321630309787
Common Stock Equity,0.1867835745176302,0.19619399327277676,-0.16203775852787022
Net Income From Continuing And Discontinued Operation,0.6135956479114699,-0.10475277757844342,-0.3955038951418482
Net Income From Continuing And Discontinued Operation,0.6135956479114699,-0.10475277757844342,-0.3955038951418482
Total Revenue,-0.075689695985363,-0.191202008725589,-0.38353337869496135
Total Revenue,-0.075689695985363,-0.191202008725589,-0.38353337869496135
Total Capitalization,-0.07999189546390867,-0.030819479988683826,-0.28529833950999434
Diluted Average Shares,-0.31131747621203265,-0.3153946554178971,-0.37043657469706637
Diluted Average Shares,-0.31131747621203265,-0.3153946554178971,-0.37043657469706637
Ordinary Shares Number,-0.31913798352775447,-0.3145910321973173,-0.3673960635821844
Net Income,0.6135934081994161,-0.10475551036371807,-0.39550682749822913
Net Income,0.6135934081994161,-0.10475551036371807,-0.39550682749822913
Capital Stock,-0.2668384405235505,-0.2668384405235505,-0.2668384405235505
Diluted NI Availto Com Stockholders,0.6188811341978567,-0.10107970906125356,-0.39311909956639207
Diluted NI Availto Com Stockholders,0.6188811341978567,-0.10107970906125356,-0.39311909956639207
Tangible Book Value,0.6149369292537865,0.6254928697165534,0.22301197761254216
Tax Rate For Calcs,0.24701343810091272,0.5177948579323652,0.5177948579323652
Tax Rate For Calcs,0.24701343810091272,0.5177948579323652,0.5177948579323652
