,2022-12-31RCL,2021-12-31RCL,2020-12-31RCL
Basic EPS,-0.7559116886371969,-1.3803132506011375,-1.6895024484868189
Basic EPS,-0.7559116886371969,-1.3803132506011375,-1.6895024484868189
Net Income Common Stockholders,-0.6396691203551151,-1.0306493368594645,-1.098273562305908
Net Income Common Stockholders,-0.6396691203551151,-1.0306493368594645,-1.098273562305908
Total Liabilities Net Minority Interest,-0.13472203368216645,-0.1502531262678248,-0.16467609790557292
Net Income Including Noncontrolling Interests,-0.6414833359788652,-1.029334547964492,-1.0936276316273297
Net Income Including Noncontrolling Interests,-0.6414833359788652,-1.029334547964492,-1.0936276316273297
Net Income From Continuing Operation Net Minority Interest,-0.6364001269832472,-1.026581713630344,-1.0940678074700325
Net Income From Continuing Operation Net Minority Interest,-0.6364001269832472,-1.026581713630344,-1.0940678074700325
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.44045287768372354,-0.3737153606007344,-0.2630720402085667
Share Issued,-0.3391444303910079,-0.3394888737728787,-0.3503751661380887
Invested Capital,-0.10364276296748826,-0.10504209513523206,-0.07320093694456102
Net Tangible Assets,-0.1295745573597772,-0.0542224775017363,0.07081674593595325
Normalized Income,-0.6850285443879162,-1.0500924780751537,-0.9178832524535152
Normalized Income,-0.6850285443879162,-1.0500924780751537,-0.9178832524535152
Basic Average Shares,-0.3071232525245695,-0.30932287647360923,-0.33509196266872054
Basic Average Shares,-0.3071232525245695,-0.30932287647360923,-0.33509196266872054
Operating Revenue,-0.3514715741816082,-0.48107878451397607,-0.4690786906179979
Operating Revenue,-0.3514715741816082,-0.48107878451397607,-0.4690786906179979
Common Stock,-0.24419561082797295,-0.2441961417425396,-0.2442147237523727
Stockholders Equity,-0.4320209635429038,-0.3644516728465044,-0.252429365065761
Total Assets,-0.1776435233431208,-0.183377817552644,-0.1825965060558883
Net Income Continuous Operations,-0.6370888128829345,-1.0257274809106864,-1.0901510991074708
Net Income Continuous Operations,-0.6370888128829345,-1.0257274809106864,-1.0901510991074708
Pretax Income,-0.6003946468444934,-0.9252279016720267,-0.9790746629653043
Pretax Income,-0.6003946468444934,-0.9252279016720267,-0.9790746629653043
Diluted EPS,-0.7889308471941171,-1.4461523431871341,-1.7715932125856055
Diluted EPS,-0.7889308471941171,-1.4461523431871341,-1.7715932125856055
Common Stock Equity,-0.4386337461241577,-0.3681591200668651,-0.25132009201793615
Net Income From Continuing And Discontinued Operation,-0.640843902653303,-1.030251841508756,-1.0976041246581083
Net Income From Continuing And Discontinued Operation,-0.640843902653303,-1.030251841508756,-1.0976041246581083
Total Revenue,-0.3513208001587117,-0.4809202774410048,-0.4689208995339501
Total Revenue,-0.3513208001587117,-0.4809202774410048,-0.4689208995339501
Total Capitalization,-0.12288159320783731,-0.12700125783236832,-0.07908678935534494
Diluted Average Shares,-0.3092714117805564,-0.31144522782714973,-0.33691196867684636
Diluted Average Shares,-0.3092714117805564,-0.31144522782714973,-0.33691196867684636
Ordinary Shares Number,-0.3061875357525835,-0.30646973969553604,-0.3182187371848673
Net Income,-0.6408470034106762,-1.0302552095551212,-1.097607538934974
Net Income,-0.6408470034106762,-1.0302552095551212,-1.097607538934974
Capital Stock,-0.2667555266670912,-0.2667560249474786,-0.26677346476103675
Diluted NI Availto Com Stockholders,-0.6394399060912785,-1.0304045862467988,-1.098026124514936
Diluted NI Availto Com Stockholders,-0.6394399060912785,-1.0304045862467988,-1.098026124514936
Tangible Book Value,-0.12201189635575922,-0.043253881915211206,0.08743714856056659
Tax Rate For Calcs,-2.596191470129336,-2.596191470129336,-2.596191470129336
Tax Rate For Calcs,-2.596191470129336,-2.596191470129336,-2.596191470129336
