,2023-01-31ROST,2022-01-31ROST,2021-01-31ROST,2020-01-31ROST
Basic EPS,-0.11093097551528079,-0.0858344497128716,-0.31973407019132527,-0.0993865736461726
Basic EPS,-0.11093097551528079,-0.0858344497128716,-0.31973407019132527,-0.0993865736461726
Net Income Common Stockholders,-0.17772693474785625,-0.15121087047657916,-0.3573979918806521,-0.15897635406716762
Net Income Common Stockholders,-0.17772693474785625,-0.15121087047657916,-0.3573979918806521,-0.15897635406716762
Total Liabilities Net Minority Interest,-0.2252935728009811,-0.22341255881479716,-0.22404872750417704,-0.23834622779163542
Net Income Including Noncontrolling Interests,-0.1832380616861398,-0.1569342047885896,-0.36147121601485366,-0.16463754141567627
Net Income Including Noncontrolling Interests,-0.1832380616861398,-0.1569342047885896,-0.36147121601485366,-0.16463754141567627
Net Income From Continuing Operation Net Minority Interest,-0.17540152063186193,-0.14893961900035524,-0.3547055753828153,-0.15668924054271297
Net Income From Continuing Operation Net Minority Interest,-0.17540152063186193,-0.14893961900035524,-0.3547055753828153,-0.15668924054271297
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.3977091096318274,-0.40458934703927124,-0.42775328162929277,-0.4256877321975375
Share Issued,-0.3021438953881177,-0.29656731265680203,-0.29359276205973694,-0.29342360509498644
Invested Capital,-0.42832253175754337,-0.4321943828925619,-0.44398456374161893,-0.4794488587322876
Net Tangible Assets,-0.03897211402409618,-0.04676960044730405,-0.07302166920271516,-0.07068074799654421
Normalized Income,-0.20478148184733616,-0.17763020205417232,-0.3887567163707481,-0.18558171459918
Normalized Income,-0.20478148184733616,-0.17763020205417232,-0.3887567163707481,-0.18558171459918
Basic Average Shares,-0.24631145456363765,-0.24078042141387979,-0.24016433418088837,-0.23599061821631473
Basic Average Shares,-0.24631145456363765,-0.24078042141387979,-0.24016433418088837,-0.23599061821631473
Operating Revenue,-0.17669798613304005,-0.1727891489178427,-0.2860149769344888,-0.22381286817146245
Operating Revenue,-0.17669798613304005,-0.1727891489178427,-0.2860149769344888,-0.22381286817146245
Common Stock,-0.24413232581162717,-0.24412287553234063,-0.2441177787525007,-0.2441174602037607
Stockholders Equity,-0.3887444645780627,-0.3957104528521802,-0.4191630878676428,-0.41707179475243
Total Assets,-0.25455339406028726,-0.25370801208944405,-0.2571923526662454,-0.2699206978368102
Net Income Continuous Operations,-0.1779131611700389,-0.15155589943474404,-0.3565081830653503,-0.1592748761804743
Net Income Continuous Operations,-0.1779131611700389,-0.15155589943474404,-0.3565081830653503,-0.1592748761804743
Pretax Income,-0.16685796342007353,-0.13849741285995532,-0.36369044450034965,-0.14835916806983193
Pretax Income,-0.16685796342007353,-0.13849741285995532,-0.36369044450034965,-0.14835916806983193
Diluted EPS,-0.1111051403138593,-0.08521779842988997,-0.3298267635784164,-0.09948225212105677
Diluted EPS,-0.1111051403138593,-0.08521779842988997,-0.3298267635784164,-0.09948225212105677
Common Stock Equity,-0.3934964500214104,-0.4007619609314439,-0.42522300922332673,-0.42304179496531374
Net Income From Continuing And Discontinued Operation,-0.18075935930734904,-0.15434992604559764,-0.35970789193542907,-0.16208418172293892
Net Income From Continuing And Discontinued Operation,-0.18075935930734904,-0.15434992604559764,-0.35970789193542907,-0.16208418172293892
Total Revenue,-0.1765576400246452,-0.1726490360313021,-0.285868108397583,-0.22366971094059113
Total Revenue,-0.1765576400246452,-0.1726490360313021,-0.285868108397583,-0.22366971094059113
Total Capitalization,-0.4226148809998705,-0.4266174365033904,-0.43992202332221336,-0.4754671096294048
Diluted Average Shares,-0.2479703428905176,-0.2421861846571313,-0.2415848007242663,-0.2371250462029183
Diluted Average Shares,-0.2479703428905176,-0.2421861846571313,-0.2415848007242663,-0.2371250462029183
Ordinary Shares Number,-0.24716876749563668,-0.2411215112442195,-0.23789590327605528,-0.23771246916203884
Net Income,-0.1807621442634209,-0.1543526928742764,-0.3597107997214901,-0.1620869538603985
Net Income,-0.1807621442634209,-0.1543526928742764,-0.3597107997214901,-0.1620869538603985
Capital Stock,-0.26669613164491607,-0.2666872622540208,-0.26668247876230194,-0.26668217979406955
Diluted NI Availto Com Stockholders,-0.17751607664280092,-0.15100106603819727,-0.35717999420152036,-0.1587662410524005
Diluted NI Availto Com Stockholders,-0.17751607664280092,-0.15100106603819727,-0.35717999420152036,-0.1587662410524005
Tangible Book Value,-0.02731419784466704,-0.03546413278310457,-0.0629028022137042,-0.060456070729886714
Tax Rate For Calcs,0.6396464968565185,0.6125683548733732,0.07100551521046897,0.5584120709070831
Tax Rate For Calcs,0.6396464968565185,0.6125683548733732,0.07100551521046897,0.5584120709070831
