,2022-12-31SBAC,2021-12-31SBAC,2020-12-31SBAC
Basic EPS,-0.11745607222390722,-0.2228614805940258,-0.32073793122342165
Basic EPS,-0.11745607222390722,-0.2228614805940258,-0.32073793122342165
Net Income Common Stockholders,-0.31003925933025533,-0.33822488809060053,-0.3651152410894563
Net Income Common Stockholders,-0.31003925933025533,-0.33822488809060053,-0.3651152410894563
Total Liabilities Net Minority Interest,-0.19742414112386683,-0.2005919808284767,-0.20516906107779115
Net Income Including Noncontrolling Interests,-0.3146951308085822,-0.34245155407649835,-0.3691338253144492
Net Income Including Noncontrolling Interests,-0.3146951308085822,-0.34245155407649835,-0.3691338253144492
Net Income From Continuing Operation Net Minority Interest,-0.3074435794349877,-0.33557163524477623,-0.3624070610686231
Net Income From Continuing Operation Net Minority Interest,-0.3074435794349877,-0.33557163524477623,-0.3624070610686231
Tax Effect Of Unusual Items,0.11113058654069169,0.1193236743794997,0.07822699290602081
Tax Effect Of Unusual Items,0.11113058654069169,0.1193236743794997,0.07822699290602081
Total Equity Gross Minority Interest,-0.6847154705681464,-0.6853649795748465,-0.6716075153699834
Share Issued,-0.4481387939799246,-0.4475423912990579,-0.4470056910763384
Invested Capital,-0.41423464239796887,-0.4237605727957584,-0.4362033771317062
Net Tangible Assets,-0.46005644328413714,-0.46121187414198045,-0.4575911215078121
Normalized Income,-0.33232478123466713,-0.3569713262421261,-0.3894910316745145
Normalized Income,-0.33232478123466713,-0.3569713262421261,-0.3894910316745145
Basic Average Shares,-0.4082371944445712,-0.4072944984664113,-0.40577903388882974
Basic Average Shares,-0.4082371944445712,-0.4072944984664113,-0.40577903388882974
Operating Revenue,-0.4615479698657971,-0.4673047774188101,-0.4713072678306296
Operating Revenue,-0.4615479698657971,-0.4673047774188101,-0.4713072678306296
Common Stock,-0.24438164329213036,-0.24438068764591037,-0.24437973199969037
Stockholders Equity,-0.6802952135339226,-0.680511295635305,-0.6665196976185549
Total Assets,-0.2652491401767826,-0.2682082282796467,-0.2706397445128369
Net Income Continuous Operations,-0.30963712816507155,-0.3374499054226999,-0.3641863497947152
Net Income Continuous Operations,-0.30963712816507155,-0.3374499054226999,-0.3641863497947152
Pretax Income,-0.3197925966957101,-0.34838626687777374,-0.37666959917891724
Pretax Income,-0.3197925966957101,-0.34838626687777374,-0.37666959917891724
Diluted EPS,-0.1195581499086248,-0.2294472746405762,-0.33141170287743493
Diluted EPS,-0.1195581499086248,-0.2294472746405762,-0.33141170287743493
Common Stock Equity,-0.697583259245275,-0.6978086324160696,-0.6832154255315261
Net Income From Continuing And Discontinued Operation,-0.3125396065573593,-0.3406118903650719,-0.36739410719947146
Net Income From Continuing And Discontinued Operation,-0.3125396065573593,-0.3406118903650719,-0.36739410719947146
Total Revenue,-0.46139062810428716,-0.46714709217578426,-0.47114934377790557
Total Revenue,-0.46139062810428716,-0.46714709217578426,-0.47114934377790557
Total Capitalization,-0.4084641984108872,-0.41831170127456274,-0.4311745447149088
Diluted Average Shares,-0.4082279487562234,-0.4070109107632729,-0.4054561464261033
Diluted Average Shares,-0.4082279487562234,-0.4070109107632729,-0.4054561464261033
Ordinary Shares Number,-0.40548589569433097,-0.404839155564398,-0.4042571568864708
Net Income,-0.31254248196718404,-0.34061478504366777,-0.3673970202613385
Net Income,-0.31254248196718404,-0.34061478504366777,-0.3673970202613385
Capital Stock,-0.2669301241148276,-0.2669292272101303,-0.26692833030543306
Diluted NI Availto Com Stockholders,-0.3098231435411988,-0.33800765229152324,-0.3648969367506251
Diluted NI Availto Com Stockholders,-0.3098231435411988,-0.33800765229152324,-0.3648969367506251
Tangible Book Value,-0.4674316537533754,-0.46863931040145357,-0.46485489875966857
Tax Rate For Calcs,-0.8957383098717819,-1.7953148037648416,1.0593576975952699
Tax Rate For Calcs,-0.8957383098717819,-1.7953148037648416,1.0593576975952699
