,2023-03-31STE,2022-03-31STE,2021-03-31STE,2020-03-31STE
Basic EPS,-0.278073837359326,-0.20629777356443574,-0.09788078209802803,-0.0903518243573053
Basic EPS,-0.278073837359326,-0.20629777356443574,-0.09788078209802803,-0.0903518243573053
Net Income Common Stockholders,-0.35467167883400896,-0.3374360103686783,-0.31810296489490375,-0.3168109635300889
Net Income Common Stockholders,-0.35467167883400896,-0.3374360103686783,-0.31810296489490375,-0.3168109635300889
Total Liabilities Net Minority Interest,-0.24356290752258708,-0.24296287235311534,-0.25209482626913293,-0.2548408989284995
Net Income Including Noncontrolling Interests,-0.35891876194132244,-0.3417961689230676,-0.322556879249346,-0.3211840185076283
Net Income Including Noncontrolling Interests,-0.35891876194132244,-0.3417961689230676,-0.322556879249346,-0.3211840185076283
Net Income From Continuing Operation Net Minority Interest,-0.35198483119850166,-0.33478436891206464,-0.3154908137927766,-0.3142014515151125
Net Income From Continuing Operation Net Minority Interest,-0.35198483119850166,-0.33478436891206464,-0.3154908137927766,-0.3142014515151125
Tax Effect Of Unusual Items,-0.3163798458446584,0.1359337066244067,0.13787251631426412,0.13562044443480487
Tax Effect Of Unusual Items,-0.3163798458446584,0.1359337066244067,0.13787251631426412,0.13562044443480487
Total Equity Gross Minority Interest,-0.3435606088970667,-0.32978812174818095,-0.4096646936308869,-0.42391264642095255
Share Issued,-0.45396475885412607,-0.4530704657831289,-0.46222111129540483,-0.4624879066552503
Invested Capital,-0.3882134562143657,-0.3804793537952423,-0.4485132143818632,-0.46474556402532613
Net Tangible Assets,-0.21115342143393823,-0.2262590148569531,-0.18678046321079925,-0.16879018229347706
Normalized Income,-0.3434117011804948,-0.36831174955691354,-0.34880850611978487,-0.34712639854514293
Normalized Income,-0.3434117011804948,-0.36831174955691354,-0.34880850611978487,-0.34712639854514293
Basic Average Shares,-0.4139105602474867,-0.41540333411224606,-0.4238827847341772,-0.42417501361143317
Basic Average Shares,-0.4139105602474867,-0.41540333411224606,-0.4238827847341772,-0.42417501361143317
Operating Revenue,-0.42032735153017337,-0.4269381393299837,-0.4531409063064997,-0.45449975548998217
Operating Revenue,-0.42032735153017337,-0.4269381393299837,-0.4531409063064997,-0.45449975548998217
Common Stock,0.23188004696064998,0.25912074246136946,-0.03183052744466619,-0.03402437261701554
Stockholders Equity,-0.3342251123754898,-0.3203512941922482,-0.4011684386151268,-0.41566620948778826
Total Assets,-0.26435463159102823,-0.2620814915559746,-0.2803991384823805,-0.2846813474150806
Net Income Continuous Operations,-0.35395054673295195,-0.3367931896378748,-0.31751483834868943,-0.3161391902816968
Net Income Continuous Operations,-0.35395054673295195,-0.3367931896378748,-0.31751483834868943,-0.3161391902816968
Pretax Income,-0.3583488871305388,-0.3419054786086172,-0.3206620868475803,-0.3226269671799475
Pretax Income,-0.3583488871305388,-0.3419054786086172,-0.3206620868475803,-0.3226269671799475
Diluted EPS,-0.2859767763055704,-0.21148462925169953,-0.09789731282203822,-0.09102924252629126
Diluted EPS,-0.2859767763055704,-0.21148462925169953,-0.09789731282203822,-0.09102924252629126
Common Stock Equity,-0.3366328819750034,-0.3221625192055608,-0.4064546284392025,-0.42157577253269185
Net Income From Continuing And Discontinued Operation,-0.3569925424129905,-0.33982618501545275,-0.32057088494668945,-0.31928407920247764
Net Income From Continuing And Discontinued Operation,-0.3569925424129905,-0.33982618501545275,-0.32057088494668945,-0.31928407920247764
Total Revenue,-0.42017246920826473,-0.4267828625735914,-0.45298406615476383,-0.4543428342621336
Total Revenue,-0.42017246920826473,-0.4267828625735914,-0.45298406615476383,-0.4543428342621336
Total Capitalization,-0.3821837696313712,-0.37561396342189646,-0.44348715243791187,-0.46026746710778127
Diluted Average Shares,-0.41443885174649014,-0.41574354909236677,-0.42418874628744724,-0.4243633854634318
Diluted Average Shares,-0.41443885174649014,-0.41574354909236677,-0.42418874628744724,-0.4243633854634318
Ordinary Shares Number,-0.41180358238589737,-0.4108338093860604,-0.42075678568620006,-0.421046099049851
Net Income,-0.35699544833523994,-0.3398290791547417,-0.3205737658691709,-0.3192869592416977
Net Income,-0.35699544833523994,-0.3398290791547417,-0.3205737658691709,-0.3192869592416977
Capital Stock,0.18005678190385146,0.20562305029970102,-0.06744406930943336,-0.0695030635261464
Diluted NI Availto Com Stockholders,-0.35445378949015544,-0.33721880591717046,-0.3178865286790399,-0.3165945786543774
Diluted NI Availto Com Stockholders,-0.35445378949015544,-0.33721880591717046,-0.3178865286790399,-0.3165945786543774
Tangible Book Value,-0.20727814735905736,-0.22306651772898153,-0.18180352476983078,-0.1630000782432678
Tax Rate For Calcs,1.8446238151064815,0.49071671594922,0.5604429315558188,-0.13208054966312044
Tax Rate For Calcs,1.8446238151064815,0.49071671594922,0.5604429315558188,-0.13208054966312044
