,2023-06-30STX,2022-06-30STX,2021-06-30STX,2020-06-30STX
Basic EPS,-0.46027461468481673,0.04466748445965616,-0.0592321323623179,-0.1395410149300273
Basic EPS,-0.46027461468481673,0.04466748445965616,-0.0592321323623179,-0.1395410149300273
Net Income Common Stockholders,-0.43477223717918617,-0.16047854651082794,-0.20266788828029533,-0.2417087717087577
Net Income Common Stockholders,-0.43477223717918617,-0.16047854651082794,-0.20266788828029533,-0.2417087717087577
Total Liabilities Net Minority Interest,-0.22684420773058558,-0.2265115248450236,-0.22980092687601783,-0.23354776787465983
Net Income Including Noncontrolling Interests,-0.4382262372377134,-0.16612771185222272,-0.20797941341518844,-0.24670785366748513
Net Income Including Noncontrolling Interests,-0.4382262372377134,-0.16612771185222272,-0.20797941341518844,-0.24670785366748513
Net Income From Continuing Operation Net Minority Interest,-0.431921773343225,-0.15818836455557753,-0.20029152890078503,-0.23925266605605164
Net Income From Continuing Operation Net Minority Interest,-0.431921773343225,-0.15818836455557753,-0.20029152890078503,-0.23925266605605164
Tax Effect Of Unusual Items,0.0347472389992296,0.13581389922639528,0.13539774856956305,0.12971614444393373
Tax Effect Of Unusual Items,0.0347472389992296,0.13581389922639528,0.13539774856956305,0.12971614444393373
Total Equity Gross Minority Interest,-0.5629188335362659,-0.5235400544149286,-0.5078246700866884,-0.4730220182026931
Share Issued,-0.3863266120340181,-0.3847962464863177,-0.3738925807057868,-0.3556485916030442
Invested Capital,-0.46980142450222445,-0.4447952270618339,-0.4445456642131274,-0.44135125974968425
Net Tangible Assets,-0.2684131341141246,-0.22409159252605185,-0.2069634833057189,-0.16851053690867657
Normalized Income,-0.44529355542634813,-0.18673993992142698,-0.22931429602599743,-0.26000862591910684
Normalized Income,-0.44529355542634813,-0.18673993992142698,-0.22931429602599743,-0.26000862591910684
Basic Average Shares,-0.34013548929147963,-0.3311967236342379,-0.31606958175275196,-0.3023176345877647
Basic Average Shares,-0.34013548929147963,-0.3311967236342379,-0.31606958175275196,-0.3023176345877647
Operating Revenue,-0.37730183871634293,-0.30145356718582506,-0.31883287653815323,-0.3218831226693782
Operating Revenue,-0.37730183871634293,-0.30145356718582506,-0.31883287653815323,-0.3218831226693782
Common Stock,-0.24449632083852874,-0.24449632083852874,-0.24449632083852874,-0.24449632083852874
Stockholders Equity,-0.5560132565304123,-0.5161436855601558,-0.5002324347600993,-0.46499602494234965
Total Assets,-0.276691395521431,-0.27144820125025015,-0.2724643534541029,-0.27150108649506033
Net Income Continuous Operations,-0.4334190403494562,-0.16076807211669122,-0.2027047453756335,-0.24151181615256515
Net Income Continuous Operations,-0.4334190403494562,-0.16076807211669122,-0.2027047453756335,-0.24151181615256515
Pretax Income,-0.42670985605281586,-0.19913571883045872,-0.23376884040314846,-0.26683248516740815
Pretax Income,-0.42670985605281586,-0.19913571883045872,-0.23376884040314846,-0.26683248516740815
Diluted EPS,-0.47775443148681246,0.046332163388648005,-0.05933045654592064,-0.14227561319455703
Diluted EPS,-0.47775443148681246,0.046332163388648005,-0.05933045654592064,-0.14227561319455703
Common Stock Equity,-0.5679574432093276,-0.5263735657372609,-0.5097781650947389,-0.47302666482126116
Net Income From Continuing And Discontinued Operation,-0.4367709864612443,-0.16358033328907193,-0.20560001593952085,-0.24448390137724968
Net Income From Continuing And Discontinued Operation,-0.4367709864612443,-0.16358033328907193,-0.20560001593952085,-0.24448390137724968
Total Revenue,-0.3771495235235642,-0.30130577750115906,-0.3186840499121848,-0.32173411404963015
Total Revenue,-0.3771495235235642,-0.30130577750115906,-0.3186840499121848,-0.32173411404963015
Total Capitalization,-0.4665775487121174,-0.4496879677409139,-0.44359946299162056,-0.4364102116209861
Diluted Average Shares,-0.34189632025601563,-0.3303443125060665,-0.3160741852855411,-0.3024835879326598
Diluted Average Shares,-0.34189632025601563,-0.3303443125060665,-0.3160741852855411,-0.3024835879326598
Ordinary Shares Number,-0.3384566554416837,-0.3367971243146164,-0.3249731697116649,-0.30518935541750863
Net Income,-0.4367739471432913,-0.16358310645348756,-0.20560281794618007,-0.24448673007374624
Net Income,-0.4367739471432913,-0.16358310645348756,-0.20560281794618007,-0.24448673007374624
Capital Stock,-0.2670377526785007,-0.2670377526785007,-0.2670377526785007,-0.2670377526785007
Diluted NI Availto Com Stockholders,-0.43455116488600853,-0.1602683738035628,-0.20245603909861298,-0.24149537116268927
Diluted NI Availto Com Stockholders,-0.43455116488600853,-0.1602683738035628,-0.20245603909861298,-0.24149537116268927
Tangible Book Value,-0.26712601468566194,-0.2208011273169653,-0.20289882288348898,-0.16270779281072442
Tax Rate For Calcs,-0.29454940156199155,-2.3542753496519166,-2.2546954825089003,-2.2288493959859883
Tax Rate For Calcs,-0.29454940156199155,-2.3542753496519166,-2.2546954825089003,-2.2288493959859883
