,2022-12-31TRGP,2021-12-31TRGP,2020-12-31TRGP
Basic EPS,-0.13351784873744907,-0.335293916188819,-0.6961819572274631
Basic EPS,-0.13351784873744907,-0.335293916188819,-0.6961819572274631
Net Income Common Stockholders,-0.25520936107498726,-0.370178465855127,-0.5803317632005307
Net Income Common Stockholders,-0.25520936107498726,-0.370178465855127,-0.5803317632005307
Total Liabilities Net Minority Interest,-0.20262988390495562,-0.22154415350997603,-0.22178119006593894
Net Income Including Noncontrolling Interests,-0.1808195330576101,-0.31940488393461874,-0.5376708773694171
Net Income Including Noncontrolling Interests,-0.1808195330576101,-0.31940488393461874,-0.5376708773694171
Net Income From Continuing Operation Net Minority Interest,-0.21518473778110467,-0.3564879845671249,-0.5607323200220403
Net Income From Continuing Operation Net Minority Interest,-0.21518473778110467,-0.3564879845671249,-0.5607323200220403
Tax Effect Of Unusual Items,0.23293235486801522,0.09176381570614439,-0.996398848986648
Tax Effect Of Unusual Items,0.23293235486801522,0.09176381570614439,-0.996398848986648
Total Equity Gross Minority Interest,-0.37682700669772595,-0.3709111579994517,-0.34909928837146326
Share Issued,-0.367327749403766,-0.3684681689679782,-0.3692843544324025
Invested Capital,-0.30803811347532517,-0.39775263008066,-0.3678666470718951
Net Tangible Assets,-0.18764829878454262,-0.1540096476285142,-0.14191419998188465
Normalized Income,-0.29733450720467963,-0.3327024716597191,-0.3224708587267727
Normalized Income,-0.29733450720467963,-0.3327024716597191,-0.3224708587267727
Basic Average Shares,-0.32617726291901755,-0.3252833863532934,-0.3228080358635957
Basic Average Shares,-0.32617726291901755,-0.3252833863532934,-0.3228080358635957
Operating Revenue,-0.1370807686910708,-0.20766204544848513,-0.36176154403731725
Operating Revenue,-0.1370807686910708,-0.20766204544848513,-0.36176154403731725
Common Stock,-0.24447508425586237,-0.24447508425586237,-0.24447508425586237
Stockholders Equity,-0.43821208609558787,-0.45814382344837895,-0.4385717657113746
Total Assets,-0.23134607561418657,-0.24778507621168294,-0.24526358328948322
Net Income Continuous Operations,-0.17548972219206918,-0.3143564435238443,-0.5330655833766743
Net Income Continuous Operations,-0.17548972219206918,-0.3143564435238443,-0.5330655833766743
Pretax Income,-0.2007889010686717,-0.32909886174718966,-0.5394087540768163
Pretax Income,-0.2007889010686717,-0.32909886174718966,-0.5394087540768163
Diluted EPS,-0.13752079529750147,-0.34620446966827456,-0.7260615883330489
Diluted EPS,-0.13752079529750147,-0.34620446966827456,-0.7260615883330489
Common Stock Equity,-0.4450910737396825,-0.4658798332801904,-0.4454662188116782
Net Income From Continuing And Discontinued Operation,-0.22046369472781396,-0.3614867669782609,-0.5653261289939162
Net Income From Continuing And Discontinued Operation,-0.22046369472781396,-0.3614867669782609,-0.5653261289939162
Total Revenue,-0.13694278635491913,-0.20751985186092153,-0.3616101560605215
Total Revenue,-0.13694278635491913,-0.20751985186092153,-0.3616101560605215
Total Capitalization,-0.3120292832426262,-0.39359288796741065,-0.36624965392665776
Diluted Average Shares,-0.3255196504457936,-0.32721847511490376,-0.32477216759138516
Diluted Average Shares,-0.3255196504457936,-0.32721847511490376,-0.32477216759138516
Ordinary Shares Number,-0.3258773589462298,-0.3244079350234665,-0.32451534446429475
Net Income,-0.22046650693687875,-0.361489675985339,-0.5653291779160092
Net Income,-0.22046650693687875,-0.361489675985339,-0.5653291779160092
Capital Stock,-0.2670178214630057,-0.2670178214630057,-0.2670178214630057
Diluted NI Availto Com Stockholders,-0.25499542405710535,-0.3699599603193481,-0.5801049068203937
Diluted NI Availto Com Stockholders,-0.25499542405710535,-0.3699599603193481,-0.5801049068203937
Tangible Book Value,-0.18271058674844726,-0.14755145937600841,-0.13490929419340414
Tax Rate For Calcs,-1.5232877894021644,-2.137555440289814,-0.460890427764453
Tax Rate For Calcs,-1.5232877894021644,-2.137555440289814,-0.460890427764453
