,2022-12-31TXT,2021-12-31TXT,2020-12-31TXT
Basic EPS,-0.12849854357696724,-0.16463754073243647,-0.2640197829099769
Basic EPS,-0.12849854357696724,-0.16463754073243647,-0.2640197829099769
Net Income Common Stockholders,-0.2597179534193065,-0.27420086178792963,-0.3292359135886975
Net Income Common Stockholders,-0.2597179534193065,-0.27420086178792963,-0.3292359135886975
Total Liabilities Net Minority Interest,-0.22507682990103747,-0.22577546396071768,-0.22333856182397605
Net Income Including Noncontrolling Interests,-0.2645729083645123,-0.27893991039359006,-0.3335345181040857
Net Income Including Noncontrolling Interests,-0.2645729083645123,-0.27893991039359006,-0.3335345181040857
Net Income From Continuing Operation Net Minority Interest,-0.2570993804949157,-0.27155270556864364,-0.32660102193640744
Net Income From Continuing Operation Net Minority Interest,-0.2570993804949157,-0.27155270556864364,-0.32660102193640744
Tax Effect Of Unusual Items,0.1359644425032954,0.13272167479031383,0.02449632909940052
Tax Effect Of Unusual Items,0.1359644425032954,0.13272167479031383,0.02449632909940052
Total Equity Gross Minority Interest,-0.3126769282942508,-0.32164854616746064,-0.3508514634057613
Share Issued,-0.3870662887983266,-0.3789815809242212,-0.37450389656317823
Invested Capital,-0.3630218003023397,-0.3644859023480844,-0.37060851090301705
Net Tangible Assets,-0.02049910703257226,-0.026094744307740794,-0.0594638495218556
Normalized Income,-0.2886077118187822,-0.30255482539467043,-0.34608179797023075
Normalized Income,-0.2886077118187822,-0.30255482539467043,-0.34608179797023075
Basic Average Shares,-0.3361412362374091,-0.328373448881266,-0.3253273925842214
Basic Average Shares,-0.3361412362374091,-0.328373448881266,-0.3253273925842214
Operating Revenue,-0.28003090831071037,-0.2886673610194693,-0.3016309070771753
Operating Revenue,-0.28003090831071037,-0.2886673610194693,-0.3016309070771753
Common Stock,-0.24173556509190064,-0.24152319926523694,-0.2414170163519051
Stockholders Equity,-0.30265249666437843,-0.31173593102916164,-0.34130281469976476
Total Assets,-0.24368722524239114,-0.2454475483910729,-0.24689811510586648
Net Income Continuous Operations,-0.2592879582503855,-0.2736841296676343,-0.3285147651524603
Net Income Continuous Operations,-0.2592879582503855,-0.2736841296676343,-0.3285147651524603
Pretax Income,-0.2685065937630669,-0.2834689393367667,-0.3453063255889106
Pretax Income,-0.2685065937630669,-0.2834689393367667,-0.3453063255889106
Diluted EPS,-0.1306527250017545,-0.16816295507852638,-0.27118400951473076
Diluted EPS,-0.1306527250017545,-0.16816295507852638,-0.27118400951473076
Common Stock Equity,-0.3037027111391307,-0.313176713804785,-0.3440149104010423
Net Income From Continuing And Discontinued Operation,-0.2624206614340085,-0.2768453286125208,-0.3316590638908676
Net Income From Continuing And Discontinued Operation,-0.2624206614340085,-0.2768453286125208,-0.3316590638908676
Total Revenue,-0.2798843968149151,-0.28852033422733303,-0.30148310681147567
Total Revenue,-0.2798843968149151,-0.28852033422733303,-0.30148310681147567
Total Capitalization,-0.3552301482970752,-0.35672647573546085,-0.37170694928527576
Diluted Average Shares,-0.33647842862128946,-0.32863189723960345,-0.3269609332950667
Diluted Average Shares,-0.33647842862128946,-0.32863189723960345,-0.3269609332950667
Ordinary Shares Number,-0.3392587622430182,-0.33204278790487124,-0.3256360817167968
Net Income,-0.2624235024422687,-0.2768481795218497,-0.33166195242425756
Net Income,-0.2624235024422687,-0.2768481795218497,-0.33166195242425756
Capital Stock,-0.2644466946641481,-0.2642473825091979,-0.2641477264317228
Diluted NI Availto Com Stockholders,-0.25950383724385995,-0.27398617010633985,-0.32901903498376356
Diluted NI Availto Com Stockholders,-0.25950383724385995,-0.27398617010633985,-0.32901903498376356
Tangible Book Value,-0.008006205893552604,-0.013854767501301839,-0.04873216538166008
Tax Rate For Calcs,-0.5440067845817174,-0.6420973539156606,1.0593576975952699
Tax Rate For Calcs,-0.5440067845817174,-0.6420973539156606,1.0593576975952699
