,2022-12-31UDR,2021-12-31UDR,2020-12-31UDR
Basic EPS,-0.3187302091592289,-0.3071858072901207,-0.32174179225551797
Basic EPS,-0.3187302091592289,-0.3071858072901207,-0.32174179225551797
Net Income Common Stockholders,-0.35775943489819945,-0.3497906868371157,-0.3605900248850966
Net Income Common Stockholders,-0.35775943489819945,-0.3497906868371157,-0.3605900248850966
Total Liabilities Net Minority Interest,-0.23788376947095177,-0.2382948449199604,-0.24028606011198675
Net Income Including Noncontrolling Interests,-0.36057209154873826,-0.35202509957641365,-0.3635215746000817
Net Income Including Noncontrolling Interests,-0.36057209154873826,-0.35202509957641365,-0.3635215746000817
Net Income From Continuing Operation Net Minority Interest,-0.35451177514573967,-0.34658230396702977,-0.3573594572285269
Net Income From Continuing Operation Net Minority Interest,-0.35451177514573967,-0.34658230396702977,-0.3573594572285269
Tax Effect Of Unusual Items,0.1361306812122886,0.1392562295249735,0.14767257583642637
Tax Effect Of Unusual Items,0.1361306812122886,0.1392562295249735,0.14767257583642637
Total Equity Gross Minority Interest,-0.378153330944049,-0.383102743718337,-0.4029384790322999
Share Issued,-0.31070119299530213,-0.3174447429838861,-0.3308392730558956
Invested Capital,-0.38180934076609213,-0.3939526863211154,-0.4046824413509721
Net Tangible Assets,-0.045471856156078225,-0.0678274847823005,-0.07494738729912073
Normalized Income,-0.390582698618681,-0.39733197365629386,-0.4060487360278938
Normalized Income,-0.390582698618681,-0.39733197365629386,-0.4060487360278938
Basic Average Shares,-0.261288012623667,-0.27596477823549964,-0.27993977856353924
Basic Average Shares,-0.261288012623667,-0.27596477823549964,-0.27993977856353924
Operating Revenue,-0.48134030765175034,-0.4853591665355414,-0.4862388078646171
Operating Revenue,-0.48134030765175034,-0.4853591665355414,-0.4862388078646171
Common Stock,-0.24414697905366695,-0.24415855299122013,-0.2441813823175865
Stockholders Equity,-0.39455109571773544,-0.41452279408546694,-0.4208834537587447
Total Assets,-0.2635363042004229,-0.26453073567872865,-0.26882836821532585
Net Income Continuous Operations,-0.3556072331028291,-0.34704288813465817,-0.3585627045027407
Net Income Continuous Operations,-0.3556072331028291,-0.34704288813465817,-0.3585627045027407
Pretax Income,-0.3650892668638097,-0.35781693912426826,-0.36732974732373724
Pretax Income,-0.3650892668638097,-0.35781693912426826,-0.36732974732373724
Diluted EPS,-0.32877013737907074,-0.3171472491862682,-0.33194001597710776
Diluted EPS,-0.32877013737907074,-0.3171472491862682,-0.33194001597710776
Common Stock Equity,-0.4009711519970144,-0.4218063595841482,-0.428440514054795
Net Income From Continuing And Discontinued Operation,-0.35951447596334846,-0.35160072725355107,-0.36235651169318095
Net Income From Continuing And Discontinued Operation,-0.35951447596334846,-0.35160072725355107,-0.36235651169318095
Total Revenue,-0.48118178497492864,-0.4852004040723922,-0.4860799929174245
Total Revenue,-0.48118178497492864,-0.4852004040723922,-0.4860799929174245
Total Capitalization,-0.3794057603457614,-0.39060685476953333,-0.4011566683759564
Diluted Average Shares,-0.2632747145695972,-0.27754280320051966,-0.28214729758367585
Diluted Average Shares,-0.2632747145695972,-0.27754280320051966,-0.28214729758367585
Ordinary Shares Number,-0.25644831627013764,-0.2637610338948949,-0.2782860861742942
Net Income,-0.35951738361664914,-0.3516036294748672,-0.3623594212972504
Net Income,-0.35951738361664914,-0.3516036294748672,-0.3623594212972504
Capital Stock,-0.262263728287056,-0.2622596423878795,-0.2622810684445367
Diluted NI Availto Com Stockholders,-0.3575414228564362,-0.34957299144884124,-0.3603719003644109
Diluted NI Availto Com Stockholders,-0.3575414228564362,-0.34957299144884124,-0.3603719003644109
Tangible Book Value,-0.035698788486635,-0.05907024692453833,-0.06651197097902287
Tax Rate For Calcs,-2.5453387194849895,-2.4762488402149945,-2.1143765507522416
Tax Rate For Calcs,-2.5453387194849895,-2.4762488402149945,-2.1143765507522416
