,2022-12-31VTR,2021-12-31VTR,2020-12-31VTR
Basic EPS,-0.33780356876905987,-0.3252553058678553,-0.272552601682796
Basic EPS,-0.33780356876905987,-0.3252553058678553,-0.272552601682796
Net Income Common Stockholders,-0.37412625479974637,-0.36197887282848074,-0.312845165403759
Net Income Common Stockholders,-0.37412625479974637,-0.36197887282848074,-0.312845165403759
Total Liabilities Net Minority Interest,-0.20529815451299743,-0.20598072414784105,-0.20648312936600857
Net Income Including Noncontrolling Interests,-0.37725155625223544,-0.36507208644515027,-0.31702058625005397
Net Income Including Noncontrolling Interests,-0.37725155625223544,-0.36507208644515027,-0.31702058625005397
Net Income From Continuing Operation Net Minority Interest,-0.37139966856732143,-0.3592770992630916,-0.31024375406666294
Net Income From Continuing Operation Net Minority Interest,-0.37139966856732143,-0.3592770992630916,-0.31024375406666294
Tax Effect Of Unusual Items,0.09950284409852407,0.16073627343249264,0.30401210204073864
Tax Effect Of Unusual Items,0.09950284409852407,0.16073627343249264,0.30401210204073864
Total Equity Gross Minority Interest,-0.21908678690083985,-0.19728747151665385,-0.217385370751556
Share Issued,-0.26672416829105616,-0.2669026537648922,-0.2823326296929252
Invested Capital,-0.16703596910736548,-0.15984554767291076,-0.17326121454320947
Net Tangible Assets,0.07933422710172579,0.10237385414535843,0.08400869965033944
Normalized Income,-0.4018371335971328,-0.4067749428894256,-0.3639988404351233
Normalized Income,-0.4018371335971328,-0.4067749428894256,-0.3639988404351233
Basic Average Shares,-0.2077393055579232,-0.2192661876716155,-0.22574129199424975
Basic Average Shares,-0.2077393055579232,-0.2192661876716155,-0.22574129199424975
Operating Revenue,-0.4359410826582072,-0.44195611482701536,-0.44250540740648375
Operating Revenue,-0.4359410826582072,-0.44195611482701536,-0.44250540740648375
Common Stock,-0.23388737360171694,-0.2338952311373035,-0.23455388374870095
Stockholders Equity,-0.20999024901658883,-0.188610130621142,-0.20916118750220045
Total Assets,-0.21397765461432613,-0.21186244880786312,-0.21484057559885888
Net Income Continuous Operations,-0.3723205621977586,-0.36011636435891003,-0.3119673049890774
Net Income Continuous Operations,-0.3723205621977586,-0.36011636435891003,-0.3119673049890774
Pretax Income,-0.3808661709010847,-0.3683895626965764,-0.3387510394872472
Pretax Income,-0.3808661709010847,-0.3683895626965764,-0.3387510394872472
Diluted EPS,-0.34884603516663876,-0.33563820767481767,-0.280693645308842
Diluted EPS,-0.34884603516663876,-0.33563820767481767,-0.280693645308842
Common Stock Equity,-0.20705618450992327,-0.18475676663161705,-0.20619147511897318
Net Income From Continuing And Discontinued Operation,-0.3763688842541648,-0.36427035144804826,-0.3153342290333354
Net Income From Continuing And Discontinued Operation,-0.3763688842541648,-0.36427035144804826,-0.3153342290333354
Total Revenue,-0.4348667915759247,-0.44020770214162597,-0.4407866823398096
Total Revenue,-0.4348667915759247,-0.44020770214162597,-0.4407866823398096
Total Capitalization,-0.1598731121729689,-0.15086138557987858,-0.1622712262808883
Diluted Average Shares,-0.20839995963786836,-0.2200538968679641,-0.22671396910074357
Diluted Average Shares,-0.20839995963786836,-0.2200538968679641,-0.22671396910074357
Ordinary Shares Number,-0.20876629621419363,-0.20895310227883537,-0.22568539567171053
Net Income,-0.3763718034763046,-0.3642732623657743,-0.3153371063613846
Net Income,-0.3763718034763046,-0.3642732623657743,-0.3153371063613846
Capital Stock,-0.2570809146658085,-0.25708828921554167,-0.2577064558641197
Diluted NI Availto Com Stockholders,-0.37390759239100163,-0.3617606931192581,-0.3126289381166427
Diluted NI Availto Com Stockholders,-0.37390759239100163,-0.3617606931192581,-0.3126289381166427
Tangible Book Value,0.09633962220050853,0.12042064667688374,0.10122538218456256
Tax Rate For Calcs,1.3646502093842405,-1.5315601617780152,1.0593576975952699
Tax Rate For Calcs,1.3646502093842405,-1.5315601617780152,1.0593576975952699
