,2022-12-31WAB,2021-12-31WAB,2020-12-31WAB
Basic EPS,-0.15811244402381008,-0.1832089698262193,-0.2223595500779776
Basic EPS,-0.15811244402381008,-0.1832089698262193,-0.2223595500779776
Net Income Common Stockholders,-0.28843189348927234,-0.29787726851228746,-0.3161383268901166
Net Income Common Stockholders,-0.28843189348927234,-0.29787726851228746,-0.3161383268901166
Total Liabilities Net Minority Interest,-0.22844940265342223,-0.22908981720812907,-0.22873218310614993
Net Income Including Noncontrolling Interests,-0.29205760789840024,-0.30155232228283424,-0.3206666815041291
Net Income Including Noncontrolling Interests,-0.29205760789840024,-0.30155232228283424,-0.3206666815041291
Net Income From Continuing Operation Net Minority Interest,-0.285880349554774,-0.29530643112459654,-0.31340450773865586
Net Income From Continuing Operation Net Minority Interest,-0.285880349554774,-0.29530643112459654,-0.31340450773865586
Tax Effect Of Unusual Items,0.14017714520185529,0.14117695997564683,0.13012282809462566
Tax Effect Of Unusual Items,0.14017714520185529,0.14117695997564683,0.13012282809462566
Total Equity Gross Minority Interest,-0.22133502014888579,-0.2185652589262841,-0.22115438354741176
Share Issued,-0.374192946260328,-0.374192946260328,-0.374192946260328
Invested Capital,-0.3058885454717999,-0.3033097293684995,-0.30159606447404824
Net Tangible Assets,-0.246985937718967,-0.256641823992581,-0.2614185875201639
Normalized Income,-0.31871877358001366,-0.3286024233343084,-0.3456162693494254
Normalized Income,-0.31871877358001366,-0.3286024233343084,-0.3456162693494254
Basic Average Shares,-0.3571879037760638,-0.3534061183056923,-0.3518934041175437
Basic Average Shares,-0.3571879037760638,-0.3534061183056923,-0.3518934041175437
Operating Revenue,-0.35995799734228484,-0.36953435147520036,-0.374251592585118
Operating Revenue,-0.35995799734228484,-0.36953435147520036,-0.374251592585118
Common Stock,-0.24428395501186503,-0.24428395501186503,-0.24428395501186503
Stockholders Equity,-0.21154382110620049,-0.20852617009239666,-0.2109037133153936
Total Assets,-0.23528980387003157,-0.23552400995419095,-0.23552400995419095
Net Income Continuous Operations,-0.2869536441913593,-0.2964676357366716,-0.31562080292657657
Net Income Continuous Operations,-0.2869536441913593,-0.2964676357366716,-0.31562080292657657
Pretax Income,-0.2854569432941114,-0.2976988623998658,-0.3165325841010264
Pretax Income,-0.2854569432941114,-0.2976988623998658,-0.3165325841010264
Diluted EPS,-0.15970994548376088,-0.18612560046740304,-0.22786233534155764
Diluted EPS,-0.15970994548376088,-0.18612560046740304,-0.22786233534155764
Common Stock Equity,-0.2086765568853027,-0.20552915331516922,-0.20800892582497135
Net Income From Continuing And Discontinued Operation,-0.2910191320140155,-0.3004265236521757,-0.3184887155974433
Net Income From Continuing And Discontinued Operation,-0.2910191320140155,-0.3004265236521757,-0.3184887155974433
Total Revenue,-0.35980671697460176,-0.36938249973169757,-0.3740994593861188
Total Revenue,-0.35980671697460176,-0.36938249973169757,-0.3740994593861188
Total Capitalization,-0.30036480888960154,-0.2934163458423854,-0.2992984606001773
Diluted Average Shares,-0.358340943053002,-0.35473943475448844,-0.3531765160589071
Diluted Average Shares,-0.358340943053002,-0.35473943475448844,-0.3531765160589071
Ordinary Shares Number,-0.3561185153695298,-0.35301632079425166,-0.35092571140656426
Net Income,-0.2910219926522206,-0.30042939074759956,-0.31849159509072705
Net Income,-0.2910219926522206,-0.30042939074759956,-0.31849159509072705
Capital Stock,-0.2668384405235505,-0.2668384405235505,-0.2668384405235505
Diluted NI Availto Com Stockholders,-0.2882166363103419,-0.29766163600326356,-0.3159219687429122
Diluted NI Availto Com Stockholders,-0.2882166363103419,-0.29766163600326356,-0.3159219687429122
Tangible Book Value,-0.24473030316330513,-0.25482263813277484,-0.2598153126759754
Tax Rate For Calcs,0.7885762777638174,0.5448729999155105,0.9239669876795437
Tax Rate For Calcs,0.7885762777638174,0.5448729999155105,0.9239669876795437
