,2022-12-31WBD,2021-12-31WBD,2020-12-31WBD
Basic EPS,-0.5235178597068879,-0.2539811725890132,-0.2404290486557122
Basic EPS,-0.5235178597068879,-0.2539811725890132,-0.2404290486557122
Net Income Common Stockholders,-1.3026132942938127,-0.2532950984036562,-0.2307521366820602
Net Income Common Stockholders,-1.3026132942938127,-0.2532950984036562,-0.2307521366820602
Total Liabilities Net Minority Interest,0.09161232593756653,-0.17579401894109714,-0.17299532416630684
Net Income Including Noncontrolling Interests,-1.283755539262048,-0.22259627634911977,-0.20285726486569117
Net Income Including Noncontrolling Interests,-1.283755539262048,-0.22259627634911977,-0.20285726486569117
Net Income From Continuing Operation Net Minority Interest,-1.2918317746862387,-0.23900130388085639,-0.21223123222256027
Net Income From Continuing Operation Net Minority Interest,-1.2918317746862387,-0.23900130388085639,-0.21223123222256027
Tax Effect Of Unusual Items,-1.785561597048502,0.17595703345495733,-0.016029870860745688
Tax Effect Of Unusual Items,-1.785561597048502,0.17595703345495733,-0.016029870860745688
Total Equity Gross Minority Interest,0.9383519613143506,-0.1235203004507016,-0.15401777999956603
Share Issued,1.1389534174693547,-0.05770924048165924,-0.06908081121800644
Invested Capital,1.0582219855578907,-0.10201233560184224,-0.11016472199292102
Net Tangible Assets,-2.1975773242074426,-0.5763779026852904,-0.6522260835554103
Normalized Income,-0.9741585701675658,-0.2796788470806766,-0.2178267286089119
Normalized Income,-0.9741585701675658,-0.2796788470806766,-0.2178267286089119
Basic Average Shares,0.851470732554665,-0.1366066712496684,-0.1352314765331697
Basic Average Shares,0.851470732554665,-0.1366066712496684,-0.1352314765331697
Operating Revenue,0.07743311068406368,-0.2930831243140915,-0.32003878779933514
Operating Revenue,0.07743311068406368,-0.2930831243140915,-0.32003878779933514
Common Stock,-0.2416293821785688,-0.2437530404452058,-0.2437530404452058
Stockholders Equity,0.9160517743851605,-0.1659132800186821,-0.20050958204562488
Total Assets,0.20095680305167163,-0.17518572314325995,-0.1764700790886501
Net Income Continuous Operations,-1.2806650242793707,-0.21735128499144318,-0.1975721973051361
Net Income Continuous Operations,-1.2806650242793707,-0.21735128499144318,-0.1975721973051361
Pretax Income,-1.3123133031562784,-0.22487513848871152,-0.19400876125625388
Pretax Income,-1.3123133031562784,-0.22487513848871152,-0.19400876125625388
Diluted EPS,-0.5443218820455907,-0.26114606062094675,-0.24688160692978003
Diluted EPS,-0.5443218820455907,-0.26114606062094675,-0.24688160692978003
Common Stock Equity,0.9674032438212409,-0.161083999870254,-0.19716786908340048
Net Income From Continuing And Discontinued Operation,-1.2949759676384727,-0.24423303760023207,-0.2175160453478571
Net Income From Continuing And Discontinued Operation,-1.2949759676384727,-0.24423303760023207,-0.2175160453478571
Total Revenue,0.09158504243627533,-0.29190732405437986,-0.3188613792225014
Total Revenue,0.09158504243627533,-0.29190732405437986,-0.3188613792225014
Total Capitalization,1.1078341031249173,-0.09111975583902951,-0.09947855049483897
Diluted Average Shares,0.8357289403711499,-0.03135117074267767,-0.025914931801525144
Diluted Average Shares,0.8357289403711499,-0.03135117074267767,-0.025914931801525144
Ordinary Shares Number,1.1604499978664415,-0.13721312089168736,-0.15021886258760217
Net Income,-1.2949795173910585,-0.24423586612453616,-0.21751885553366002
Net Income,-1.2949795173910585,-0.24423586612453616,-0.21751885553366002
Capital Stock,-0.26434703858667297,-0.266340160136175,-0.266340160136175
Diluted NI Availto Com Stockholders,-1.302357736671653,-0.23922857123638808,-0.21441970537631377
Diluted NI Availto Com Stockholders,-1.302357736671653,-0.23922857123638808,-0.21441970537631377
Tangible Book Value,-2.283488952879256,-0.5890108748780071,-0.6682874142318275
Tax Rate For Calcs,-0.023767981730539414,-0.4299401114777178,0.382404148016639
Tax Rate For Calcs,-0.023767981730539414,-0.4299401114777178,0.382404148016639
