,2023-01-31WMT,2022-01-31WMT,2021-01-31WMT,2020-01-31WMT
Basic EPS,-0.11645221119181083,-0.0858344497128716,-0.09235954642149803,-0.06977267319932975
Basic EPS,-0.11645221119181083,-0.0858344497128716,-0.09235954642149803,-0.06977267319932975
Net Income Common Stockholders,1.1028088782340304,1.3538039771789514,1.3332760287955985,1.5059374842163145
Net Income Common Stockholders,1.1028088782340304,1.3538039771789514,1.3332760287955985,1.5059374842163145
Total Liabilities Net Minority Interest,0.3988117024655146,0.3728749129998874,0.42276071168990886,0.3810838632011297
Net Income Including Noncontrolling Interests,1.0385766408990569,1.3693924789251266,1.3401587530572638,1.5269297794352752
Net Income Including Noncontrolling Interests,1.0385766408990569,1.3693924789251266,1.3401587530572638,1.5269297794352752
Net Income From Continuing Operation Net Minority Interest,1.102518625136292,1.353001032718377,1.3325150154399628,1.5048237865363192
Net Income From Continuing Operation Net Minority Interest,1.102518625136292,1.353001032718377,1.3325150154399628,1.5048237865363192
Tax Effect Of Unusual Items,0.1359644425032954,-1.5832114440943417,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,-1.5832114440943417,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,2.0018198463924235,2.2396580383332223,2.1083954412620978,1.9283910678932326
Share Issued,1.1638294416973713,1.2017653786450968,1.2390794149871216,1.226019502267413
Invested Capital,1.3878279586061795,1.4780865222216943,1.5467662181857214,1.5278327167305221
Net Tangible Assets,1.4701581912286361,1.6653231010698801,1.586950059478038,1.3021867137551317
Normalized Income,1.1064306870377563,1.5952821627901408,1.3424188798559726,1.519216591524702
Normalized Income,1.1064306870377563,1.5952821627901408,1.3424188798559726,1.519216591524702
Basic Average Shares,1.3905470614221649,1.4373036817831215,1.4641199787548467,1.4771843285615847
Basic Average Shares,1.3905470614221649,1.4373036817831215,1.4641199787548467,1.4771843285615847
Operating Revenue,10.33234286987318,9.648963598554849,9.407728144351053,8.783722268656797
Operating Revenue,10.33234286987318,9.648963598554849,9.407728144351053,8.783722268656797
Common Stock,-0.21593311715226107,-0.21518983675893813,-0.21455273927894702,-0.21434037345228332
Stockholders Equity,1.8182379835423876,2.018195464861105,1.9472349440516579,1.756543785037954
Total Assets,0.6134466025011439,0.6197286140810961,0.6485737376075639,0.5881296803070125
Net Income Continuous Operations,1.0463821972444443,1.3778696921390086,1.3485766129073893,1.5357268413316243
Net Income Continuous Operations,1.0463821972444443,1.3778696921390086,1.3485766129073893,1.5357268413316243
Pretax Income,1.4056020018956523,1.5813834044398178,1.7768355829829734,1.7299605423045292
Pretax Income,1.4056020018956523,1.5813834044398178,1.7768355829829734,1.7299605423045292
Diluted EPS,-0.1169165844102606,-0.08521779842988997,-0.0915575556259641,-0.06831177924035897
Diluted EPS,-0.1169165844102606,-0.08521779842988997,-0.0915575556259641,-0.06831177924035897
Common Stock Equity,1.9083815354253897,2.1169367618908,2.0429250900597826,1.8440346179915497
Net Income From Continuing And Discontinued Operation,1.0946269403427284,1.3446126941407723,1.3241672963138376,1.496134415459406
Net Income From Continuing And Discontinued Operation,1.0946269403427284,1.3446126941407723,1.3241672963138376,1.496134415459406
Total Revenue,10.331856191150399,9.648517693845424,9.407296633021769,8.783327988810786
Total Revenue,10.331856191150399,9.648517693845424,9.407296633021769,8.783327988810786
Total Capitalization,1.3763646812342862,1.4928890306028235,1.5617200927685633,1.4974640087477726
Diluted Average Shares,1.3752756552805379,1.4235222758832666,1.4520625303243173,1.4663326575448425
Diluted Average Shares,1.3752756552805379,1.4235222758832666,1.4520625303243173,1.4663326575448425
Ordinary Shares Number,1.3425353316327668,1.3836731292614552,1.424136536765083,1.4099743441388133
Net Income,1.0946250308097913,1.3446109561976605,1.324165544337037,1.4961327815205636
Net Income,1.0946250308097913,1.3446109561976605,1.324165544337037,1.4961327815205636
Capital Stock,-0.24023026783769877,-0.23953267529537306,-0.23893473883052246,-0.23873542667557227
Diluted NI Availto Com Stockholders,1.1029688517924028,1.3539539769656417,1.333426844299692,1.5060814386863002
Diluted NI Availto Com Stockholders,1.1029688517924028,1.3539539769656417,1.333426844299692,1.5060814386863002
Tangible Book Value,1.5500292092342296,1.7540156262849955,1.6721001018154835,1.374465375118684
Tax Rate For Calcs,1.9529363830390625,0.8427325617301079,1.9123191700643447,1.9123191700643447
Tax Rate For Calcs,1.9529363830390625,0.8427325617301079,1.9123191700643447,1.9123191700643447
