,2023-09-30WRK,2022-09-30WRK,2021-09-30WRK,2020-09-30WRK
Basic EPS,,-0.14907769473494278,-0.17317035950525558,-0.46579585036134674
Basic EPS,,-0.14907769473494278,-0.17317035950525558,-0.46579585036134674
Net Income Common Stockholders,-0.5758231708562115,-0.2492021025603497,-0.26260194125966707,-0.45517424722889877
Net Income Common Stockholders,-0.5758231708562115,-0.2492021025603497,-0.26260194125966707,-0.45517424722889877
Total Liabilities Net Minority Interest,-0.19111822435729664,-0.19263900099792192,-0.1902174854446375,-0.18785418939632648
Net Income Including Noncontrolling Interests,-0.57754867778404,-0.25355404246047175,-0.2668841217344074,-0.45785281131395794
Net Income Including Noncontrolling Interests,-0.57754867778404,-0.25355404246047175,-0.2668841217344074,-0.45785281131395794
Net Income From Continuing Operation Net Minority Interest,-0.5726845914525753,-0.2467181226593511,-0.26007802227097965,-0.452269541425282
Net Income From Continuing Operation Net Minority Interest,-0.5726845914525753,-0.2467181226593511,-0.26007802227097965,-0.452269541425282
Tax Effect Of Unusual Items,-0.11006160779530115,-0.12316592165628813,0.1106118359696688,-0.9492193472403369
Tax Effect Of Unusual Items,-0.11006160779530115,-0.12316592165628813,0.1106118359696688,-0.9492193472403369
Total Equity Gross Minority Interest,-0.22281925089099736,-0.18285340281486948,-0.1748301270993982,-0.2062277790456082
Share Issued,-0.3334855615029496,-0.35709067960356655,-0.35049853318314217,-0.35335927596936406
Invested Capital,-0.23001145695107778,-0.22128341225564938,-0.21004975655920777,-0.20677549198417858
Net Tangible Assets,-0.07421040092629365,-0.09705697848393299,-0.1036727959696353,-0.15113676556406794
Normalized Income,-0.30094892713845023,-0.2360155508092001,-0.2876311591485233,-0.35414240669618063
Normalized Income,-0.30094892713845023,-0.2360155508092001,-0.2876311591485233,-0.35414240669618063
Basic Average Shares,,-0.3040366279833881,-0.30011732304136673,-0.30424290719086294
Basic Average Shares,,-0.3040366279833881,-0.30011732304136673,-0.30424290719086294
Operating Revenue,-0.1480722951569616,-0.13128707444065693,-0.17580648076523303,-0.19650736628255208
Operating Revenue,-0.1480722951569616,-0.13128707444065693,-0.17580648076523303,-0.19650736628255208
Common Stock,-0.24422024526386593,-0.24423086355519913,-0.24420962697253276,-0.24422024526386593
Stockholders Equity,-0.21219307329401887,-0.171918100722918,-0.16373996166227592,-0.19543139357189038
Total Assets,-0.20156526100632727,-0.1979320446878678,-0.1947256878453762,-0.19651849764444135
Net Income Continuous Operations,-0.5730243478669859,-0.24837190479313243,-0.26172904818635373,-0.45308546234641095
Net Income Continuous Operations,-0.5730243478669859,-0.24837190479313243,-0.26172904818635373,-0.45308546234641095
Pretax Income,-0.5531678340973865,-0.2472872673130926,-0.26119283183578285,-0.42949306159309847
Pretax Income,-0.5531678340973865,-0.2472872673130926,-0.26119283183578285,-0.42949306159309847
Diluted EPS,,-0.15178524898866824,-0.1771442777729647,-0.48356587558321384
Diluted EPS,,-0.15178524898866824,-0.1771442777729647,-0.48356587558321384
Common Stock Equity,-0.2093537255322102,-0.1673470150552671,-0.15881723346065285,-0.19187132933810516
Net Income From Continuing And Discontinued Operation,-0.5772547015911034,-0.2519345555546726,-0.2652679653031583,-0.4570784092108195
Net Income From Continuing And Discontinued Operation,-0.5772547015911034,-0.2519345555546726,-0.2652679653031583,-0.4570784092108195
Total Revenue,-0.14793365700834132,-0.13114943778687618,-0.17566618784875265,-0.1963658382420081
Total Revenue,-0.14793365700834132,-0.13114943778687618,-0.17566618784875265,-0.1963658382420081
Total Capitalization,-0.22677645741975297,-0.21223628251847454,-0.19987696186072826,-0.19742264087845662
Diluted Average Shares,,-0.30486194246941406,-0.30078476326354964,-0.3064248611649954
Diluted Average Shares,,-0.30486194246941406,-0.30078476326354964,-0.3064248611649954
Ordinary Shares Number,-0.3054024107689881,-0.30675315821510385,-0.29960462288946293,-0.30270681746474104
Net Income,-0.5772577587009498,-0.25193738936528637,-0.2652708082658034,-0.45708138383184926
Net Income,-0.5772577587009498,-0.25193738936528637,-0.2652708082658034,-0.45708138383184926
Capital Stock,-0.26677864687706543,-0.26678861248481295,-0.2667686812693179,-0.26677864687706543
Diluted NI Availto Com Stockholders,-0.5755964936336391,-0.24898840425240715,-0.262387710483432,-0.45495236422271934
Diluted NI Availto Com Stockholders,-0.5755964936336391,-0.24898840425240715,-0.262387710483432,-0.45495236422271934
Tangible Book Value,-0.06414526493574067,-0.08802451403664853,-0.0949393682789813,-0.1445487222578835
Tax Rate For Calcs,-2.122323985424295,0.3959432190082116,0.4365604319829295,1.0593576975952699
Tax Rate For Calcs,-2.122323985424295,0.3959432190082116,0.4365604319829295,1.0593576975952699
