,2022-12-31XOM,2021-12-31XOM,2020-12-31XOM
Basic EPS,0.33377946170341,-0.061239854426510636,-0.5952939235017781
Basic EPS,0.33377946170341,-0.061239854426510636,-0.5952939235017781
Net Income Common Stockholders,6.651651858421295,2.533468348386716,-3.1942070655696346
Net Income Common Stockholders,6.651651858421295,2.533468348386716,-3.1942070655696346
Total Liabilities Net Minority Interest,0.42953496694716503,0.4155872369699783,0.43796016102402263
Net Income Including Noncontrolling Interests,6.820982631471801,2.575970788462808,-3.276895977278632
Net Income Including Noncontrolling Interests,6.820982631471801,2.575970788462808,-3.276895977278632
Net Income From Continuing Operation Net Minority Interest,6.640027344688058,2.530255780245417,-3.18572008369499
Net Income From Continuing Operation Net Minority Interest,6.640027344688058,2.530255780245417,-3.18572008369499
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,5.5688508156999825,4.762308390118464,4.414492613980229
Share Issued,4.471718763417885,4.471718763417885,4.471718763417885
Invested Capital,3.3350504044002145,3.026856923770943,3.1714536383114846
Net Tangible Assets,6.469723617633792,5.566505874046832,5.176619610977619
Normalized Income,6.788201056202028,2.5713628566634057,-3.2935240337040717
Normalized Income,6.788201056202028,2.5713628566634057,-3.2935240337040717
Basic Average Shares,2.4570105640669255,2.4542601746339283,2.4542601746339283
Basic Average Shares,2.4570105640669255,2.4542601746339283,2.4542601746339283
Operating Revenue,6.561848503918183,4.3986033072599735,2.6585797613092246
Operating Revenue,6.561848503918183,4.3986033072599735,2.6585797613092246
Common Stock,1.428096929964773,1.427459832484782,1.4213012235115348
Stockholders Equity,5.425885492529913,4.618983900232794,4.270673818063741
Total Assets,1.0889227285195426,0.9750532414082483,0.9517346259644446
Net Income Continuous Operations,6.840528232438901,2.5868977229893506,-3.2778521441992665
Net Income Continuous Operations,6.840528232438901,2.5868977229893506,-3.2778521441992665
Pretax Income,7.7606228628033795,2.893256752712882,-3.3968924001130696
Pretax Income,7.7606228628033795,2.893256752712882,-3.3968924001130696
Diluted EPS,0.3580368921956255,-0.05774551724690215,-0.6198706552988072
Diluted EPS,0.3580368921956255,-0.05774551724690215,-0.6198706552988072
Common Stock Equity,5.6711501914528455,4.829553551972306,4.466266879286293
Net Income From Continuing And Discontinued Operation,6.6211559480405775,2.5195331938027277,-3.185109095577621
Net Income From Continuing And Discontinued Operation,6.6211559480405775,2.5195331938027277,-3.185109095577621
Total Revenue,6.561586792785276,4.398470666750429,2.6585509397861213
Total Revenue,6.561586792785276,4.398470666750429,2.6585509397861213
Total Capitalization,3.4568961897307964,3.075659477095668,2.946820524900876
Diluted Average Shares,2.4224311813200425,2.4197130618494667,2.4197130618494667
Diluted Average Shares,2.4224311813200425,2.4197130618494667,2.4197130618494667
Ordinary Shares Number,2.2745424844663282,2.3804217341008207,2.376375393350458
Net Income,6.621157831908392,2.519532262323185,-3.1851139427145907
Net Income,6.621157831908392,2.519532262323185,-3.1851139427145907
Capital Stock,1.302744779709276,1.3021468432444252,1.2963667907508694
Diluted NI Availto Com Stockholders,6.651591338060795,2.533571471946941,-3.193876341840769
Diluted NI Availto Com Stockholders,6.651591338060795,2.533571471946941,-3.193876341840769
Tangible Book Value,6.775576357914079,5.831532925716898,5.424023697108663
Tax Rate For Calcs,1.8717019570896267,1.6009205372581743,-0.29454940156199155
Tax Rate For Calcs,1.8717019570896267,1.6009205372581743,-0.29454940156199155
