,2022-12-31ZBH,2021-12-31ZBH,2020-12-31ZBH
Basic EPS,-0.2765680458111815,-0.23490781297918223,-0.36540974715171
Basic EPS,-0.2765680458111815,-0.23490781297918223,-0.36540974715171
Net Income Common Stockholders,-0.33900872827917716,-0.31757402389361494,-0.38564369322614367
Net Income Common Stockholders,-0.33900872827917716,-0.31757402389361494,-0.38564369322614367
Total Liabilities Net Minority Interest,-0.2256631834868405,-0.21838158682910228,-0.21244194976099978
Net Income Including Noncontrolling Interests,-0.3431041907599758,-0.321903492983154,-0.38930347206739285
Net Income Including Noncontrolling Interests,-0.3431041907599758,-0.321903492983154,-0.38930347206739285
Net Income From Continuing Operation Net Minority Interest,-0.328963826383243,-0.3095083940231292,-0.36678126564137115
Net Income From Continuing Operation Net Minority Interest,-0.328963826383243,-0.3095083940231292,-0.36678126564137115
Tax Effect Of Unusual Items,-0.25252594511466003,0.042747442270641416,-0.3353864370331744
Tax Effect Of Unusual Items,-0.25252594511466003,0.042747442270641416,-0.3353864370331744
Total Equity Gross Minority Interest,-0.16473555168702483,-0.14548571118994297,-0.1595452600046712
Share Issued,-0.3201497836249618,-0.32077168423066227,-0.3216423450786428
Invested Capital,-0.2429188474861776,-0.21211946445114693,-0.20250963102362224
Net Tangible Assets,-0.24069766973229895,-0.24645025780908808,-0.3259765465954468
Normalized Income,-0.3162464684242364,-0.3066603443303079,-0.34263121214321995
Normalized Income,-0.3162464684242364,-0.3066603443303079,-0.34263121214321995
Basic Average Shares,-0.3383477361600313,-0.33903533351828063,-0.34013548929147963
Basic Average Shares,-0.3383477361600313,-0.33903533351828063,-0.34013548929147963
Operating Revenue,-0.3851775032912092,-0.3871743504678134,-0.3995845960645065
Operating Revenue,-0.3851775032912092,-0.3871743504678134,-0.3995845960645065
Common Stock,-0.2441671538072,-0.2441671538072,-0.2441671538072
Stockholders Equity,-0.1530714984821614,-0.133551258994889,-0.14777079634781307
Total Assets,-0.2256571342796056,-0.2166273564800157,-0.21299602892029942
Net Income Continuous Operations,-0.3307430421196519,-0.31142713560068236,-0.36834834554349144
Net Income Continuous Operations,-0.3307430421196519,-0.31142713560068236,-0.36834834554349144
Pretax Income,-0.33259356344062724,-0.32260122776028927,-0.3858197536038516
Pretax Income,-0.33259356344062724,-0.32260122776028927,-0.3858197536038516
Diluted EPS,-0.28439183700655185,-0.24159847593305156,-0.37790325564864513
Diluted EPS,-0.28439183700655185,-0.24159847593305156,-0.37790325564864513
Common Stock Equity,-0.1476900491217971,-0.1273304809772165,-0.1421614281031485
Net Income From Continuing And Discontinued Operation,-0.3413925784391507,-0.32004407101495247,-0.38784000675396035
Net Income From Continuing And Discontinued Operation,-0.3413925784391507,-0.32004407101495247,-0.38784000675396035
Total Revenue,-0.3850247181947239,-0.3870214462288887,-0.3994309513648436
Total Revenue,-0.3850247181947239,-0.3870214462288887,-0.3994309513648436
Total Capitalization,-0.24031392094565346,-0.22671970017209006,-0.19777866361379667
Diluted Average Shares,-0.3396538716927902,-0.3395859187060258,-0.34189632025601563
Diluted Average Shares,-0.3396538716927902,-0.3395859187060258,-0.34189632025601563
Ordinary Shares Number,-0.3373704698928489,-0.3373704698928489,-0.33831461606793356
Net Income,-0.3413954736536096,-0.3200469515758297,-0.38784293384986046
Net Income,-0.3413954736536096,-0.3200469515758297,-0.38784293384986046
Capital Stock,-0.2667288188383279,-0.2667288188383279,-0.2667288188383279
Diluted NI Availto Com Stockholders,-0.33879146133270654,-0.31735760869623625,-0.38542457314989187
Diluted NI Availto Com Stockholders,-0.33879146133270654,-0.31735760869623625,-0.38542457314989187
Tangible Book Value,-0.23815780374679182,-0.24417041037524623,-0.3272913091273311
Tax Rate For Calcs,1.1812093365194236,-1.1475108740310664,1.0593576975952699
Tax Rate For Calcs,1.1812093365194236,-1.1475108740310664,1.0593576975952699
